# 自动生成于 2026/05/21 14:16
# 城市: 江西电信
# 质量阈值: 5
# 配置数量: 20
# 格式: 网关IP:端口,选项
# 选项说明: 0/10=固定C段(/stat或/status), 2/12=C段范围(/stat或/status)

59.52.58.1:8008,12
59.52.62.1:8008,12
59.55.24.1:4022,12
59.55.66.1:6001,12
59.55.75.1:8688,12
59.55.252.1:6565,12
59.55.254.1:6565,12
106.5.33.1:9000,12
106.5.52.1:9000,12
106.5.78.1:4022,12
106.5.79.1:4022,12
106.7.235.1:8008,12
111.73.20.1:1009,12
111.79.126.1:8688,12
117.40.99.1:8008,12
171.35.84.1:8688,12
182.110.171.1:4022,12
218.87.75.1:8008,12
220.175.133.1:8008,12
220.176.219.1:9000,10
