# 20260911_1434_precise_history
# 服务器地址	状态	有效次数	无效次数
111.162.164.240:8086	无效	0	129
111.162.165.215:8086	无效	0	129
111.162.204.109:8686	无效	0	129
111.162.204.110:8686	无效	0	129
111.162.204.145:8686	无效	0	129
111.162.204.1:8686	无效	0	129
111.162.204.250:8686	无效	0	129
111.162.204.51:8686	无效	0	129
111.162.204.74:8686	无效	0	129
111.162.205.1:8686	无效	0	129
111.162.205.8:8686	无效	0	129
111.162.206.1:8686	无效	0	129
111.162.206.250:8686	无效	0	129
111.162.206.7:8686	无效	0	129
111.162.206.89:8686	无效	0	129
111.162.207.175:8686	无效	0	129
111.162.207.1:8686	无效	0	129
111.162.207.208:8686	无效	0	129
111.162.46.178:8888	无效	0	129
111.164.131.97:8888	无效	0	129
111.164.201.245:5555	无效	0	129
111.165.0.209:4022	无效	0	129
111.165.1.243:4022	无效	0	129
111.165.3.35:4022	无效	0	129
111.166.192.103:8888	无效	0	129
111.167.11.64:5002	无效	0	129
111.167.147.39:4022	无效	0	129
111.167.150.254:4022	无效	0	129
111.167.17.186:5002	无效	0	129
111.167.176.157:4022	无效	0	129
111.167.178.49:4022	无效	0	129
111.167.182.59:4022	无效	0	129
111.167.224.111:4021	无效	0	129
111.167.224.224:4022	无效	0	129
111.167.225.240:4022	无效	0	129
111.167.226.80:4022	无效	0	129
111.167.32.217:5002	无效	0	129
111.167.35.107:5002	无效	0	129
111.167.5.66:5002	无效	0	129
117.12.148.1:4022	无效	0	129
117.12.149.1:4022	无效	0	129
117.12.149.228:4022	无效	0	129
117.12.150.129:4022	无效	0	129
117.12.150.180:4022	无效	0	129
117.12.150.1:4022	无效	0	129
117.12.151.1:4022	有效	2	127
117.12.151.20:4022	无效	0	129
117.12.151.91:4022	无效	0	129
117.13.121.1:4022	无效	0	129
117.13.121.247:4022	无效	0	129
117.8.140.1:8834	无效	0	129
117.8.140.228:8834	无效	0	129
117.8.140.254:8834	无效	0	129
117.8.141.118:8834	有效	6	123
117.8.141.1:8834	无效	0	129
117.8.141.247:8834	无效	0	129
117.8.142.105:8834	无效	0	129
117.8.142.188:8834	无效	0	129
117.8.142.18:8834	无效	0	129
117.8.142.1:8834	有效	6	123
117.8.142.241:8834	有效	6	123
117.8.142.39:8834	有效	13	110
117.8.143.105:8834	有效	13	110
117.8.143.150:8834	无效	0	129
117.8.143.179:8834	无效	0	129
117.8.143.1:8834	无效	0	129
117.8.143.200:8834	无效	0	129
117.8.143.224:8834	无效	0	129
117.8.143.90:8834	无效	0	129
221.197.236.251:82	无效	0	129
221.198.73.147:8888	无效	0	129
60.26.181.1:4022	无效	0	129
60.26.181.220:4022	无效	0	129
60.26.181.87:4022	无效	0	129
111.162.207.249:8686	有效	2	108
117.8.140.41:8834	有效	10	98
117.8.143.48:8834	有效	10	98
111.162.204.172:8686	无效	0	108
117.12.149.144:4022	无效	0	108
111.162.205.209:8686	有效	2	104
117.8.143.20:8834	有效	6	92
117.8.142.177:8834	有效	6	92
117.12.149.112:4022	无效	0	94
117.8.142.235:8834	有效	7	84
117.8.143.195:8834	有效	7	84
117.8.140.66:8834	有效	2	82
117.8.141.162:8834	有效	2	82
117.8.142.69:8834	有效	7	74
117.8.140.138:8834	有效	7	74
117.8.140.62:8834	有效	1	73
117.8.140.85:8834	有效	1	73
117.8.143.248:8834	有效	7	66
117.8.142.225:8834	有效	7	66
117.8.143.72:8834	有效	2	64
117.8.143.112:8834	有效	1	65
117.8.143.129:8834	有效	5	59
117.8.143.76:8834	有效	5	59
117.8.143.12:8834	无效	0	58
117.8.140.191:8834	有效	4	53
117.8.143.130:8834	有效	4	53
117.8.142.147:8834	有效	6	47
117.8.141.112:8834	有效	7	40
117.8.141.228:8834	有效	7	40
117.8.141.184:8834	有效	7	33
117.8.140.31:8834	有效	7	33
117.8.142.107:8834	有效	7	26
117.8.140.136:8834	有效	7	26
117.8.140.63:8834	有效	7	19
117.8.141.90:8834	有效	7	19
117.12.151.140:4022	无效	0	21
117.12.151.6:4022	无效	0	21
117.12.151.178:4022	无效	0	20
117.8.141.253:8834	有效	3	16
117.8.142.250:8834	有效	3	16
117.8.141.13:8834	有效	6	10
117.12.148.180:4022	有效	1	15
117.8.142.229:8834	有效	5	11
117.12.149.244:4022	有效	2	12
117.12.149.159:4022	无效	0	14
117.12.151.124:4022	有效	4	8
117.8.141.91:8834	有效	1	10
117.8.140.88:8834	有效	7	3
117.8.141.128:8834	有效	7	3
117.12.151.30:4022	有效	3	1
117.8.142.149:8834	有效	3	0
117.8.141.25:8834	有效	3	0
