# 20260827_2034_precise_history
# 服务器地址	状态	有效次数	无效次数
111.162.164.240:8086	无效	0	114
111.162.165.215:8086	无效	0	114
111.162.204.109:8686	无效	0	114
111.162.204.110:8686	无效	0	114
111.162.204.145:8686	无效	0	114
111.162.204.1:8686	无效	0	114
111.162.204.250:8686	无效	0	114
111.162.204.51:8686	无效	0	114
111.162.204.74:8686	无效	0	114
111.162.205.1:8686	无效	0	114
111.162.205.8:8686	无效	0	114
111.162.206.1:8686	无效	0	114
111.162.206.250:8686	无效	0	114
111.162.206.7:8686	无效	0	114
111.162.206.89:8686	无效	0	114
111.162.207.175:8686	无效	0	114
111.162.207.1:8686	无效	0	114
111.162.207.208:8686	无效	0	114
111.162.46.178:8888	无效	0	114
111.164.131.97:8888	无效	0	114
111.164.201.245:5555	无效	0	114
111.165.0.209:4022	无效	0	114
111.165.1.243:4022	无效	0	114
111.165.3.35:4022	无效	0	114
111.166.192.103:8888	无效	0	114
111.167.11.64:5002	无效	0	114
111.167.147.39:4022	无效	0	114
111.167.150.254:4022	无效	0	114
111.167.17.186:5002	无效	0	114
111.167.176.157:4022	无效	0	114
111.167.178.49:4022	无效	0	114
111.167.182.59:4022	无效	0	114
111.167.224.111:4021	无效	0	114
111.167.224.224:4022	无效	0	114
111.167.225.240:4022	无效	0	114
111.167.226.80:4022	无效	0	114
111.167.32.217:5002	无效	0	114
111.167.35.107:5002	无效	0	114
111.167.5.66:5002	无效	0	114
117.12.148.1:4022	无效	0	114
117.12.149.1:4022	无效	0	114
117.12.149.228:4022	无效	0	114
117.12.150.129:4022	无效	0	114
117.12.150.180:4022	无效	0	114
117.12.150.1:4022	无效	0	114
117.12.151.1:4022	有效	2	112
117.12.151.20:4022	无效	0	114
117.12.151.91:4022	无效	0	114
117.13.121.1:4022	无效	0	114
117.13.121.247:4022	无效	0	114
117.8.140.1:8834	无效	0	114
117.8.140.228:8834	无效	0	114
117.8.140.254:8834	无效	0	114
117.8.141.118:8834	有效	6	108
117.8.141.1:8834	无效	0	114
117.8.141.247:8834	无效	0	114
117.8.142.105:8834	无效	0	114
117.8.142.188:8834	无效	0	114
117.8.142.18:8834	无效	0	114
117.8.142.1:8834	有效	6	108
117.8.142.241:8834	有效	6	108
117.8.142.39:8834	有效	13	95
117.8.143.105:8834	有效	13	95
117.8.143.150:8834	无效	0	114
117.8.143.179:8834	无效	0	114
117.8.143.1:8834	无效	0	114
117.8.143.200:8834	无效	0	114
117.8.143.224:8834	无效	0	114
117.8.143.90:8834	无效	0	114
221.197.236.251:82	无效	0	114
221.198.73.147:8888	无效	0	114
60.26.181.1:4022	无效	0	114
60.26.181.220:4022	无效	0	114
60.26.181.87:4022	无效	0	114
111.162.207.249:8686	有效	2	93
117.8.140.41:8834	有效	10	83
117.8.143.48:8834	有效	10	83
111.162.204.172:8686	无效	0	93
117.12.149.144:4022	无效	0	93
111.162.205.209:8686	有效	2	89
117.8.143.20:8834	有效	6	77
117.8.142.177:8834	有效	6	77
117.12.149.112:4022	无效	0	79
117.8.142.235:8834	有效	7	69
117.8.143.195:8834	有效	7	69
117.8.140.66:8834	有效	2	67
117.8.141.162:8834	有效	2	67
117.8.142.69:8834	有效	7	59
117.8.140.138:8834	有效	7	59
117.8.140.62:8834	有效	1	58
117.8.140.85:8834	有效	1	58
117.8.143.248:8834	有效	7	51
117.8.142.225:8834	有效	7	51
117.8.143.72:8834	有效	2	49
117.8.143.112:8834	有效	1	50
117.8.143.129:8834	有效	5	44
117.8.143.76:8834	有效	5	44
117.8.143.12:8834	无效	0	43
117.8.140.191:8834	有效	4	38
117.8.143.130:8834	有效	4	38
117.8.142.147:8834	有效	6	32
117.8.141.112:8834	有效	7	25
117.8.141.228:8834	有效	7	25
117.8.141.184:8834	有效	7	18
117.8.140.31:8834	有效	7	18
117.8.142.107:8834	有效	7	11
117.8.140.136:8834	有效	7	11
117.8.140.63:8834	有效	7	4
117.8.141.90:8834	有效	7	4
117.12.151.140:4022	无效	0	6
117.12.151.6:4022	无效	0	6
117.12.151.178:4022	无效	0	5
117.8.141.253:8834	有效	3	1
117.8.142.250:8834	有效	3	1
117.8.141.13:8834	有效	1	0
117.12.148.180:4022	有效	1	0
117.8.142.229:8834	有效	1	0
