# 20260725_1130_precise_history
# 服务器地址	状态	有效次数	无效次数
101.66.194.77:8200	无效	0	81
101.66.195.13:8200	无效	0	81
101.66.195.205:8200	无效	0	81
101.66.195.211:8200	无效	0	81
101.66.195.247:8200	无效	0	81
101.66.195.47:8200	无效	0	81
101.68.58.223:8188	有效	12	57
123.157.31.182:7911	有效	12	0
123.157.31.182:7912	有效	12	0
211.140.151.142:7912	无效	0	74
211.90.124.153:8888	无效	0	81
211.90.82.88:8001	无效	0	81
211.90.82.88:8005	无效	0	81
bgs.cchui.fun:7912	有效	66	3
bgs.cchui.fun:7911	有效	66	3
tplink.eversouthhangzhou.com.cn:8188	有效	1	0
hdys.myds.me:7912	有效	3	66
﻿# 2026/05/24 20:42	无效	0	69
z2m.eversouthhangzhou.com.cn:8188	有效	68	0
101.68.58.3:8188	无效	0	35
101.68.58.153:8188	无效	0	28
101.68.58.67:8188	有效	2	10
