# 20260531_1136_precise_history
# 服务器地址	状态	有效次数	无效次数
112.19.88.97:8899	无效	0	26
112.44.236.249:9000	无效	0	26
113.106.171.234:8899	无效	0	26
117.139.15.5:8888	无效	0	26
117.174.25.254:8188	无效	0	26
120.234.187.66:10086	有效	24	0
120.237.43.217:5050	无效	0	26
183.221.104.180:1723	无效	0	26
183.233.194.219:10000	无效	0	26
183.234.174.51:4099	无效	0	26
183.234.194.165:8888	无效	0	12
183.238.86.52:4022	无效	0	26
183.252.48.34:6666	无效	0	26
183.252.48.37:6666	无效	0	26
183.252.48.43:6666	无效	0	26
183.252.48.61:6666	无效	0	26
183.252.48.62:6666	无效	0	26
183.252.64.23:6666	无效	0	26
223.86.171.240:8998	无效	0	26
36.36.251.199:9000	无效	0	26
gaoxing.dns.army:10086	有效	4	10
tunnel.tr069.vip:8888	无效	0	14
223.86.171.240:8998zb.lx222.top:4099	无效	0	14
﻿# 2026/05/24 22:34	无效	0	14
