# 20260830_1445_precise_history
# 服务器地址	状态	有效次数	无效次数
1.1.1.1:0000	无效	0	117
11.11.11.11:8888	无效	0	117
114.100.195.104:4022	无效	0	117
114.100.195.11:4022	无效	0	117
114.100.195.125:4022	无效	0	117
114.100.195.156:4022	无效	0	117
114.100.195.157:4022	有效	6	111
114.100.195.166:4022	无效	0	117
114.100.195.171:4022	无效	0	117
114.100.195.182:4022	无效	0	117
114.100.195.187:4022	无效	0	117
114.100.195.198:4022	无效	0	117
114.100.195.1:4022	无效	0	117
114.100.195.238:4022	无效	0	117
114.100.195.248:4022	有效	14	97
114.100.195.41:4022	有效	6	111
114.100.195.42:4022	无效	0	117
114.100.195.59:4022	无效	0	117
114.104.141.1:8686	无效	0	117
114.104.141.215:8686	无效	0	117
114.104.182.1:8686	无效	0	117
114.104.183.107:8686	无效	0	117
114.104.183.1:8686	无效	0	117
114.107.44.150:8188	无效	0	117
114.107.44.166:8188	无效	0	117
114.107.44.1:8188	无效	0	117
114.107.44.229:8188	无效	0	117
114.107.44.241:8188	无效	0	117
114.107.44.31:8188	无效	0	117
114.107.44.68:8188	无效	0	117
114.107.45.108:8188	无效	0	117
114.107.45.1:8188	无效	0	117
114.107.46.1:8188	无效	0	117
114.107.47.166:8188	无效	0	117
114.107.47.1:8188	无效	0	117
114.107.47.241:8188	无效	0	117
114.107.47.27:8188	无效	0	117
114.107.47.32:8188	无效	0	117
114.107.47.54:8188	无效	0	117
114.96.39.1:4022	无效	0	117
114.97.208.25:8888	无效	0	117
117.57.32.1:4022	无效	0	117
117.57.33.1:4022	无效	0	117
117.57.34.1:4022	无效	0	117
117.57.35.159:4022	无效	0	117
117.57.35.1:4022	无效	0	117
117.57.36.1:4022	无效	0	117
117.57.36.228:4022	无效	0	117
117.57.37.1:4022	无效	0	117
117.57.37.242:4022	有效	10	101
117.57.38.1:4022	无效	0	117
117.57.38.216:4022	无效	0	117
117.57.39.149:4022	无效	0	117
117.57.39.186:4022	无效	0	117
117.57.39.198:4022	无效	0	117
117.57.39.1:4022	无效	0	117
117.64.102.17:4022	有效	4	113
124.112.188.1:4022	无效	0	117
124.112.188.208:4022	无效	0	117
124.112.189.132:4022	无效	0	117
124.112.189.152:4022	无效	0	117
124.112.189.1:4022	有效	4	113
124.112.240.102:4022	无效	0	117
124.112.240.142:4022	无效	0	117
124.112.240.1:4022	无效	0	117
124.112.241.101:4022	无效	0	117
124.112.241.1:4022	无效	0	117
124.112.241.59:4022	无效	0	117
183.162.104.113:8888	无效	0	117
183.162.104.16:8888	无效	0	117
183.162.104.1:8888	无效	0	117
183.162.104.63:8888	无效	0	117
183.162.104.68:8888	无效	0	117
183.162.105.133:8888	无效	0	117
183.162.105.167:8888	无效	0	117
183.162.105.1:8888	无效	0	117
183.162.105.43:8888	有效	9	63
183.162.205.1:4022	无效	0	117
183.162.205.235:4022	有效	108	9
183.164.237.1:8888	无效	0	117
183.164.46.181:6688	无效	0	117
183.164.55.104:5000	无效	0	117
183.164.55.123:5000	有效	7	104
183.164.55.1:5000	无效	0	117
183.164.63.135:5000	无效	0	117
183.164.63.167:5000	无效	0	117
183.164.63.190:5000	无效	0	117
183.164.63.1:5000	无效	0	117
183.165.144.1:4022	无效	0	117
183.165.195.249:7000	无效	0	117
183.166.144.1:8688	无效	0	117
183.166.145.1:8688	无效	0	117
223.240.168.167:4000	无效	0	117
223.243.170.1:18888	无效	0	117
223.243.171.1:18888	无效	0	117
36.5.86.179:20000	无效	0	117
60.168.244.234:8888	有效	7	110
60.168.244.62:8188	无效	0	117
60.168.76.2:20000	无效	0	117
60.168.76.6:20000	无效	0	117
60.168.77.64:4022	无效	0	117
60.172.82.115:8686	无效	0	117
60.172.82.1:8686	无效	0	117
60.172.82.22:8686	无效	0	117
60.172.82.250:8686	无效	0	117
60.172.83.1:8686	无效	0	117
60.172.83.225:8686	无效	0	117
60.172.83.86:8686	无效	0	117
﻿# 2026/05/20 10:28	无效	0	12
124.112.240.175:4022	有效	11	95
nicolethree.top:8188	有效	94	11
www.191919.xyz:8888	有效	94	11
﻿# 2026/05/24 22:34	无效	0	105
124.112.188.241:4022	有效	14	90
183.164.55.120:5000	有效	10	92
117.57.35.97:4022	有效	12	88
114.100.195.34:4022	有效	10	86
183.164.55.81:5000	有效	5	84
117.57.37.27:4022	有效	6	82
183.164.237.29:8888	有效	6	81
124.112.188.138:4022	无效	0	83
183.164.55.107:5000	有效	4	78
117.57.37.26:4022	有效	7	74
114.100.195.132:4022	有效	7	72
183.164.55.118:5000	有效	31	46
124.112.189.64:4022	有效	4	71
117.57.34.151:4022	有效	7	67
114.100.195.91:4022	有效	7	65
183.164.55.73:5000	有效	2	68
124.112.189.243:4022	有效	3	65
183.164.55.99:5000	有效	3	63
183.164.236.214:8888	有效	6	60
114.100.195.97:4022	有效	6	59
124.112.241.36:4022	有效	5	58
117.57.38.190:4022	有效	7	53
183.164.236.216:8888	有效	5	54
114.100.195.140:4022	有效	4	54
