# 20260704_1148_precise_history
# 服务器地址	状态	有效次数	无效次数
103.36.220.49:8845	无效	0	12
111.127.156.1:51234	无效	0	61
111.127.156.214:51234	无效	0	61
111.127.156.3:51234	有效	26	35
111.127.156.64:51234	无效	0	61
111.127.157.123:51234	无效	0	61
111.127.157.178:51234	无效	0	61
111.127.157.187:51234	无效	0	61
111.127.157.1:51234	无效	0	61
111.127.158.1:51234	无效	0	61
116.117.105.112:4022	无效	0	61
116.117.107.90:4022	无效	0	61
121.56.186.21:4022	无效	0	61
121.57.224.162:8088	无效	0	61
121.57.224.1:8088	无效	0	61
121.57.224.57:8088	无效	0	61
121.57.225.133:8088	无效	0	61
121.57.225.1:8088	无效	0	61
121.57.225.212:8088	无效	0	61
121.57.225.254:8088	无效	0	61
121.57.226.1:8088	无效	0	61
121.57.227.1:8088	无效	0	61
121.57.228.1:8088	无效	0	61
121.57.228.27:8088	无效	0	61
121.57.228.96:8088	无效	0	61
121.57.229.1:8088	无效	0	61
121.57.230.1:8088	无效	0	61
121.57.231.1:8088	无效	0	61
123.179.111.197:8188	无效	0	61
123.179.111.1:8188	无效	0	61
123.179.111.88:8188	无效	0	61
123.179.60.1:4022	无效	0	61
123.179.60.34:4022	无效	0	61
123.179.61.112:4022	无效	0	61
123.179.61.116:4022	无效	0	61
123.179.61.146:4022	无效	0	61
123.179.61.179:4022	无效	0	61
123.179.61.17:4022	无效	0	55
123.179.61.1:4022	无效	0	61
123.179.61.46:4022	无效	0	61
123.179.62.104:4022	无效	0	61
123.179.62.148:4022	有效	14	41
123.179.62.191:4022	无效	0	61
123.179.62.1:4022	无效	0	61
123.179.63.1:4022	无效	0	61
123.179.63.248:4022	无效	0	61
123.179.63.80:4022	无效	0	61
k3.zhigao5191.com:8845	无效	0	49
﻿# 2026/05/24 20:42	无效	0	49
123.179.62.237:4022	有效	10	30
123.179.63.39:4022	有效	7	23
123.179.60.23:4022	有效	3	20
123.179.63.66:4022	有效	4	16
123.179.60.127:4022	有效	2	14
123.179.61.127:4022	无效	0	14
123.179.60.175:4022	有效	4	2
123.179.61.131:4022	有效	2	0
