# 20260725_1111_precise_history
# 服务器地址	状态	有效次数	无效次数
1.203.111.209:19997	无效	0	81
1.203.76.1:8899	无效	0	81
1.203.76.71:8899	无效	0	81
1.203.77.1:8899	无效	0	81
106.120.13.134:4022	无效	0	81
106.120.13.1:4022	无效	0	81
106.120.13.232:4022	无效	0	81
106.37.149.152:8899	无效	0	81
114.243.110.101:8821	无效	0	81
114.250.18.168:4022	无效	0	81
115.171.216.120:4000	无效	0	81
115.171.216.125:4000	无效	0	81
115.171.216.188:4000	无效	0	81
115.171.216.1:4000	无效	0	81
115.171.216.23:4000	无效	0	81
115.171.216.26:4000	有效	21	60
115.171.216.39:4000	无效	0	12
115.171.216.46:4000	有效	64	17
115.171.216.58:4000	无效	0	12
115.171.216.64:4000	无效	0	81
115.171.216.75:4000	无效	0	81
115.171.216.84:4000	无效	0	81
115.171.216.92:4000	无效	0	81
115.171.216.96:4000	无效	0	81
115.171.80.124:1688	无效	0	81
115.171.80.1:1688	无效	0	81
115.171.80.250:1688	无效	0	81
115.171.80.52:1688	无效	0	81
115.171.80.57:1688	无效	0	81
115.171.80.79:1688	无效	0	81
115.171.80.94:1688	无效	0	81
115.171.80.97:1688	无效	0	81
119.100.147.47:8848	无效	0	81
123.117.237.248:8899	无效	0	81
123.118.1.26:4022	无效	0	81
123.118.59.68:8686	无效	0	81
220.201.149.130:6688	无效	0	81
sd3.playsth.fun:8888	无效	0	69
dvb1002.8866.org:9000	无效	0	3
omnix.cn:4000	无效	0	69
home-bj-ct-1.fortiddns.com:4000	无效	0	69
nas.dd0bb.top:8888	无效	0	69
www.sesamehome.win:8012	无效	0	69
emby.dd0bb.top:8888	无效	0	69
tcpsit.vicp.net:8811	无效	0	69
﻿# 2026/05/24 20:42	无效	0	69
quan2018.mycloudnas.com:9000	无效	0	68
115.171.216.173:4000	有效	3	55
115.171.216.48:4000	有效	6	48
115.171.216.32:4000	有效	45	2
115.171.216.40:4000	有效	15	0
