广东移动华为-组播1,#genre#
CCTV-1综合,http://gaoxing.dns.army:10086/rtp/239.10.0.48:1025
CCTV-1综合,http://gaoxing.dns.army:10086/rtp/239.10.0.114:1025
CCTV-2财经,http://gaoxing.dns.army:10086/rtp/239.10.0.207:1025
CCTV-3综艺,http://gaoxing.dns.army:10086/rtp/239.10.0.101:1025
CCTV-4中文国际,http://gaoxing.dns.army:10086/rtp/239.10.0.245:1025
CCTV-4中文国际欧洲,http://gaoxing.dns.army:10086/rtp/239.11.0.101:1025
CCTV-4中文国际美洲,http://gaoxing.dns.army:10086/rtp/239.11.0.102:1025
CCTV-5体育,http://gaoxing.dns.army:10086/rtp/239.10.0.102:1025
CCTV-5+体育赛事,http://gaoxing.dns.army:10086/rtp/239.10.0.213:1025
CCTV-6电影,http://gaoxing.dns.army:10086/rtp/239.10.0.103:1025
CCTV-7国防军事,http://gaoxing.dns.army:10086/rtp/239.10.0.208:1025
CCTV-8电视剧,http://gaoxing.dns.army:10086/rtp/239.10.0.104:1025
CCTV-9纪录,http://gaoxing.dns.army:10086/rtp/239.10.0.209:1025
CCTV-10科教,http://gaoxing.dns.army:10086/rtp/239.10.0.210:1025
CCTV-11戏曲,http://gaoxing.dns.army:10086/rtp/239.11.0.24:1025
CCTV-12社会与法,http://gaoxing.dns.army:10086/rtp/239.10.0.211:1025
CCTV-13新闻,http://gaoxing.dns.army:10086/rtp/239.10.0.198:1025
CCTV-14少儿,http://gaoxing.dns.army:10086/rtp/239.10.0.212:1025
CCTV-15音乐,http://gaoxing.dns.army:10086/rtp/239.11.0.25:1025
CCTV-16奥林匹克,http://gaoxing.dns.army:10086/rtp/239.11.0.126:1025
CCTV-17农业农村,http://gaoxing.dns.army:10086/rtp/239.10.0.244:1025
CCTV-1综合SD,http://gaoxing.dns.army:10086/rtp/239.10.0.202:1025
CCTV-2财经SD,http://gaoxing.dns.army:10086/rtp/239.10.0.186:1025
CCTV-3综艺SD,http://gaoxing.dns.army:10086/rtp/239.10.0.107:1025
