江苏电信-组播1,#genre#
江苏卫视,http://114.226.212.138:8787/rtp/239.49.8.16:9602
江苏卫视,http://114.226.212.138:8787/rtp/239.49.8.138:6000
江苏卫视4K,http://114.226.212.138:8787/rtp/239.49.1.62:8000
江苏卫视4K,http://114.226.212.138:8787/rtp/239.49.1.61:8000

江苏优漫卡通,http://114.226.212.138:8787/rtp/239.49.8.119:8000
江苏体育休闲,http://114.226.212.138:8787/rtp/239.49.8.117:8000
江苏国际,http://114.226.212.138:8787/rtp/239.49.1.81:8000
江苏城市频道,http://114.226.212.138:8787/rtp/239.49.8.107:8000
江苏影视频道,http://114.226.212.138:8787/rtp/239.49.8.118:8000
江苏教育频道,http://114.226.212.138:8787/rtp/239.49.8.122:8000
江苏新闻频道,http://114.226.212.138:8787/rtp/239.49.8.120:8000
江苏综艺频道,http://114.226.212.138:8787/rtp/239.49.8.108:8000

CCTV-1综合,http://114.226.212.138:8787/rtp/239.49.0.207:8000
CCTV-1综合,http://114.226.212.138:8787/rtp/239.49.8.19:9614
CCTV-1综合,http://114.226.212.138:8787/rtp/239.49.8.129:6000
CCTV-2财经,http://114.226.212.138:8787/rtp/239.49.8.50:9802
CCTV-2财经,http://114.226.212.138:8787/rtp/239.49.8.130:6000
CCTV-3综艺,http://114.226.212.138:8787/rtp/239.49.8.74:8000
CCTV-4中文国际,http://114.226.212.138:8787/rtp/239.49.8.51:9806
CCTV-4中文国际,http://114.226.212.138:8787/rtp/239.49.8.131:6000
CCTV-5体育,http://114.226.212.138:8787/rtp/239.49.0.206:8000
CCTV-5体育,http://114.226.212.138:8787/rtp/239.49.8.123:8000
CCTV-5体育,http://114.226.212.138:8787/rtp/239.49.8.75:8000
CCTV-5+体育赛事,http://114.226.212.138:8787/rtp/239.49.8.18:9610
CCTV-6电影,http://114.226.212.138:8787/rtp/239.49.8.76:8000
CCTV-7国防军事,http://114.226.212.138:8787/rtp/239.49.0.126:8000
CCTV-8电视剧,http://114.226.212.138:8787/rtp/239.49.8.77:8000
CCTV-9纪录,http://114.226.212.138:8787/rtp/239.49.8.53:9814
CCTV-10科教,http://114.226.212.138:8787/rtp/239.49.8.54:9818
CCTV-10科教,http://114.226.212.138:8787/rtp/239.49.8.134:6000
CCTV-11戏曲,http://114.226.212.138:8787/rtp/239.49.0.127:8000
CCTV-12社会与法,http://114.226.212.138:8787/rtp/239.49.8.55:9822
CCTV-12社会与法,http://114.226.212.138:8787/rtp/239.49.8.135:6000
CCTV-13新闻,http://114.226.212.138:8787/rtp/239.49.0.196:8000
CCTV-13新闻,http://114.226.212.138:8787/rtp/239.49.8.109:8000
CCTV-14少儿,http://114.226.212.138:8787/rtp/239.49.8.56:9826
CCTV-14少儿,http://114.226.212.138:8787/rtp/239.49.8.136:6000
CCTV-15音乐,http://114.226.212.138:8787/rtp/239.49.0.128:8000
CCTV-16奥林匹克,http://114.226.212.138:8787/rtp/239.49.8.31:8000
CCTV-17农业农村,http://114.226.212.138:8787/rtp/239.49.8.52:9810
CCTV-17农业农村,http://114.226.212.138:8787/rtp/239.49.8.132:6000
CCTV4K超高清,http://114.226.212.138:8787/rtp/239.49.0.82:8000
湖南卫视,http://114.226.212.138:8787/rtp/239.49.8.12:9418
湖南卫视,http://114.226.212.138:8787/rtp/239.49.8.142:6000
浙江卫视,http://114.226.212.138:8787/rtp/239.49.8.20:9618
浙江卫视,http://114.226.212.138:8787/rtp/239.49.8.139:6000
北京卫视,http://114.226.212.138:8787/rtp/239.49.8.11:9414
北京卫视,http://114.226.212.138:8787/rtp/239.49.8.141:6000
东方卫视,http://114.226.212.138:8787/rtp/239.49.8.17:9606
东方卫视,http://114.226.212.138:8787/rtp/239.49.8.140:6000
安徽卫视,http://114.226.212.138:8787/rtp/239.49.8.80:8000
安徽卫视,http://114.226.212.138:8787/rtp/239.49.8.204:6000
广东卫视,http://114.226.212.138:8787/rtp/239.49.8.13:9422
广东卫视,http://114.226.212.138:8787/rtp/239.49.8.143:6000
深圳卫视,http://114.226.212.138:8787/rtp/239.49.8.15:9430
深圳卫视,http://114.226.212.138:8787/rtp/239.49.8.145:6000
辽宁卫视,http://114.226.212.138:8787/rtp/239.49.8.48:8000
山东卫视,http://114.226.212.138:8787/rtp/239.49.8.7:9306
山东卫视,http://114.226.212.138:8787/rtp/239.49.8.146:6000
山东教育卫视,http://114.226.212.138:8787/rtp/239.49.0.252:8000
天津卫视,http://114.226.212.138:8787/rtp/239.49.8.35:8620
天津卫视,http://114.226.212.138:8787/rtp/239.49.8.148:6000
重庆卫视,http://114.226.212.138:8787/rtp/239.49.8.57:9830
重庆卫视,http://114.226.212.138:8787/rtp/239.49.8.149:6000
东南卫视,http://114.226.212.138:8787/rtp/239.49.8.112:8000
河北卫视,http://114.226.212.138:8787/rtp/239.49.8.114:8000
河北卫视,http://114.226.212.138:8787/rtp/239.49.8.188:6000
河南卫视,http://114.226.212.138:8787/rtp/239.49.8.29:8000
湖北卫视,http://114.226.212.138:8787/rtp/239.49.8.8:9632
湖北卫视,http://114.226.212.138:8787/rtp/239.49.8.147:6000
陕西卫视,http://114.226.212.138:8787/rtp/239.49.1.74:8000
四川卫视,http://114.226.212.138:8787/rtp/239.49.8.110:8000
海南卫视,http://114.226.212.138:8787/rtp/239.49.8.83:8000
甘肃卫视,http://114.226.212.138:8787/rtp/239.49.0.250:8000
广西卫视,http://114.226.212.138:8787/rtp/239.49.8.10:8000
贵州卫视,http://114.226.212.138:8787/rtp/239.49.8.49:8000
黑龙江卫视,http://114.226.212.138:8787/rtp/239.49.8.14:9426
黑龙江卫视,http://114.226.212.138:8787/rtp/239.49.8.144:6000
江西卫视,http://114.226.212.138:8787/rtp/239.49.8.111:8000
江西卫视,http://114.226.212.138:8787/rtp/239.49.8.185:6000
吉林卫视,http://114.226.212.138:8787/rtp/239.49.8.113:8000
内蒙古卫视,http://114.226.212.138:8787/rtp/239.49.1.75:8000
宁夏卫视,http://114.226.212.138:8787/rtp/239.49.1.60:8000
山西卫视,http://114.226.212.138:8787/rtp/239.49.1.55:8000
新疆卫视,http://114.226.212.138:8787/rtp/239.49.1.57:8000
云南卫视,http://114.226.212.138:8787/rtp/239.49.0.177:8000
青海卫视,http://114.226.212.138:8787/rtp/239.49.0.81:8000
西藏卫视,http://114.226.212.138:8787/rtp/239.49.1.56:8000
