# 20260829_174742_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
宁夏卫视	225.1.8.159:8124	无效			706
宁夏卫视	226.0.2.64:8424	无效			1204
宁夏卫视	239.1.1.56:8056	无效			658
宁夏卫视	239.253.92.32:8050	无效			649
宁夏卫视	239.3.1.46:8124	无效			1434
CCTV1	226.0.2.153:9136	无效			783
CCTV1	226.0.2.16:8040	无效			714
CCTV1	239.1.1.7:8007	无效			549
CCTV1	239.253.92.83:8012	无效			768
CCTV1	239.254.200.45:8008	无效			1290
CCTV2	226.0.2.154:9144	无效			634
CCTV2	226.0.2.19:8064	无效			644
CCTV2	239.1.1.8:8008	无效			643
CCTV2	239.253.92.190:6065	无效			1327
CCTV2	239.254.200.158:6000	无效			671
CCTV3	226.0.2.20:8072	无效			667
CCTV3	239.1.1.9:8009	无效			1124
CCTV3	239.253.92.191:6057	无效			1019
CCTV4	239.1.1.10:8010	无效			651
CCTV4欧洲	239.3.1.213:4220	无效			661
CCTV4美洲	225.1.8.175:4222	无效			922
CCTV4美洲	226.0.2.109:9124	无效			1147
CCTV4美洲	239.253.93.193:6371	无效			586
CCTV4美洲	239.3.1.214:4220	无效			615
CCTV5	225.1.8.89:8000	无效			1119
CCTV5	226.0.2.22:8088	无效			1006
CCTV5	239.1.1.11:8011	无效			587
CCTV5	239.3.1.173:8001	无效			711
CCTV5+	239.1.1.12:8012	无效			1255
CCTV5+	239.253.92.82:8013	无效			965
CCTV6	226.0.2.23:8096	无效			571
CCTV6	239.1.1.13:8013	无效			598
CCTV7	225.1.8.7:8104	无效			1218
CCTV7	226.0.2.159:9184	无效			917
CCTV7	239.1.1.14:8014	无效			648
CCTV7	239.253.92.194:6059	无效			594
CCTV7	239.3.1.61:8104	无效			945
CCTV8	225.1.8.85:8000	无效			1172
CCTV8	239.1.1.15:8015	无效			593
CCTV8	239.253.92.195:6060	无效			627
CCTV8	239.254.201.155:7208	无效			5773
CCTV8	239.3.1.175:8001	无效			5067
CCTV9	226.0.2.161:9200	无效			5063
CCTV9	226.0.2.26:8120	无效			5054
CCTV9	239.3.1.62:8112	无效			5833
CCTV10	226.0.2.162:9208	无效			5066
CCTV10	226.0.2.27:8128	无效			5060
CCTV10	239.1.1.17:8017	无效			5062
CCTV10	239.253.92.196:6061	无效			5770
CCTV11	226.0.2.28:8136	无效			5059
CCTV11	239.1.1.18:8018	无效			5058
CCTV11	239.253.93.153:6321	无效			5063
CCTV11	239.254.201.123:8120	无效			5952
CCTV12	225.1.8.12:8124	无效			5065
CCTV12	226.0.2.164:9224	无效			5067
CCTV12	239.253.92.197:6062	无效			5062
CCTV12	239.3.1.64:8124	无效			5854
CCTV13	226.0.2.30:8152	无效			5070
CCTV13	239.1.1.20:8020	无效			5058
CCTV13	239.254.200.9:8264	无效			5061
CCTV13	239.3.1.124:8128	无效			6165
CCTV14	239.1.1.21:8021	无效			5076
CCTV14	239.253.92.198:6063	无效			5061
CCTV14	239.3.1.65:8132	无效			5056
CCTV15	226.0.2.32:8168	无效			6253
CCTV15	239.1.1.22:8022	无效			5066
CCTV15	239.253.93.154:6322	无效			5074
CCTV15	239.3.1.153:8136	无效			5060
CCTV16	226.0.2.169:9264	无效			6163
CCTV16	239.3.1.184:8001	无效			5073
CCTV17	239.1.1.23:8023	无效			5067
CCTV17	239.253.93.150:6318	无效			5060
CCTV17	239.254.201.120:8144	无效			6122
CCTV4K	239.254.200.122:7266	无效			5069
CCTV风云音乐	239.1.1.96:8096	无效			5067
CCTV世界地理	226.0.2.222:9688	无效			5063
CCTV第一剧场	239.1.1.94:8094	无效			6199
CCTV风云剧场	239.1.1.93:8093	无效			5063
CCTV央视精品	239.1.1.91:8091	无效			5077
CCTV兵器科技	239.1.1.97:8097	无效			5068
CCTV高网频道	239.1.1.102:8102	无效			1310
CCTV怀旧剧场	239.1.1.95:8095	无效			735
CCTV女性时尚	239.1.1.89:8089	无效			577
CCTV央视台球	226.0.2.216:9640	无效			431
CCTV央视台球	239.1.1.100:8100	无效			1367
发现之旅	239.1.1.103:8103	无效			763
老故事	239.1.1.87:8087	无效			553
优优宝贝	239.1.1.114:8114	无效			554
CGTN	239.254.200.12:8056	无效			1386
CGTN	239.254.201.208:4220	无效			872
CGTN西语	225.1.8.178:4222	无效			738
CGTN西语	239.254.201.209:4220	无效			598
CGTN法语	239.3.1.218:4220	无效			1346
CGTN阿语	226.0.1.240:2114	无效			826
CGTN阿语	239.254.201.211:4220	无效			710
CGTN阿语	239.3.1.219:4220	无效			638
CGTN俄语	226.0.1.241:2115	无效			1448
中国教育1	225.1.8.169:4120	无效			759
中国教育1	226.0.2.181:9360	无效			722
中国教育1	226.0.2.68:8456	无效			655
中国教育1	239.1.1.65:8065	无效			1496
中国教育1	239.253.92.211:6069	无效			798
中国教育1	239.254.200.225:6259	无效			750
中国教育1	239.3.1.57:8152	无效			484
中国教育2	225.1.8.193:4120	无效			1378
中国教育2	239.1.1.66:8066	无效			863
中国教育2	239.254.200.226:6260	无效			778
中国教育2	239.3.1.54:4120	无效			561
中国教育4	226.0.2.70:8472	无效			1477
中国教育4	239.1.1.67:8067	无效			762
中国教育4	239.254.200.227:6261	无效			737
中国教育4	239.3.1.56:4120	无效			605
湖南卫视	225.1.8.132:8064	无效			1361
湖南卫视	226.0.2.33:8176	无效			697
湖南卫视	239.1.1.28:8028	无效			442
湖南卫视	239.253.92.84:8015	无效			655
浙江卫视	225.1.8.133:8284	无效			1355
浙江卫视	226.0.2.144:9064	无效			919
浙江卫视	239.1.1.38:8038	无效			799
浙江卫视	239.253.92.90:8020	无效			474
浙江卫视	239.254.200.53:8036	无效			6277
江苏卫视	225.1.8.134:8276	无效			5138
江苏卫视	239.1.1.35:8035	无效			5063
江苏卫视	239.254.200.51:8028	无效			5060
北京卫视	225.1.8.121:8002	无效			6140
北京卫视	226.0.2.177:9328	无效			5064
北京卫视	226.0.2.39:8224	无效			5073
北京卫视	239.1.1.41:8041	无效			5059
北京卫视	239.253.94.41:6466	无效			6338
东方卫视	225.1.8.147:8192	无效			5203
东方卫视	226.0.2.34:8184	无效			5091
东方卫视	239.1.1.31:8031	无效			5072
东方卫视	239.254.200.52:8032	无效			6219
安徽卫视	225.1.8.135:8272	无效			5104
安徽卫视	226.0.2.145:9072	无效			5059
安徽卫视	239.1.1.44:8044	无效			5064
安徽卫视	239.253.92.209:6566	无效			6310
安徽卫视	239.254.200.163:6000	无效			5194
广东卫视	225.1.8.151:8132	无效			5097
广东卫视	226.0.2.45:8272	无效			5068
广东卫视	239.1.1.49:8049	无效			6169
广东卫视	239.253.92.206:8108	无效			5064
广东卫视	239.3.1.142:8048	无效			5075
深圳卫视	225.1.8.145:9244	无效			5058
深圳卫视	239.1.1.39:8039	无效			5773
深圳卫视	239.253.92.86:8017	无效			5062
深圳卫视	239.3.1.134:8020	无效			5065
辽宁卫视	225.1.8.137:8116	无效			5061
辽宁卫视	239.1.1.42:8042	无效			6342
辽宁卫视	239.254.200.57:8056	无效			5178
辽宁卫视	239.3.1.210:8056	无效			5104
山东卫视	225.1.8.138:8148	无效			5103
山东卫视	226.0.2.51:8320	无效			6225
山东卫视	239.1.1.47:8047	无效			5235
天津卫视	225.1.8.136:8144	无效			5063
天津卫视	226.0.2.56:8360	无效			5066
天津卫视	239.1.1.46:8046	无效			6253
天津卫视	239.253.92.91:8021	无效			5184
天津卫视	239.254.200.54:1234	无效			5077
天津卫视	239.3.1.141:1234	无效			5061
重庆卫视	225.1.8.148:8296	无效			6209
重庆卫视	226.0.2.174:9304	无效			5180
重庆卫视	226.0.2.50:8312	无效			5061
重庆卫视	239.1.1.36:8036	无效			5057
重庆卫视	239.253.92.10:6053	无效			6260
重庆卫视	239.254.200.203:6323	无效			5249
重庆卫视	239.3.1.122:8160	无效			5106
