# 20260602_133211_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
200-1	233.50.200.1:5140	无效			6094
200-2	233.50.200.2:5140	无效			5866
200-3	233.50.200.3:5140	无效			6917
200-4	233.50.200.4:5140	无效			5624
200-5	233.50.200.5:5140	无效			5632
200-6	233.50.200.6:5140	无效			6404
200-7	233.50.200.7:5140	无效			7425
200-8	233.50.200.8:5140	无效			5625
200-9	233.50.200.9:5140	无效			5636
200-10	233.50.200.10:5140	无效			6091
200-13	233.50.200.13:5140	无效			5878
200-16	233.50.200.16:5140	无效			5879
200-17	233.50.200.17:5140	无效			5626
200-18	233.50.200.18:5140	无效			5639
200-19	233.50.200.19:5140	无效			5624
200-30	233.50.200.30:5140	无效			5634
200-35	233.50.200.35:5140	无效			5635
200-36	233.50.200.36:5140	无效			5633
200-37	233.50.200.37:5140	无效			6084
200-38	233.50.200.38:5140	无效			5883
200-39	233.50.200.39:5140	无效			5634
200-40	233.50.200.40:5140	无效			5621
200-43	233.50.200.43:5140	无效			5635
200-46	233.50.200.46:5140	无效			5635
200-54	233.50.200.54:5140	无效			5620
200-55	233.50.200.55:5140	无效			6407
200-56	233.50.200.56:5140	无效			5634
200-57	233.50.200.57:5140	无效			6095
200-58	233.50.200.58:5140	无效			5858
200-59	233.50.200.59:5140	无效			5634
200-60	233.50.200.60:5140	无效			6660
200-73	233.50.200.73:5140	无效			6406
200-74	233.50.200.74:5140	无效			5627
200-75	233.50.200.75:5140	无效			5633
200-76	233.50.200.76:5140	无效			5636
200-89	233.50.200.89:5140	无效			5620
200-92	233.50.200.92:5140	无效			6093
200-93	233.50.200.93:5140	无效			5883
200-94	233.50.200.94:5140	无效			5868
200-96	233.50.200.96:5140	无效			5643
200-116	233.50.200.116:5140	无效			6650
200-117	233.50.200.117:5140	无效			6662
200-121	233.50.200.121:5140	无效			5628
200-134	233.50.200.134:5140	无效			5620
200-140	233.50.200.140:5140	无效			5645
200-151	233.50.200.151:5140	无效			6085
200-152	233.50.200.152:5140	无效			6897
200-156	233.50.200.156:5140	无效			5637
200-157	233.50.200.157:5140	无效			5632
200-159	233.50.200.159:5140	无效			5623
200-160	233.50.200.160:5140	无效			6405
200-161	233.50.200.161:5140	无效			5633
200-168	233.50.200.168:5140	无效			5628
200-176	233.50.200.176:5140	有效	720x576	h264	5770
200-180	233.50.200.180:5140	无效			5629
200-181	233.50.200.181:5140	无效			6066
200-184	233.50.200.184:5140	无效			5889
200-186	233.50.200.186:5140	无效			5890
200-195	233.50.200.195:5140	无效			5890
200-196	233.50.200.196:5140	无效			5626
200-197	233.50.200.197:5140	无效			5635
200-198	233.50.200.198:5140	无效			5636
200-199	233.50.200.199:5140	无效			5629
200-200	233.50.200.200:5140	无效			5634
200-202	233.50.200.202:5140	无效			6078
200-214	233.50.200.214:5140	无效			7923
200-216	233.50.200.216:5140	无效			5634
200-217	233.50.200.217:5140	无效			6659
200-219	233.50.200.219:5140	无效			6649
200-221	233.50.200.221:5140	无效			5639
200-222	233.50.200.222:5140	无效			6650
200-224	233.50.200.224:5140	有效		h264	6863
200-226	233.50.200.226:5140	无效			6656
200-227	233.50.200.227:5140	无效			5641
200-228	233.50.200.228:5140	有效	720x576	h264	5802
200-230	233.50.200.230:5140	无效			6058
200-232	233.50.200.232:5140	无效			5893
200-238	233.50.200.238:5140	无效			5895
200-239	233.50.200.239:5140	无效			6393
200-240	233.50.200.240:5140	无效			5630
