# 20260816_150510_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
0-23	239.77.0.23:5146	无效			6136
0-24	239.77.0.24:5146	无效			5633
0-26	239.77.0.26:5146	无效			6718
0-29	239.77.0.29:5146	无效			5581
0-50	239.77.0.50:5146	无效			6894
0-51	239.77.0.51:5146	无效			6140
0-52	239.77.0.52:5146	无效			5629
0-53	239.77.0.53:5146	无效			5637
0-54	239.77.0.54:5146	无效			5625
0-55	239.77.0.55:5146	无效			5632
0-62	239.77.0.62:5146	无效			6405
0-63	239.77.0.63:5146	无效			5886
0-64	239.77.0.64:5146	无效			5890
0-71	239.77.0.71:5146	无效			5899
0-72	239.77.0.72:5146	无效			6374
0-76	239.77.0.76:5146	无效			6134
0-80	239.77.0.80:5146	无效			5637
0-82	239.77.0.82:5146	无效			6716
0-116	239.77.0.116:5146	无效			5587
0-118	239.77.0.118:5146	无效			6891
0-120	239.77.0.120:5146	无效			6400
0-121	239.77.0.121:5146	无效			5887
0-142	239.77.0.142:5146	无效			5622
0-143	239.77.0.143:5146	无效			6402
0-144	239.77.0.144:5146	无效			6396
0-147	239.77.0.147:5146	无效			5882
0-151	239.77.0.151:5146	无效			5629
0-152	239.77.0.152:5146	无效			5636
0-154	239.77.0.154:5146	无效			5624
0-156	239.77.0.156:5146	无效			6398
0-157	239.77.0.157:5146	无效			6399
0-158	239.77.0.158:5146	无效			5887
0-184	239.77.0.184:5146	无效			6647
0-192	239.77.0.192:5146	无效			5641
0-195	239.77.0.195:5146	无效			5621
0-196	239.77.0.196:5146	无效			6135
0-197	239.77.0.197:5146	无效			5634
0-203	239.77.0.203:5146	无效			5631
0-204	239.77.0.204:5146	无效			5625
0-205	239.77.0.205:5146	无效			5632
0-208	239.77.0.208:5146	无效			6400
0-210	239.77.0.210:5146	无效			5886
0-211	239.77.0.211:5146	无效			5888
0-214	239.77.0.214:5146	无效			5894
0-216	239.77.0.216:5146	无效			5868
0-219	239.77.0.219:5146	无效			6394
0-223	239.77.0.223:5146	无效			5881
0-224	239.77.0.224:5146	无效			5894
0-227	239.77.0.227:5146	无效			5885
0-231	239.77.0.231:5146	无效			5882
0-234	239.77.0.234:5146	无效			6083
0-235	239.77.0.235:5146	无效			5630
0-237	239.77.0.237:5146	无效			5636
0-238	239.77.0.238:5146	无效			5628
0-239	239.77.0.239:5146	无效			5631
0-242	239.77.0.242:5146	无效			6337
0-243	239.77.0.243:5146	无效			5899
0-246	239.77.0.246:5146	无效			5888
0-247	239.77.0.247:5146	无效			5899
0-248	239.77.0.248:5146	无效			5868
0-249	239.77.0.249:5146	无效			6608
1-1	239.77.1.1:5146	无效			6125
1-11	239.77.1.11:5146	无效			5895
1-39	239.77.1.39:5146	无效			5631
1-40	239.77.1.40:5146	无效			5637
1-41	239.77.1.41:5146	无效			6597
1-42	239.77.1.42:5146	无效			5886
1-43	239.77.1.43:5146	无效			5631
1-44	239.77.1.44:5146	无效			5887
1-45	239.77.1.45:5146	无效			5886
1-46	239.77.1.46:5146	无效			6620
1-47	239.77.1.47:5146	无效			6114
1-48	239.77.1.48:5146	无效			5896
1-49	239.77.1.49:5146	无效			5880
1-51	239.77.1.51:5146	无效			5891
1-53	239.77.1.53:5146	无效			6333
1-56	239.77.1.56:5146	无效			5889
1-58	239.77.1.58:5146	无效			5892
1-59	239.77.1.59:5146	无效			5884
1-60	239.77.1.60:5146	无效			5892
1-61	239.77.1.61:5146	无效			6331
1-62	239.77.1.62:5146	无效			5886
1-63	239.77.1.63:5146	无效			5895
1-64	239.77.1.64:5146	无效			5884
1-65	239.77.1.65:5146	无效			5887
1-66	239.77.1.66:5146	无效			6601
1-68	239.77.1.68:5146	无效			5863
1-71	239.77.1.71:5146	无效			5634
1-72	239.77.1.72:5146	无效			5887
1-73	239.77.1.73:5146	无效			5896
1-75	239.77.1.75:5146	无效			6318
1-76	239.77.1.76:5146	无效			5891
1-80	239.77.1.80:5146	无效			5892
1-81	239.77.1.81:5146	无效			5902
1-95	239.77.1.95:5146	无效			5877
1-98	239.77.1.98:5146	无效			6575
1-100	239.77.1.100:5146	无效			6133
1-101	239.77.1.101:5146	无效			5629
1-102	239.77.1.102:5146	无效			5634
1-106	239.77.1.106:5146	无效			5894
1-110	239.77.1.110:5146	无效			6568
1-118	239.77.1.118:5146	无效			6136
1-119	239.77.1.119:5146	无效			5897
1-123	239.77.1.123:5146	无效			5883
1-126	239.77.1.126:5146	无效			5627
1-127	239.77.1.127:5146	无效			6576
1-133	239.77.1.133:5146	无效			6130
1-134	239.77.1.134:5146	无效			5884
1-135	239.77.1.135:5146	无效			5628
1-136	239.77.1.136:5146	无效			5635
1-137	239.77.1.137:5146	无效			6302
1-139	239.77.1.139:5146	无效			5887
1-143	239.77.1.143:5146	无效			5887
1-145	239.77.1.145:5146	无效			5900
1-146	239.77.1.146:5146	无效			5880
1-147	239.77.1.147:5146	无效			6292
1-154	239.77.1.154:5146	无效			5894
1-155	239.77.1.155:5146	无效			5885
1-164	239.77.1.164:5146	无效			5899
1-165	239.77.1.165:5146	无效			5882
1-172	239.77.1.172:5146	无效			7570
1-173	239.77.1.173:5146	无效			5629
1-178	239.77.1.178:5146	无效			5639
1-181	239.77.1.181:5146	无效			5632
1-185	239.77.1.185:5146	无效			5886
1-186	239.77.1.186:5146	无效			6553
1-187	239.77.1.187:5146	无效			6135
1-188	239.77.1.188:5146	无效			5897
1-192	239.77.1.192:5146	无效			5883
1-193	239.77.1.193:5146	无效			5887
1-196	239.77.1.196:5146	无效			6552
1-199	239.77.1.199:5146	无效			5883
1-200	239.77.1.200:5146	无效			5642
1-201	239.77.1.201:5146	无效			5882
1-202	239.77.1.202:5146	无效			5889
1-203	239.77.1.203:5146	无效			6554
1-204	239.77.1.204:5146	无效			6144
1-206	239.77.1.206:5146	无效			5882
1-207	239.77.1.207:5146	无效			5890
1-208	239.77.1.208:5146	无效			5622
1-209	239.77.1.209:5146	无效			6557
1-210	239.77.1.210:5146	无效			5875
1-211	239.77.1.211:5146	无效			5627
1-212	239.77.1.212:5146	无效			5894
1-213	239.77.1.213:5146	无效			5892
1-216	239.77.1.216:5146	无效			6297
1-220	239.77.1.220:5146	无效			5878
1-224	239.77.1.224:5146	无效			5628
1-225	239.77.1.225:5146	无效			5635
1-226	239.77.1.226:5146	无效			5637
1-227	239.77.1.227:5146	无效			7483
1-228	239.77.1.228:5146	无效			5888
1-230	239.77.1.230:5146	无效			5884
1-231	239.77.1.231:5146	无效			8451
1-235	239.77.1.235:5146	无效			5631
1-236	239.77.1.236:5146	无效			6456
1-240	239.77.1.240:5146	无效			6403
1-241	239.77.1.241:5146	无效			5889
1-243	239.77.1.243:5146	无效			5627
1-245	239.77.1.245:5146	无效			5629
1-247	239.77.1.247:5146	无效			7212
1-248	239.77.1.248:5146	无效			5881
1-249	239.77.1.249:5146	无效			5641
1-250	239.77.1.250:5146	无效			5630
1-251	239.77.1.251:5146	无效			5627
1-252	239.77.1.252:5146	无效			7722
1-253	239.77.1.253:5146	无效			6658
1-254	239.77.1.254:5146	无效			6395
43-3	239.253.43.3:5146	无效			5631
43-4	239.253.43.4:5146	无效			5632
43-17	239.253.43.17:5146	有效		cavs	6992
43-30	239.253.43.30:5146	无效			7206
43-31	239.253.43.31:5146	无效			5884
43-32	239.253.43.32:5146	无效			5649
43-38	239.253.43.38:5146	无效			5621
43-39	239.253.43.39:5146	无效			6649
43-41	239.253.43.41:5146	无效			6437
43-42	239.253.43.42:5146	无效			5884
43-43	239.253.43.43:5146	无效			5633
43-44	239.253.43.44:5146	无效			5886
43-47	239.253.43.47:5146	无效			6400
43-48	239.253.43.48:5146	无效			10272
43-49	239.253.43.49:5146	无效			5639
43-50	239.253.43.50:5146	无效			5887
43-51	239.253.43.51:5146	无效			5886
43-52	239.253.43.52:5146	无效			5627
43-58	239.253.43.58:5146	无效			7459
43-59	239.253.43.59:5146	无效			6664
43-60	239.253.43.60:5146	无效			5883
43-61	239.253.43.61:5146	无效			9468
43-64	239.253.43.64:5146	无效			6651
43-65	239.253.43.65:5146	无效			6427
43-66	239.253.43.66:5146	无效			7686
43-67	239.253.43.67:5146	无效			6653
43-68	239.253.43.68:5146	无效			5631
43-69	239.253.43.69:5146	无效			6403
43-76	239.253.43.76:5146	无效			6706
43-77	239.253.43.77:5146	无效			5870
43-78	239.253.43.78:5146	无效			6653
43-79	239.253.43.79:5146	无效			7933
43-80	239.253.43.80:5146	无效			5636
43-81	239.253.43.81:5146	无效			6561
43-84	239.253.43.84:5146	无效			6134
43-85	239.253.43.85:5146	无效			5901
43-86	239.253.43.86:5146	无效			5890
43-87	239.253.43.87:5146	无效			5886
43-88	239.253.43.88:5146	无效			6556
43-89	239.253.43.89:5146	无效			6140
