# 20260813_145553_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
上海纪实	239.37.0.152:5540	无效			5315
CCTV1	226.0.2.153:9136	无效			5098
CCTV1	226.0.2.18:8056	无效			5064
CCTV1	229.58.190.129:5000	无效			5060
CCTV1	229.58.190.151:5000	无效			5058
CCTV1	232.0.0.27:8808	无效			5061
CCTV1	239.1.1.7:8007	无效			5057
CCTV1	239.253.92.83:8012	无效			5057
CCTV1	239.254.200.45:8008	无效			5057
CCTV1	239.3.1.129:8008	无效			5057
CCTV1	239.37.0.178:5540	无效			5345
CCTV1	239.37.0.20:5540	无效			5218
CCTV1	239.37.0.254:5540	无效			5063
CCTV1	239.37.0.8:5540	无效			5056
CCTV2	226.0.2.154:9144	无效			5061
CCTV2	226.0.2.19:8064	无效			5059
CCTV2	229.58.190.130:5000	无效			5059
CCTV2	229.58.190.153:5000	无效			5060
CCTV2	232.0.0.132:9144	无效			5054
CCTV2	239.1.1.8:8008	无效			5057
CCTV2	239.253.92.190:6065	无效			5781
CCTV2	239.254.200.158:6000	无效			5147
CCTV2	239.3.1.60:8084	无效			5070
CCTV2	239.37.0.21:5540	无效			5063
CCTV2	239.37.0.3:5540	无效			5059
CCTV3	226.0.2.208:9576	无效			5056
CCTV3	226.0.2.20:8072	无效			5058
CCTV3	229.58.190.24:5000	无效			5054
CCTV3	229.58.190.35:5000	无效			5054
CCTV3	232.0.0.198:9214	无效			5056
CCTV3	239.1.1.9:8009	无效			5429
CCTV3	239.253.92.191:6057	无效			5162
CCTV3	239.254.201.152:7205	无效			5061
CCTV3	239.3.1.172:8001	无效			5055
CCTV3	239.37.0.231:5540	无效			5063
CCTV4	226.0.2.156:9160	无效			5063
CCTV4	226.0.2.21:8080	无效			5058
CCTV4	229.58.190.131:5000	无效			5059
CCTV4	232.0.0.148:9142	无效			5056
CCTV4	239.1.1.10:8010	无效			5053
CCTV4	239.253.92.251:6141	无效			5787
CCTV4	239.254.200.190:6307	无效			5098
CCTV4	239.3.1.105:8092	无效			5063
CCTV4	239.3.1.245:2000	无效			5060
CCTV4欧洲	226.0.2.108:9116	无效			5061
CCTV4欧洲	239.253.93.192:6370	无效			5062
CCTV4欧洲	239.254.201.205:4220	无效			5057
CCTV4欧洲	239.3.1.213:4220	无效			5055
CCTV4美洲	226.0.2.109:9124	无效			5057
CCTV4美洲	239.253.93.193:6371	无效			5055
CCTV4美洲	239.254.201.206:4220	无效			5822
CCTV4美洲	239.3.1.214:4220	无效			5208
CCTV5	226.0.2.209:9584	无效			5076
CCTV5	226.0.2.22:8088	无效			5075
CCTV5	229.58.190.32:5000	无效			5074
CCTV5	229.58.190.60:5000	无效			5081
CCTV5	232.0.0.196:9210	无效			5070
CCTV5	239.1.1.11:8011	无效			5070
CCTV5	239.253.92.181:6046	无效			5072
CCTV5	239.254.201.153:7206	无效			5073
CCTV5	239.3.1.173:8001	无效			5563
CCTV5	239.37.0.232:5540	无效			5098
CCTV5+	226.0.2.168:9256	无效			5065
CCTV5+	229.58.190.154:5000	无效			5062
CCTV5+	232.0.0.93:8750	无效			5057
CCTV5+	239.1.1.12:8012	无效			5060
CCTV5+	239.253.92.82:8013	无效			5059
CCTV5+	239.254.200.46:8004	无效			5060
CCTV5+	239.3.1.130:8004	无效			5055
CCTV5+	239.37.0.121:5540	无效			5056
CCTV6	226.0.2.210:9592	无效			5531
CCTV6	226.0.2.23:8096	无效			5095
CCTV6	229.58.190.48:5000	无效			5064
CCTV6	229.58.190.61:5000	无效			5059
CCTV6	232.0.0.194:9206	无效			5061
CCTV6	239.1.1.13:8013	无效			5054
CCTV6	239.253.92.193:6058	无效			5055
CCTV6	239.254.201.154:7207	无效			5053
CCTV6	239.3.1.174:8001	无效			5056
CCTV6	239.37.0.233:5540	无效			5060
CCTV7	226.0.2.159:9184	无效			5720
CCTV7	226.0.2.24:8104	无效			5065
CCTV7	229.58.190.132:5000	无效			5059
CCTV7	229.58.190.82:5000	无效			5061
CCTV7	232.0.0.133:9146	无效			5060
CCTV7	239.1.1.14:8014	无效			5062
CCTV7	239.253.92.194:6059	无效			5059
CCTV7	239.254.200.159:6000	无效			5057
CCTV7	239.3.1.61:8104	无效			5055
CCTV7	239.37.0.2:5540	无效			5060
CCTV7	239.37.0.84:5540	无效			5797
CCTV8	226.0.2.211:9600	无效			5162
CCTV8	226.0.2.25:8112	无效			5066
CCTV8	229.58.190.50:5000	无效			5063
CCTV8	229.58.190.63:5000	无效			5060
CCTV8	232.0.0.28:8710	无效			5057
CCTV8	239.1.1.15:8015	无效			5055
CCTV8	239.253.92.195:6060	无效			5057
CCTV8	239.254.201.155:7208	无效			5054
CCTV8	239.3.1.175:8001	无效			5053
CCTV8	239.37.0.234:5540	无效			5773
CCTV9	226.0.2.161:9200	无效			5207
CCTV9	226.0.2.26:8120	无效			5079
CCTV9	229.58.190.156:5000	无效			5083
CCTV9	229.58.190.58:5000	无效			5081
CCTV9	232.0.0.134:9148	无效			5077
CCTV9	239.1.1.16:8016	无效			5079
CCTV9	239.253.92.107:6020	无效			5071
CCTV9	239.254.200.59:8112	无效			5060
CCTV9	239.3.1.62:8112	无效			5062
CCTV9	239.37.0.1:5540	无效			5695
CCTV10	226.0.2.162:9208	无效			5067
CCTV10	226.0.2.27:8128	无效			5058
CCTV10	229.58.190.133:5000	无效			5063
CCTV10	229.58.190.157:5000	无效			5061
CCTV10	232.0.0.135:9150	无效			5055
CCTV10	239.1.1.17:8017	无效			5055
CCTV10	239.253.92.196:6061	无效			5057
CCTV10	239.254.200.160:6000	无效			5057
CCTV10	239.3.1.63:8116	无效			5059
CCTV10	239.37.0.7:5540	无效			5844
CCTV11	226.0.2.28:8136	无效			5141
CCTV11	229.58.190.134:5000	无效			5078
CCTV11	239.1.1.18:8018	无效			5066
CCTV11	239.253.93.153:6321	无效			5071
CCTV11	239.254.201.123:8120	无效			5078
CCTV11	239.3.1.152:8120	无效			5065
CCTV11	239.37.0.227:5540	无效			5061
CCTV12	226.0.2.164:9224	无效			5060
CCTV12	226.0.2.29:8144	无效			5058
CCTV12	229.58.190.135:5000	无效			5830
CCTV12	232.0.0.136:9152	无效			5184
CCTV12	239.1.1.19:8019	无效			5069
CCTV12	239.253.92.197:6062	无效			5068
CCTV12	239.254.200.161:6000	无效			5077
CCTV12	239.3.1.64:8124	无效			5075
CCTV12	239.37.0.6:5540	无效			5071
CCTV13	226.0.2.165:9232	无效			5062
CCTV13	226.0.2.30:8152	无效			5075
CCTV13	229.58.190.136:5000	无效			5070
CCTV13	229.58.190.199:5000	无效			5878
CCTV13	232.0.0.146:9112	无效			5145
CCTV13	239.1.1.20:8020	无效			5073
CCTV13	239.253.92.13:8008	无效			5075
CCTV13	239.254.200.9:8264	无效			5073
CCTV13	239.3.1.124:8128	无效			5077
CCTV13	239.37.0.150:5540	无效			5079
CCTV14	226.0.2.166:9240	无效			5069
CCTV14	226.0.2.31:8160	无效			5060
CCTV14	229.58.190.137:5000	无效			5060
CCTV14	229.58.190.159:5000	无效			6026
CCTV14	232.0.0.137:9154	无效			5071
CCTV14	239.1.1.21:8021	无效			5060
CCTV14	239.253.92.198:6063	无效			5061
CCTV14	239.254.200.162:6000	无效			5057
CCTV14	239.3.1.65:8132	无效			5077
CCTV14	239.37.0.5:5540	无效			5064
CCTV15	226.0.2.32:8168	无效			5079
CCTV15	229.58.190.127:5000	无效			5075
CCTV15	239.1.1.22:8022	无效			5073
CCTV15	239.253.93.154:6322	无效			6070
CCTV15	239.254.201.124:8136	无效			5085
CCTV15	239.3.1.153:8136	无效			5080
CCTV16	226.0.2.169:9264	无效			5065
CCTV16	239.1.1.122:8122	无效			5059
CCTV16	239.3.1.184:8001	无效			5059
CCTV16	239.37.1.21:5540	无效			5064
CCTV16	239.37.1.22:5540	无效			5066
CCTV17	226.0.2.170:9272	无效			5070
CCTV17	226.0.2.207:9568	无效			5072
CCTV17	229.58.190.211:5000	无效			6016
CCTV17	232.0.0.63:8686	无效			5071
CCTV17	239.1.1.23:8023	无效			5063
CCTV17	239.253.93.150:6318	无效			5058
CCTV17	239.254.201.120:8144	无效			5059
CCTV17	239.3.1.151:8144	无效			5073
CCTV4K	239.254.200.122:7266	无效			5074
CCTV风云音乐	226.0.2.220:9672	无效			5073
CCTV风云音乐	232.0.0.108:9288	无效			5069
CCTV风云音乐	239.1.1.96:8096	无效			5078
CCTV风云音乐	239.37.0.81:5540	无效			6103
CCTV世界地理	226.0.2.222:9688	无效			5092
CCTV世界地理	229.58.190.169:5000	无效			5083
CCTV世界地理	232.0.0.123:9292	无效			5072
CCTV世界地理	239.1.1.99:8099	无效			5061
CCTV世界地理	239.37.0.79:5540	无效			5074
CCTV第一剧场	226.0.2.221:9680	无效			5062
CCTV第一剧场	229.58.190.171:5000	无效			5062
CCTV第一剧场	232.0.0.147:9132	无效			5055
CCTV第一剧场	239.1.1.94:8094	无效			5065
CCTV第一剧场	239.37.0.78:5540	无效			6043
CCTV风云剧场	226.0.2.227:9728	无效			5084
CCTV风云剧场	229.58.190.170:5000	无效			5072
CCTV风云剧场	232.0.0.177:9172	无效			5061
CCTV风云剧场	232.0.0.52:8610	无效			5058
CCTV风云剧场	239.1.1.93:8093	无效			5058
CCTV风云剧场	239.37.0.114:5540	无效			5059
CCTV央视精品	226.0.2.219:9664	无效			5069
CCTV央视精品	229.58.190.57:5000	无效			5073
CCTV央视精品	232.0.0.107:8698	无效			5077
CCTV央视精品	239.1.1.91:8091	无效			1168
CCTV央视精品	239.37.0.83:5540	无效			615
CCTV兵器科技	226.0.2.223:9696	无效			324
CCTV兵器科技	229.58.190.189:5000	无效			502
CCTV兵器科技	232.0.0.121:8882	无效			484
CCTV兵器科技	239.1.1.97:8097	无效			434
CCTV风云足球	226.0.2.225:9712	无效			285
CCTV风云足球	229.58.190.190:5000	无效			387
CCTV风云足球	232.0.0.90:9286	无效			525
CCTV风云足球	239.1.1.101:8101	无效			600
CCTV风云足球	239.37.0.80:5540	无效			1256
CCTV高网频道	226.0.2.217:9648	无效			759
CCTV高网频道	229.58.190.11:5000	无效			553
CCTV高网频道	239.1.1.102:8102	无效			490
CCTV高网频道	239.37.0.230:5540	无效			331
CCTV怀旧剧场	226.0.2.224:9704	无效			322
CCTV怀旧剧场	229.58.190.78:5000	无效			433
CCTV怀旧剧场	232.0.0.204:9226	无效			561
CCTV怀旧剧场	239.1.1.95:8095	无效			569
CCTV怀旧剧场	239.37.0.82:5540	无效			353
CCTV女性时尚	226.0.2.226:9720	无效			1166
CCTV女性时尚	229.58.190.195:5000	无效			798
CCTV女性时尚	232.0.0.120:8858	无效			381
CCTV女性时尚	239.1.1.89:8089	无效			324
CCTV女性时尚	239.37.0.69:5540	无效			476
CCTV央视台球	226.0.2.216:9640	无效			523
CCTV央视台球	229.58.190.193:5000	无效			501
CCTV央视台球	232.0.0.122:9290	无效			552
CCTV央视台球	239.1.1.100:8100	无效			539
CCTV央视台球	239.37.0.163:5540	无效			363
CCTV电视指南	226.0.2.218:9656	无效			1173
CCTV电视指南	229.58.190.25:5000	无效			742
CCTV电视指南	239.1.1.90:8090	无效			311
CCTV电视指南	239.37.0.115:5540	无效			438
发现之旅	239.1.1.103:8103	无效			494
老故事	226.0.2.112:8808	无效			496
老故事	229.58.190.194:5000	无效			463
