# 20260702_161915_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
天津卫视	225.1.1.111:5002	无效			5434
天津卫视	239.5.1.1:5000	无效			5056
天津IPTV	225.1.2.123:5002	无效			5056
天津交通广播	225.1.1.175:5002	无效			5052
天津体育	225.1.1.122:5002	无效			5785
天津体育频道	239.5.1.3:5000	无效			5225
天津农村广播	225.1.1.180:5002	无效			5064
天津小说广播	225.1.1.177:5002	无效			5070
天津少儿	225.1.1.125:5002	无效			5574
天津少儿频道	239.5.1.24:5000	无效			5059
天津影视	225.1.1.149:5002	无效			5049
天津影视频道	239.5.1.2:5000	无效			5051
天津教育频道	239.5.1.29:5000	无效			5428
天津文艺	225.1.1.131:5002	无效			5053
天津文艺广播	225.1.1.171:5002	无效			5054
天津文艺频道	239.5.1.31:5000	无效			5054
天津新闻	225.1.1.130:5002	无效			5607
天津新闻广播	225.1.1.173:5002	无效			5136
天津新闻频道	239.5.1.30:5000	无效			5063
天津滨海广播	225.1.1.178:5002	无效			5054
天津生活广播	225.1.1.174:5002	无效			5634
天津相声广播	225.1.1.176:5002	无效			5128
天津科教	225.1.1.129:5002	无效			5058
天津经济广播	225.1.1.172:5002	无效			5061
天津购物	225.1.1.151:5002	无效			5695
天津购物自营	225.1.1.108:5002	无效			5173
天津购物频道	239.5.1.114:5000	无效			5096
天津都市	225.1.1.128:5002	无效			5083
天津都市频道	239.5.1.27:5000	无效			5675
天津音乐广播	225.1.1.179:5002	无效			5164
CCTV-1综合	225.1.1.120:5002	无效			5054
CCTV-1综合	239.5.1.4:5000	无效			5051
CCTV-2财经	239.5.1.5:5000	无效			5595
CCTV-3综艺	225.1.1.158:5002	无效			5094
CCTV-3综艺	239.5.1.101:5000	无效			5062
CCTV-4中文国际	225.1.1.150:5002	无效			5049
CCTV-4中文国际	239.5.1.6:5000	无效			5695
CCTV-5体育	225.1.1.160:5002	无效			5153
CCTV-5体育	239.5.1.102:5000	无效			5123
CCTV-5+体育赛事	225.1.1.121:5002	无效			5071
CCTV-5+体育赛事	239.5.1.7:5000	无效			5544
CCTV-6电影	225.1.1.195:5002	无效			5053
CCTV-6电影	239.5.1.103:5000	无效			5048
CCTV-7国防军事	225.1.1.138:5002	无效			5049
CCTV-7国防军事	239.5.1.8:5000	无效			5730
CCTV-8电视剧	225.1.1.196:5002	无效			5126
CCTV-8电视剧	239.5.1.104:5000	无效			5076
CCTV-9纪录	225.1.1.119:5002	无效			5052
CCTV-9纪录	239.5.1.9:5000	无效			5604
CCTV-10科教	225.1.1.140:5002	无效			5112
CCTV-10科教	239.5.1.10:5000	无效			5066
CCTV-11戏曲	225.1.2.192:5002	无效			5064
CCTV-11戏曲	239.5.1.137:5000	无效			5578
CCTV-12社会与法	225.1.1.142:5002	无效			5087
CCTV-12社会与法	239.5.1.11:5000	无效			5054
CCTV-13新闻	225.1.2.193:5002	无效			5057
CCTV-13新闻	239.5.1.138:5000	无效			5601
CCTV-14少儿	225.1.1.144:5002	无效			5098
CCTV-14少儿	239.5.1.12:5000	无效			5075
CCTV-15音乐	225.1.2.194:5002	无效			5069
CCTV-15音乐	239.5.1.139:5000	无效			5577
CCTV-16奥林匹克	225.1.2.237:5002	无效			5099
CCTV-16奥林匹克	239.5.1.146:5000	无效			5064
CCTV-17农业农村	225.1.2.52:5002	无效			5049
CCTV-17农业农村	239.5.1.140:5000	无效			5661
CHC高清电影	225.1.1.214:5002	无效			5128
CHC动作电影	225.1.1.215:5002	无效			5051
CHC动作电影	239.5.1.52:5000	无效			5045
CHC家庭影院	225.1.1.213:5002	无效			5509
CHC家庭影院	239.5.1.50:5000	无效			5051
CCTV风云音乐	239.5.1.128:5000	无效			5056
CCTV世界地理	239.5.1.124:5000	无效			5058
CCTV第一剧场	239.5.1.121:5000	无效			5676
CCTV风云剧场	239.5.1.123:5000	无效			5160
CCTV央视文化精品	239.5.1.126:5000	无效			5109
CCTV兵器科技	239.5.1.125:5000	无效			5084
CCTV风云足球	239.5.1.119:5000	无效			5686
CCTV高尔夫网球	239.5.1.120:5000	无效			5162
CCTV怀旧剧场	239.5.1.122:5000	无效			5123
CCTV女性时尚	239.5.1.127:5000	无效			5082
CCTV央视台球	239.5.1.130:5000	无效			5681
CCTV电视指南	239.5.1.129:5000	无效			5164
优优宝贝	225.1.2.203:5002	无效			5124
CGTN	225.1.1.27:5002	无效			5083
湖南卫视	225.1.1.114:5002	无效			5666
湖南卫视	239.5.1.16:5000	无效			5172
浙江卫视	225.1.1.112:5002	无效			5127
浙江卫视	239.5.1.14:5000	无效			5097
江苏卫视	225.1.1.126:5002	无效			5593
江苏卫视	239.5.1.25:5000	无效			5095
北京卫视	225.1.1.113:5002	无效			5069
北京卫视	239.5.1.89:5000	无效			5062
东方卫视	225.1.2.31:5002	无效			5634
东方卫视	239.5.1.81:5000	无效			5152
安徽卫视	225.1.1.127:5002	无效			5053
安徽卫视	239.5.1.26:5000	无效			5050
广东卫视	225.1.1.116:5002	无效			5758
