# 20260607_155007_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
天津卫视	225.1.1.111:5002	无效			5692
天津卫视	239.5.1.1:5000	无效			5066
天津IPTV	225.1.2.123:5002	无效			5055
天津交通广播	225.1.1.175:5002	无效			5064
天津体育	225.1.1.122:5002	无效			5619
天津体育频道	239.5.1.3:5000	无效			5072
天津农村广播	225.1.1.180:5002	无效			5078
天津小说广播	225.1.1.177:5002	无效			5067
天津少儿	225.1.1.125:5002	无效			5488
天津少儿频道	239.5.1.24:5000	无效			5064
天津影视	225.1.1.149:5002	无效			5057
天津影视频道	239.5.1.2:5000	无效			5061
天津教育频道	239.5.1.29:5000	无效			5426
天津文艺	225.1.1.131:5002	无效			5059
天津文艺广播	225.1.1.171:5002	无效			5063
天津文艺频道	239.5.1.31:5000	无效			5058
天津新闻	225.1.1.130:5002	无效			5690
天津新闻广播	225.1.1.173:5002	无效			5062
天津新闻频道	239.5.1.30:5000	无效			5061
天津滨海广播	225.1.1.178:5002	无效			5057
天津生活广播	225.1.1.174:5002	无效			5745
天津相声广播	225.1.1.176:5002	无效			5080
天津科教	225.1.1.129:5002	无效			5063
天津经济广播	225.1.1.172:5002	无效			5061
天津购物	225.1.1.151:5002	无效			5774
天津购物自营	225.1.1.108:5002	无效			5086
天津购物频道	239.5.1.114:5000	无效			5075
天津都市	225.1.1.128:5002	无效			5062
天津都市频道	239.5.1.27:5000	无效			5703
天津音乐广播	225.1.1.179:5002	无效			5070
CCTV-1综合	225.1.1.120:5002	无效			5068
CCTV-1综合	239.5.1.4:5000	无效			5061
CCTV-2财经	239.5.1.5:5000	无效			5845
CCTV-3综艺	225.1.1.158:5002	无效			5210
CCTV-3综艺	239.5.1.101:5000	无效			5057
CCTV-4中文国际	225.1.1.150:5002	无效			5058
CCTV-4中文国际	239.5.1.6:5000	无效			5740
CCTV-5体育	225.1.1.160:5002	无效			5075
CCTV-5体育	239.5.1.102:5000	无效			5074
CCTV-5+体育赛事	225.1.1.121:5002	无效			5068
CCTV-5+体育赛事	239.5.1.7:5000	无效			5752
CCTV-6电影	225.1.1.195:5002	无效			5082
CCTV-6电影	239.5.1.103:5000	无效			5070
CCTV-7国防军事	225.1.1.138:5002	无效			5068
CCTV-7国防军事	239.5.1.8:5000	无效			5920
CCTV-8电视剧	225.1.1.196:5002	无效			5521
CCTV-8电视剧	239.5.1.104:5000	无效			5088
CCTV-9纪录	225.1.1.119:5002	无效			5077
CCTV-9纪录	239.5.1.9:5000	无效			5756
CCTV-10科教	225.1.1.140:5002	无效			5100
CCTV-10科教	239.5.1.10:5000	无效			5081
CCTV-11戏曲	225.1.2.192:5002	无效			5067
CCTV-11戏曲	239.5.1.137:5000	无效			5821
CCTV-12社会与法	225.1.1.142:5002	无效			5095
CCTV-12社会与法	239.5.1.11:5000	无效			5065
CCTV-13新闻	225.1.2.193:5002	无效			5065
CCTV-13新闻	239.5.1.138:5000	无效			5792
CCTV-14少儿	225.1.1.144:5002	无效			5083
CCTV-14少儿	239.5.1.12:5000	无效			5079
CCTV-15音乐	225.1.2.194:5002	无效			5068
CCTV-15音乐	239.5.1.139:5000	无效			5884
CCTV-16奥林匹克	225.1.2.237:5002	无效			5512
CCTV-16奥林匹克	239.5.1.146:5000	无效			5074
CCTV-17农业农村	225.1.2.52:5002	无效			5054
CCTV-17农业农村	239.5.1.140:5000	无效			5801
CHC高清电影	225.1.1.214:5002	无效			5087
CHC动作电影	225.1.1.215:5002	无效			5070
CHC动作电影	239.5.1.52:5000	无效			5081
CHC家庭影院	225.1.1.213:5002	无效			5821
CHC家庭影院	239.5.1.50:5000	无效			5212
CCTV风云音乐	239.5.1.128:5000	无效			5058
CCTV世界地理	239.5.1.124:5000	无效			5061
CCTV第一剧场	239.5.1.121:5000	无效			5803
CCTV风云剧场	239.5.1.123:5000	无效			5105
CCTV央视文化精品	239.5.1.126:5000	无效			5059
CCTV兵器科技	239.5.1.125:5000	无效			5078
CCTV风云足球	239.5.1.119:5000	无效			5918
CCTV高尔夫网球	239.5.1.120:5000	无效			5504
CCTV怀旧剧场	239.5.1.122:5000	无效			5109
CCTV女性时尚	239.5.1.127:5000	无效			5075
CCTV央视台球	239.5.1.130:5000	无效			5892
CCTV电视指南	239.5.1.129:5000	无效			5508
优优宝贝	225.1.2.203:5002	无效			5096
CGTN	225.1.1.27:5002	无效			5067
湖南卫视	225.1.1.114:5002	无效			5872
湖南卫视	239.5.1.16:5000	无效			5523
