# 20260825_152056_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
山东卫视	239.253.254.78:8000	有效	1920x1080	h264	8600
山东教育卫视	239.253.254.59:8000	有效	1920x1080	h264	8880
山东体育休闲	239.253.254.22:8000	有效			0
山东农科频道	239.253.254.24:8000	有效			0
山东少儿频道	239.253.254.25:8000	有效			0
山东居家购物	239.253.254.104:8000	有效			1127
山东文旅频道	239.253.254.160:8000	有效			0
山东新闻频道	239.253.254.23:8000	有效	1920x1080	h264	7846
山东生活频道	239.253.254.151:8000	有效			0
山东综艺频道	239.253.254.159:8000	有效	1920x1080	h264	9317
山东齐鲁频道	239.253.254.114:8000	有效			0
CCTV1	239.253.254.77:8000	有效			0
CCTV1	239.253.254.89:8000	有效			0
CCTV2	239.253.254.232:8000	有效		h264	2121
CCTV3	239.253.254.191:8000	有效		h264	8584
CCTV4	239.253.254.111:8000	有效			0
CCTV4欧洲	239.253.254.186:8000	有效			0
CCTV4美洲	239.253.254.187:8000	有效	1920x1080	h264	8745
CCTV5	239.253.254.192:8000	有效			0
CCTV5+	239.253.254.80:8000	有效			0
CCTV6	239.253.254.193:8000	有效			0
CCTV7	239.253.254.233:8000	有效			1625
CCTV8	239.253.254.194:8000	有效	1920x1080	h264	8041
CCTV9	239.253.254.79:8000	有效			0
CCTV10	239.253.254.234:8000	有效	1920x1080	h264	9730
CCTV11	239.253.254.169:8000	有效			0
CCTV12	239.253.254.235:8000	有效	1920x1080	h264	1865
CCTV13	239.253.254.175:8000	有效	1920x1080	h264	8230
CCTV14	239.253.254.236:8000	有效			0
CCTV15	239.253.254.170:8000	有效	1920x1080	h264	8879
CCTV17	239.253.254.168:8000	有效			1351
CHC动作电影	239.253.254.153:8000	有效			0
CHC家庭影院	239.253.254.152:8000	有效	1920x1080	h264	10273
CGTN	239.253.254.189:8000	有效		h264	9466
CGTN西语	239.253.254.182:8000	有效			0
CGTN法语	239.253.254.183:8000	有效	1920x1080	h264	1951
CGTN阿语	239.253.254.184:8000	有效	1920x1080	h264	7603
CGTN俄语	239.253.254.185:8000	有效	1920x1080	h264	10143
CETV1	239.253.254.110:8000	有效			0
CETV4	239.253.254.116:8000	有效		h264	2012
湖南卫视	239.253.254.82:8000	有效	1920x1080	h264	8768
浙江卫视	239.253.254.84:8000	有效			0
江苏卫视	239.253.254.83:8000	有效	1920x1080	h264	8503
北京卫视	239.253.254.85:8000	有效			1949
东方卫视	239.253.254.86:8000	有效		h264	9380
安徽卫视	239.253.254.87:8000	有效			0
广东卫视	239.253.254.90:8000	有效	1920x1080	h264	8210
深圳卫视	239.253.254.91:8000	有效	1920x1080	h264	1916
辽宁卫视	239.253.254.92:8000	有效			0
重庆卫视	239.253.254.38:8000	有效	1920x1080	h264	7766
东南卫视	239.253.254.105:8000	有效		h264	9375
河北卫视	239.253.254.112:8000	有效		h264	2058
河南卫视	239.253.254.190:8000	有效			0
湖北卫视	239.253.254.88:8000	有效		h264	8695
四川卫视	239.253.254.180:8000	有效	1920x1080	h264	7641
海南卫视	239.253.254.179:8000	有效			1804
甘肃卫视	239.253.254.74:8000	有效			0
广西卫视	239.253.254.197:8000	有效			0
贵州卫视	239.253.254.113:8000	有效	1920x1080	h264	7672
黑龙江卫视	239.253.254.93:8000	有效	1920x1080	h264	9688
江西卫视	239.253.254.47:8000	有效			0
吉林卫视	239.253.254.173:8000	有效			0
云南卫视	239.253.254.196:8000	有效			0
青海卫视	239.253.254.195:8000	有效			0
精彩影视	239.253.254.142:8000	有效		h264	2071
卡酷少儿	239.253.254.66:8000	有效			0
快乐垂钓	239.253.254.144:8000	有效			0
茶频道	239.253.254.143:8000	有效	1920x1080	h264	7908
金鹰纪实	239.253.254.103:8000	有效	1920x1080	h264	9940
金鹰卡通	239.253.254.117:8000	有效			0
梨园频道	239.253.254.139:8000	有效		h264	2128
武术世界	239.253.254.140:8000	有效			0
文物宝库	239.253.254.141:8000	有效			0
东方财经	239.253.254.94:8000	有效	1920x1080	h264	8986
法治天地	239.253.254.96:8000	有效			0
生活时尚	239.253.254.99:8000	有效	1920x1080	h264	11618
都市剧场	239.253.254.98:8000	有效		h264	1969
游戏风云	239.253.254.95:8000	有效	1920x1080	h264	7723
动漫秀场	239.253.254.115:8000	有效	1920x1080	h264	9075
金色学堂	239.253.254.101:8000	有效			0
魅力足球	239.253.254.100:8000	无效			5642
中国交通	239.253.254.177:8000	有效			0
青岛QTV1	239.253.254.249:8000	有效			0
青岛QTV2	239.253.254.250:8000	有效	1280x720	h264	7487
青岛QTV3	239.253.254.251:8000	有效			0
青岛QTV4	239.253.254.252:8000	有效	1280x720	h264	10679
青岛李沧	239.253.254.253:8000	无效			5640
青岛生活频道	239.253.254.244:8000	有效	1920x1080	h264	8100
青岛综合频道	239.253.254.243:8000	有效	1920x1080	h264	11942
CGTN纪录	239.253.254.188:8000	有效	1920x1080	h264	1849
CHC影迷电影	239.253.254.154:8000	有效			0
崂山电视台	239.253.254.242:8000	有效			0
平度新闻综合	239.253.254.248:8000	有效	1920x1080	h264	7292
海洋频道	239.253.254.67:8000	有效	1920x1080	h264	9449
综合1	239.253.254.245:8000	有效			0
综合2	239.253.254.246:8000	有效			0
莱西综合频道	239.253.254.247:8000	有效		h264	1832
