# 20260625_162128_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
云南卫视	239.200.200.145:8840	有效	1920x1080	h264	24836
云南卫视HD	239.200.200.205:8616	有效			0
云南卫视HD	239.200.201.141:8872	有效	1920x1080	h264	7007
云南4K频道	239.200.200.178:8884	有效	1920x1080	h264	7782
云南丽江综合HD	239.200.201.42:8445	有效	1920x1080	h264	19291
云南娱乐频道	239.200.200.13:8848	有效	1920x1080	h264	7194
云南少儿频道	239.200.200.32:8864	无效			5766
云南康旅频道	239.200.200.31:8860	有效	1920x1080	h264	7257
云南影视频道	239.200.200.15:8856	有效	1920x1080	h264	9130
云南怒江HD	239.200.201.1:8540	有效	1920x1080	h264	9076
云南曲靖1HD	239.200.201.52:8060	有效	1920x1080	h264	6063
云南曲靖3HD	239.200.201.50:8068	有效	1920x1080	h264	14558
云南清廉曲靖HD	239.200.201.51:8064	有效	1920x1080	h264	5498
云南玉溪社会与法HD	239.200.201.56:8184	无效			99999
云南玉溪综合HD	239.200.201.57:8180	有效	1920x1080	h264	9313
云南红河1HD	239.200.201.40:8516	有效	1920x1080	h264	11187
云南都市频道	239.200.200.12:8844	有效	1920x1080	h264	12248
CCTV1	239.200.200.117:8712	有效			0
CCTV1	239.200.200.14:8852	无效			6033
CCTV1	239.200.200.2:8080	有效	720x576	h264	11255
CCTV1	239.200.200.70:8008	有效			0
CCTV1	239.200.200.95:8044	有效	1920x1080	h264	13825
CCTV1	239.200.201.135:8880	无效			99999
CCTV1	239.200.201.29:4120	无效			6034
CCTV1	239.200.201.45:8800	无效			99999
CCTV2	239.200.200.104:8084	有效	1920x1080	hevc	9189
CCTV3	239.200.200.18:9008	有效		h264	1784
CCTV4	239.200.200.128:8652	有效			0
CCTV4欧洲	239.200.201.180:4220	有效	1920x1080	h264	17192
CCTV4美洲	239.200.201.181:4220	有效			0
CCTV5	239.200.200.20:9016	有效			0
CCTV5+	239.200.200.9:8004	有效			0
CCTV6	239.200.200.21:9020	有效			0
CCTV7	239.200.200.105:8104	有效	1920x1080	h264	27852
CCTV8	239.200.200.23:9028	有效	1920x1080	h264	17087
CCTV9	239.200.200.106:8112	有效			0
CCTV10	239.200.200.107:8116	有效			0
CCTV11	239.200.201.125:8480	有效	1920x1080	h264	7906
CCTV12	239.200.200.108:8124	有效	1920x1080	hevc	7906
CCTV13	239.200.201.170:8620	有效		h264	12497
CCTV14	239.200.200.109:8132	有效	1920x1080	hevc	8393
CCTV15	239.200.201.112:8496	有效	1920x1080	h264	9187
CCTV16	239.200.200.193:8776	有效	1920x1080	h264	6817
CCTV17	239.200.201.128:8504	有效	1920x1080	hevc	10581
CCTV4KSDR	239.200.200.202:8784	有效	3840x2160	hevc	20288
CCTV16SDR	239.200.200.194:8780	有效		hevc	9131
CHC动作电影	239.200.201.31:8144	有效			0
CHC家庭影院	239.200.201.30:8140	有效	1920x1080	h264	6830
风云音乐	239.200.200.86:8008	有效	1920x1080	h264	7526
世界地理	239.200.200.130:8012	无效			5760
第一剧场	239.200.200.82:8004	无效			99999
风云剧场	239.200.200.84:8016	有效	1920x1080	h264	14566
央视精品	239.200.200.92:8028	有效	1920x1080	h264	14634
兵器科技	239.200.200.91:8036	无效			6036
风云足球	239.200.200.88:8020	无效			99999
怀旧剧场	239.200.200.85:8032	有效			0
女性时尚	239.200.200.100:8084	无效			9080
央视台球	239.200.200.135:8076	无效			99999
电视指南	239.200.200.83:8000	无效			6027
发现之旅	239.200.201.164:8128	无效			99999
CGTN	239.200.200.30:8500	有效			0
CGTN	239.200.201.182:4220	有效	1920x1080	h264	23762
CGTN西语	239.200.201.184:4220	有效	1920x1080	h264	15626
CGTN法语	239.200.201.185:4220	有效	1920x1080	h264	19764
CGTN阿语	239.200.201.186:4220	有效	1920x1080	h264	10465
CGTN俄语	239.200.201.187:4220	有效			0
CETV1	239.200.201.145:8852	有效	720x576	h264	8438
CETV1	239.200.201.49:8756	有效	1920x1080	h264	10179
CETV2	239.200.201.121:8780	有效	720x576	h264	9245
CETV4	239.200.201.122:8784	有效	1920x1080	h264	13065
湖南卫视	239.200.200.6:8012	有效	1920x1080	hevc	6882
