# 20260916_181009_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
4-1	239.121.4.1:7956	无效			5587
4-2	239.121.4.2:7962	无效			5062
4-3	239.121.4.3:7968	无效			5324
4-4	239.121.4.4:7974	无效			5056
4-5	239.121.4.5:7980	无效			5632
4-6	239.121.4.6:7986	无效			5270
4-7	239.121.4.7:7992	无效			5644
4-8	239.121.4.8:7998	无效			5248
4-9	239.121.4.9:8004	无效			5271
4-10	239.121.4.10:8010	无效			5060
4-14	239.121.4.14:7254	无效			5624
4-15	239.121.4.15:7258	无效			5123
4-16	239.121.4.16:7262	无效			5366
4-17	239.121.4.17:7266	无效			5059
4-18	239.121.4.18:7270	无效			5651
4-19	239.121.4.19:7274	无效			5318
4-20	239.121.4.20:7278	无效			5650
4-23	239.121.4.23:8112	无效			5223
4-24	239.121.4.24:8118	无效			5692
4-26	239.121.4.26:8130	无效			5304
4-28	239.121.4.28:8142	无效			5652
4-29	239.121.4.29:8148	无效			5281
4-30	239.121.4.30:8154	无效			5357
4-31	239.121.4.31:8160	无效			5060
4-33	239.121.4.33:8172	无效			5439
4-34	239.121.4.34:8178	无效			5051
4-35	239.121.4.35:8184	无效			5686
4-37	239.121.4.37:8196	无效			5283
4-39	239.121.4.39:8208	无效			5630
4-41	239.121.4.41:8220	无效			5285
4-42	239.121.4.42:8226	无效			5685
4-44	239.121.4.44:8238	无效			5282
4-45	239.121.4.45:8244	无效			5413
4-46	239.121.4.46:8250	无效			5068
4-49	239.121.4.49:8268	无效			5465
4-54	239.121.4.54:8298	无效			5063
4-59	239.121.4.59:8328	无效			5421
4-66	239.121.4.66:8370	无效			5069
4-67	239.121.4.67:8376	无效			5690
4-73	239.121.4.73:8412	有效	1920x1080	h264	6128
4-88	239.121.4.88:8502	无效			5244
4-90	239.121.4.90:8514	无效			855
4-92	239.121.4.92:8526	无效			278
4-95	239.121.4.95:8544	有效	3840x2160	hevc	6149
4-98	239.121.4.98:7590	无效			926
4-99	239.121.4.99:7594	无效			311
4-100	239.121.4.100:7598	无效			698
4-103	239.121.4.103:7610	无效			304
4-104	239.121.4.104:7614	无效			673
4-107	239.121.4.107:7626	无效			313
4-108	239.121.4.108:7630	无效			902
4-121	239.121.4.121:7682	无效			307
4-135	239.121.4.135:7738	无效			790
4-138	239.121.4.138:7750	无效			284
4-139	239.121.4.139:7754	无效			848
4-141	239.121.4.141:7762	无效			322
4-142	239.121.4.142:7766	无效			889
4-143	239.121.4.143:7770	无效			295
4-144	239.121.4.144:7774	无效			671
4-145	239.121.4.145:7778	无效			276
4-165	239.121.4.165:8974	无效			900
4-190	239.121.4.190:9124	有效	1920x1080	h264	5986
4-201	239.121.4.201:8002	无效			289
4-203	239.121.4.203:8010	无效			5679
4-204	239.121.4.204:8014	无效			5246
4-205	239.121.4.205:8018	无效			5455
4-209	239.121.4.209:8034	无效			5067
4-210	239.121.4.210:8038	无效			5665
4-211	239.121.4.211:8042	无效			5222
4-212	239.121.4.212:8046	无效			5664
4-213	239.121.4.213:8050	无效			5253
4-214	239.121.4.214:8054	无效			5591
4-215	239.121.4.215:8058	无效			5264
4-216	239.121.4.216:8062	无效			5512
4-217	239.121.4.217:8066	无效			5263
4-218	239.121.4.218:8070	无效			5406
4-219	239.121.4.219:8074	无效			5067
4-220	239.121.4.220:8078	无效			5651
4-221	239.121.4.221:8082	无效			5261
4-222	239.121.4.222:8086	无效			5510
4-223	239.121.4.223:8090	无效			5265
4-224	239.121.4.224:8094	无效			5484
4-225	239.121.4.225:8098	无效			5122
4-226	239.121.4.226:8102	无效			5633
4-227	239.121.4.227:8106	无效			5255
4-228	239.121.4.228:8110	无效			5587
4-229	239.121.4.229:8114	无效			5254
4-230	239.121.4.230:8118	无效			5490
4-231	239.121.4.231:8122	无效			5266
4-232	239.121.4.232:8126	无效			5613
4-233	239.121.4.233:8130	无效			5225
4-234	239.121.4.234:8134	无效			5370
4-235	239.121.4.235:8138	无效			5065
4-236	239.121.4.236:8142	无效			5364
4-237	239.121.4.237:8146	无效			5064
4-238	239.121.4.238:8150	无效			5596
4-239	239.121.4.239:8154	无效			5257
4-240	239.121.4.240:8158	无效			5545
4-241	239.121.4.241:8162	无效			5289
4-242	239.121.4.242:8166	无效			5492
4-243	239.121.4.243:8170	无效			5289
4-244	239.121.4.244:8174	无效			5534
4-245	239.121.4.245:8178	无效			5286
4-246	239.121.4.246:8182	无效			818
4-247	239.121.4.247:8186	无效			1374
4-248	239.121.4.248:8190	无效			2867
4-249	239.121.4.249:8194	无效			5053
4-250	239.121.4.250:8198	无效			671
4-251	239.121.4.251:8202	无效			5071
4-252	239.121.4.252:8206	无效			5457
4-253	239.121.4.253:8210	无效			508
4-254	239.121.4.254:8214	无效			755
