# 20260715_154904_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
﻿# 20260516 15:28		无效			1888
天津卫视	238.1.78.20:6088	有效			3794
辽宁卫视	238.1.78.21:6096	有效	1920x1080	h264	6236
东南卫视	238.1.78.22:6104	有效			0
财富天下	238.1.78.25:6128	无效			6594
江西卫视	238.1.78.26:6136	有效			0
三沙卫视	238.1.78.27:6144	有效			0
桐城综合频道	238.1.78.28:6152	有效			0
临泉新闻频道	238.1.78.29:6160	有效			0
四川卫视	238.1.78.30:6168	有效	1920x1080	h264	7441
重庆卫视	238.1.78.31:6176	有效			0
家家购物	238.1.78.32:6184	有效	1280x720	h264	9620
体育赛事HD	238.1.78.33:6192	有效			0
CGTN	238.1.78.50:6272	有效			0
安徽国际频道	238.1.78.61:6360	有效			0
广西卫视	238.1.78.70:6432	有效	720x576	h264	5597
东方财经	238.1.78.73:6456	有效			0
都市剧场	238.1.78.74:6464	无效			6077
金色学堂	238.1.78.76:6480	无效			6077
马鞍山科教生活	238.1.78.77:6488	有效			0
芜湖生活频道	238.1.78.80:6512	有效	720x576	h264	10964
游戏风云	238.1.78.81:6520	无效			6850
哈哈炫动	238.1.78.82:6528	无效			6076
法治天地	238.1.78.84:6544	无效			6076
七彩戏剧	238.1.78.85:6552	无效			6585
陕西卫视	238.1.78.88:6576	有效			0
云南卫视	238.1.78.89:6584	有效			0
山西卫视	238.1.78.95:6632	有效			0
卡酷少儿	238.1.78.97:6648	有效			0
金鹰卡通	238.1.78.100:6672	有效			0
西藏卫视	238.1.78.101:6680	有效	720x576	h264	6423
青海卫视	238.1.78.102:6688	有效			0
内蒙古卫视	238.1.78.103:6696	有效		h264	2269
兵团卫视	238.1.78.104:6704	有效			0
中国教育2	238.1.78.106:6720	有效			0
中国教育4	238.1.78.107:6728	有效			0
宁夏卫视	238.1.78.109:6744	有效			0
新疆卫视	238.1.78.110:6752	有效	720x576	h264	5611
合肥新闻频道	238.1.78.111:6760	有效	1920x1080	h264	6345
芜湖新闻综合	238.1.78.112:6768	有效			0
淮南新闻综合	238.1.78.113:6776	有效			0
淮南民生频道	238.1.78.114:6784	有效	1280x720	h264	8622
安庆新闻综合	238.1.78.117:6808	有效			0
安庆经济生活	238.1.78.118:6816	有效			0
霍邱新闻综合	238.1.78.119:6824	有效	1920x1080	h264	7853
安庆教育频道	238.1.78.120:6832	无效			6079
宿州新闻综合	238.1.78.121:6840	有效	720x576	h264	6361
宿州公共频道	238.1.78.122:6848	无效			99999
宿州科教频道	238.1.78.123:6856	有效			0
阜阳新闻综合	238.1.78.124:6864	有效			0
阜阳生活频道	238.1.78.125:6872	有效			0
阜阳教育频道	238.1.78.126:6880	无效			859
阜阳都市文艺	238.1.78.127:6888	无效			854
亳州综合频道	238.1.78.128:6896	有效			0
亳州农村频道	238.1.78.129:6904	有效			0
黄山新闻综合	238.1.78.130:6912	有效			0
黄山文旅频道	238.1.78.131:6920	有效			0
滁州新闻综合	238.1.78.132:6928	有效			0
滁州科教频道	238.1.78.133:6936	无效			5850
滁州公共频道	238.1.78.134:6944	有效			0
淮北新闻综合	238.1.78.135:6952	有效			0
淮北经济生活	238.1.78.136:6960	有效			0
CCTV4KSDR	238.1.78.137:6968	有效			0
徽州新闻频道	238.1.78.138:6976	无效			5850
铜陵新闻综合	238.1.78.139:6984	有效	720x576	h264	5660
铜陵公共频道	238.1.78.140:6992	无效			5849
铜陵教育科技	238.1.78.141:7000	有效	1280x720	h264	4619
宣城综合频道	238.1.78.142:7008	有效			0
宣城文旅生活	238.1.78.143:7016	有效			0
六安综合频道	238.1.78.144:7024	有效	1920x1080	h264	2712
六安社会生活	238.1.78.145:7032	有效			0
寿县新闻综合	238.1.78.146:7040	有效			0
池州新闻综合	238.1.78.147:7048	有效			0
池州文教生活	238.1.78.148:7056	无效			2420
黟县新闻综合	238.1.78.149:7064	有效			0
安徽卫视	238.1.78.150:7072	有效			0
乐游	238.1.78.151:7080	有效	1920x1080	h264	3834
芜湖生活频道	238.1.78.152:7088	有效			0
纪实人文	238.1.78.153:7096	无效			824
动漫秀场	238.1.78.154:7104	有效			0
生活时尚	238.1.78.155:7112	有效	1920x1080	h264	7756
深圳卫视	238.1.78.156:7120	有效			0
陶瓷HD	238.1.78.157:7128	无效			5843
CETV1	238.1.78.158:7136	有效			0
黑龙江卫视	238.1.78.159:7144	有效			0
湖南卫视	238.1.78.160:7152	有效	1920x1080	h264	6065
广东卫视	238.1.78.161:7160	有效	1920x1080	h264	7100
北京卫视	238.1.78.162:7168	有效			0
东方卫视	238.1.78.163:7176	有效		h264	2460
浙江卫视	238.1.78.164:7184	有效			0
江苏卫视	238.1.78.165:7192	有效			0
CCTV1	238.1.78.166:7200	有效	1920x1080	h264	6078
芜湖教育频道	238.1.78.167:7208	有效			0
湖北卫视	238.1.78.168:7216	有效	1920x1080	h264	6319
山东卫视	238.1.78.169:7224	有效			0
CCTV3	238.1.78.170:7232	有效			0
CCTV5	238.1.78.171:7240	有效			0
CCTV6	238.1.78.172:7248	有效			0
CCTV8	238.1.78.173:7256	有效			0
CCTV17	238.1.78.178:7296	有效			0
蚌埠新闻综合	238.1.78.180:7312	有效			0
蚌埠生活频道	238.1.78.181:7320	有效			0
长丰电视台	238.1.78.182:7328	有效	1280x720	h264	14070
肥东新闻综合	238.1.78.183:7336	有效	1280x720	h264	14625
肥东经济生活	238.1.78.184:7344	有效	1280x720	h264	14628
肥西新闻综合	238.1.78.185:7352	有效	1920x1080	h264	7220
湾沚综合频道	238.1.78.187:7368	有效	1920x1080	h264	5715
无为新闻频道	238.1.78.188:7376	有效			0
南陵新闻综合	238.1.78.189:7384	有效			0
繁昌新闻综合	238.1.78.190:7392	有效	1920x1080	h264	6042
潜山综合频道	238.1.78.192:7408	有效			0
泗县新闻频道	238.1.78.193:7416	有效			0
颍上新闻综合	238.1.78.194:7424	有效	1280x720	h264	9406
界首综合频道	238.1.78.195:7432	有效			0
利辛新闻综合	238.1.78.196:7440	有效			0
涡阳新闻综合	238.1.78.197:7448	有效	720x576	h264	6545
黄山区融媒	238.1.78.199:7464	无效			5842
歙县综合频道	238.1.78.200:7472	有效			0
全椒综合频道	238.1.78.203:7496	有效	1280x720	h264	10787
来安新闻综合	238.1.78.204:7504	有效	1280x720	h264	10856
定远新闻综合	238.1.78.205:7512	有效	1280x720	h264	13209
CCTV11	238.1.78.206:7502	有效			0
凤阳新闻频道	238.1.78.207:7528	有效		h264	1832
明光综合频道	238.1.78.208:7536	有效	1280x720	h264	10875
濉溪新闻频道	238.1.78.209:7544	有效			0
枞阳电视台	238.1.78.210:7552	有效			0
义安新闻综合	238.1.78.211:7560	有效			0
广德新闻综合	238.1.78.212:7568	有效	720x576	h264	5718
广德生活频道	238.1.78.213:7576	有效	720x576	h264	5994
郎溪新闻频道	238.1.78.214:7584	有效	720x576	h264	6169
旌德新闻综合	238.1.78.215:7592	有效			0
宁国新闻综合	238.1.78.216:7600	有效			0
绩溪新闻频道	238.1.78.218:7616	有效	720x576	h264	6386
霍山综合频道	238.1.78.220:7632	有效	720x576	h264	7787
石台综合频道	238.1.78.221:7640	有效	1280x720	h264	14635
CCTV15	238.1.78.222:7648	有效			0
CCTV2	238.1.78.235:7752	有效			0
CCTV4	238.1.78.236:7760	有效			0
CCTV5+	238.1.78.237:7768	有效			0
CCTV7	238.1.78.239:7784	有效			0
CCTV9	238.1.78.240:7792	有效			0
CCTV10	238.1.78.241:7800	有效			0
CCTV12	238.1.78.242:7808	有效			0
CCTV14	238.1.78.243:7816	有效			0
贵州卫视	238.1.78.244:7824	有效			0
河北卫视	238.1.78.245:7832	有效			0
厦门卫视	238.1.78.246:7840	有效	720x576	h264	2166
山东教育	238.1.78.254:7904	有效			0
金鹰纪实	238.1.79.9:4184	有效			0
阜南新闻综合	238.1.79.11:4200	有效			0
太湖新闻综合	238.1.79.12:4208	有效			0
东至综合频道	238.1.79.13:4216	有效		h264	1844
祁门综合频道	238.1.79.14:4224	有效			0
马鞍山新闻综合	238.1.79.15:4232	有效			0
蒙城新闻频道	238.1.79.19:4264	有效	1920x1080	h264	7885
休宁新闻综合	238.1.79.20:4272	有效			0
金寨综合频道	238.1.79.21:4280	有效			0
北京卫视	238.1.79.24:4304	有效			0
安徽卫视	238.1.79.27:4328	有效			0
茶频道	238.1.79.30:4352	有效	1280x720	h264	8629
快乐垂钓	238.1.79.31:4360	有效	1920x1080	h264	6698
海豚少儿HD	238.1.79.32:4368	无效			1574
海豚健康HD	238.1.79.33:4376	有效	1280x720	h264	10841
海豚影视HD	238.1.79.34:4384	有效	1280x720	h264	13188
CCTV13	238.1.79.35:4392	有效			0
甘肃卫视	238.1.79.36:4400	有效			0
中甲联赛HD	238.1.79.39:4424	无效			5814
安徽农业科教	238.1.79.40:4432	有效			0
安徽综艺体育	238.1.79.41:4440	有效			0
安徽影视频道	238.1.79.42:4448	有效			0
安徽公共频道	238.1.79.43:4456	有效			0
安徽经济生活	238.1.79.44:4464	有效			0
屯溪融媒频道	238.1.79.45:4472	无效			5806
萧县新闻综合	238.1.79.46:4480	有效	720x576	h264	6071
固镇新闻综合	238.1.79.47:4488	有效	720x576	h264	5759
吉林卫视	238.1.79.48:4496	有效			0
海南卫视	238.1.79.49:4504	有效			0
海豚生活HD	238.1.79.50:4512	有效		h264	8588
五河新闻综合	238.1.79.52:4528	有效			0
电视指南	238.1.79.53:4560	有效	1920x1080	h264	8249
央视精品	238.1.79.54:4568	有效			0
女性时尚	238.1.79.55:4576	有效			0
兵器科技	238.1.79.56:4584	有效		h264	2590
风云足球	238.1.79.57:4592	有效			0
高网频道	238.1.79.58:4600	有效			0
央视台球	238.1.79.59:4608	有效			0
世界地理	238.1.79.60:4616	有效			0
怀旧剧场	238.1.79.61:4624	有效	1920x1080	h264	6678
风云剧场	238.1.79.62:4632	有效			0
第一剧场	238.1.79.63:4640	有效	1920x1080	h264	6713
风云音乐	238.1.79.64:4648	有效			0
河南卫视	238.1.79.65:4632	有效			0
安徽导视频道	238.1.79.66:4664	无效			5884
