# 20260803_161948_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
200-1	239.200.200.1:8098	无效			5450
200-3	239.200.200.3:8061	无效			5044
200-4	239.200.200.4:8042	无效			5050
200-19	239.200.200.19:10052	无效			5408
200-22	239.200.200.22:9024	无效			5048
200-24	239.200.200.24:10012	无效			5061
200-25	239.200.200.25:10004	无效			5488
200-26	239.200.200.26:9996	无效			5081
200-27	239.200.200.27:9988	无效			5059
200-28	239.200.200.28:9980	无效			5384
200-29	239.200.200.29:9972	无效			5051
200-34	239.200.200.34:9932	无效			5053
200-35	239.200.200.35:9924	无效			5476
200-36	239.200.200.36:9916	无效			5092
200-37	239.200.200.37:9908	无效			5089
200-38	239.200.200.38:9900	无效			5477
200-39	239.200.200.39:9892	无效			5058
200-40	239.200.200.40:9884	无效			5049
200-41	239.200.200.41:9876	无效			5407
200-42	239.200.200.42:9868	无效			5039
200-43	239.200.200.43:9860	无效			5057
200-44	239.200.200.44:9852	无效			5473
200-45	239.200.200.45:9844	无效			5052
200-47	239.200.200.47:9828	无效			5044
200-48	239.200.200.48:9820	无效			5486
200-50	239.200.200.50:8268	无效			5095
200-51	239.200.200.51:8272	无效			5064
200-52	239.200.200.52:8276	无效			5465
200-54	239.200.200.54:8284	无效			5087
200-59	239.200.200.59:8304	无效			5051
200-87	239.200.200.87:9508	无效			5560
200-99	239.200.200.99:9412	无效			5079
200-102	239.200.200.102:9388	无效			5060
200-110	239.200.200.110:9324	无效			5527
200-111	239.200.200.111:9316	无效			5067
200-142	239.200.200.142:9068	无效			5082
200-143	239.200.200.143:9060	无效			5502
200-144	239.200.200.144:9052	无效			5092
200-146	239.200.200.146:9036	无效			5074
200-148	239.200.200.148:9020	无效			5597
200-151	239.200.200.151:8996	无效			5137
200-152	239.200.200.152:8988	无效			5047
200-153	239.200.200.153:8980	无效			5513
200-154	239.200.200.154:8972	无效			5081
200-155	239.200.200.155:8964	无效			5055
200-156	239.200.200.156:8956	无效			5475
200-165	239.200.200.165:8884	无效			5085
200-170	239.200.200.170:8844	无效			5074
200-171	239.200.200.171:8836	无效			5604
200-172	239.200.200.172:8828	无效			5226
200-173	239.200.200.173:8820	无效			5054
200-174	239.200.200.174:8812	无效			5537
200-176	239.200.200.176:8796	无效			5049
200-179	239.200.200.179:8772	无效			5076
200-181	239.200.200.181:8756	无效			5573
200-183	239.200.200.183:8740	无效			5079
