# 20260730_154944_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
200-1	239.200.200.1:8098	无效			5553
200-3	239.200.200.3:8061	无效			5079
200-4	239.200.200.4:8042	无效			5057
200-19	239.200.200.19:10052	无效			5429
200-22	239.200.200.22:9024	无效			5067
200-24	239.200.200.24:10012	无效			5065
200-25	239.200.200.25:10004	无效			5442
200-26	239.200.200.26:9996	无效			5062
200-27	239.200.200.27:9988	无效			5063
200-28	239.200.200.28:9980	无效			5413
200-29	239.200.200.29:9972	无效			5066
200-34	239.200.200.34:9932	无效			5060
200-35	239.200.200.35:9924	无效			5262
200-36	239.200.200.36:9916	无效			5068
200-37	239.200.200.37:9908	无效			5057
200-38	239.200.200.38:9900	无效			5582
200-39	239.200.200.39:9892	无效			5060
200-40	239.200.200.40:9884	无效			5052
200-41	239.200.200.41:9876	无效			5551
200-42	239.200.200.42:9868	无效			5056
200-43	239.200.200.43:9860	无效			5055
200-44	239.200.200.44:9852	无效			5533
200-45	239.200.200.45:9844	无效			5066
200-47	239.200.200.47:9828	无效			5056
200-48	239.200.200.48:9820	无效			5421
200-50	239.200.200.50:8268	无效			5064
200-51	239.200.200.51:8272	无效			5065
200-52	239.200.200.52:8276	无效			5654
200-54	239.200.200.54:8284	无效			5065
200-59	239.200.200.59:8304	无效			5055
200-87	239.200.200.87:9508	无效			830
200-99	239.200.200.99:9412	无效			372
200-102	239.200.200.102:9388	无效			338
200-110	239.200.200.110:9324	无效			795
200-111	239.200.200.111:9316	无效			371
200-142	239.200.200.142:9068	无效			355
200-143	239.200.200.143:9060	无效			829
200-144	239.200.200.144:9052	无效			379
200-146	239.200.200.146:9036	无效			2358
200-148	239.200.200.148:9020	无效			835
200-151	239.200.200.151:8996	无效			346
200-152	239.200.200.152:8988	无效			334
200-153	239.200.200.153:8980	无效			1839
200-154	239.200.200.154:8972	无效			1352
200-155	239.200.200.155:8964	无效			281
200-156	239.200.200.156:8956	无效			842
200-165	239.200.200.165:8884	无效			1378
200-170	239.200.200.170:8844	无效			286
200-171	239.200.200.171:8836	无效			888
200-172	239.200.200.172:8828	无效			331
200-173	239.200.200.173:8820	无效			306
200-174	239.200.200.174:8812	无效			907
200-176	239.200.200.176:8796	无效			1430
