# 20260604_175632_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
64-48	239.253.64.48:5140	有效		hevc	9270
64-50	239.253.64.50:5140	有效	1920x1080	h264	8246
64-51	239.253.64.51:5140	有效	1920x1080	h264	9168
64-68	239.253.64.68:5140	有效	1920x1080	h264	10516
64-75	239.253.64.75:5140	有效	1920x1080	h264	8157
64-81	239.253.64.81:5140	有效	1920x1080	h264	7636
64-90	239.253.64.90:5140	有效	1920x1080	h264	11832
64-93	239.253.64.93:5140	无效			5622
64-94	239.253.64.94:5140	无效			5624
64-98	239.253.64.98:5140	无效			5621
64-99	239.253.64.99:5140	无效			5881
64-162	239.253.64.162:5140	无效			5621
64-171	239.253.64.171:5140	无效			5622
64-172	239.253.64.172:5140	无效			5621
64-173	239.253.64.173:5140	无效			5616
64-174	239.253.64.174:5140	无效			5869
64-175	239.253.64.175:5140	无效			5613
64-176	239.253.64.176:5140	无效			5607
64-199	239.253.64.199:5140	无效			5862
64-209	239.253.64.209:5140	无效			5860
64-239	239.253.64.239:5140	无效			5606
64-240	239.253.64.240:5140	无效			5595
64-248	239.253.64.248:5140	无效			5591
64-249	239.253.64.249:5140	无效			5845
