# 20260808_144605_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
1-1	225.1.1.1:5002	无效			5405
1-2	225.1.1.2:5002	无效			5103
1-3	225.1.1.3:5002	无效			5085
1-4	225.1.1.4:5002	无效			5083
1-5	225.1.1.5:5002	无效			5077
1-6	225.1.1.6:5002	无效			5077
1-7	225.1.1.7:5002	无效			5073
1-8	225.1.1.8:5002	无效			5099
1-9	225.1.1.9:5002	无效			5706
1-10	225.1.1.10:5002	无效			5104
1-11	225.1.1.11:5002	无效			5079
1-12	225.1.1.12:5002	无效			5087
1-13	225.1.1.13:5002	无效			5083
1-14	225.1.1.14:5002	无效			5090
1-15	225.1.1.15:5002	无效			5086
1-16	225.1.1.16:5002	无效			5077
1-17	225.1.1.17:5002	无效			5628
1-18	225.1.1.18:5002	无效			5090
1-19	225.1.1.19:5002	无效			5082
1-20	225.1.1.20:5002	无效			5092
1-21	225.1.1.21:5002	无效			5090
1-22	225.1.1.22:5002	无效			5076
1-23	225.1.1.23:5002	无效			5073
1-24	225.1.1.24:5002	无效			5078
1-25	225.1.1.25:5002	无效			5704
1-26	225.1.1.26:5002	无效			5111
1-28	225.1.1.28:5002	无效			5077
1-29	225.1.1.29:5002	无效			5083
1-31	225.1.1.31:5002	无效			5082
1-33	225.1.1.33:5002	无效			5076
1-34	225.1.1.34:5002	无效			5068
1-36	225.1.1.36:5002	无效			5081
1-37	225.1.1.37:5002	无效			5948
1-38	225.1.1.38:5002	无效			5095
1-39	225.1.1.39:5002	无效			5086
1-40	225.1.1.40:5002	无效			5082
1-42	225.1.1.42:5002	无效			5076
1-43	225.1.1.43:5002	无效			5075
1-44	225.1.1.44:5002	无效			5067
1-45	225.1.1.45:5002	无效			5081
1-46	225.1.1.46:5002	无效			6059
1-47	225.1.1.47:5002	无效			5213
1-48	225.1.1.48:5002	无效			5089
1-49	225.1.1.49:5002	无效			5081
1-52	225.1.1.52:5002	无效			5080
1-53	225.1.1.53:5002	无效			5080
1-59	225.1.1.59:5002	无效			5083
1-60	225.1.1.60:5002	无效			5074
1-63	225.1.1.63:5002	无效			5971
1-64	225.1.1.64:5002	无效			5123
1-66	225.1.1.66:5002	无效			5102
1-67	225.1.1.67:5002	无效			5084
1-68	225.1.1.68:5002	无效			5085
1-69	225.1.1.69:5002	无效			5093
1-70	225.1.1.70:5002	无效			5099
1-71	225.1.1.71:5002	无效			5078
1-72	225.1.1.72:5002	无效			6029
1-73	225.1.1.73:5002	无效			5127
1-74	225.1.1.74:5002	无效			5086
1-75	225.1.1.75:5002	无效			5099
1-76	225.1.1.76:5002	无效			5081
1-77	225.1.1.77:5002	无效			5081
1-78	225.1.1.78:5002	无效			5089
1-79	225.1.1.79:5002	无效			5072
1-80	225.1.1.80:5002	无效			6103
1-81	225.1.1.81:5002	无效			5583
1-84	225.1.1.84:5002	无效			5087
1-85	225.1.1.85:5002	无效			5084
1-86	225.1.1.86:5002	无效			5089
1-87	225.1.1.87:5002	无效			5086
1-88	225.1.1.88:5002	无效			5092
1-89	225.1.1.89:5002	无效			5077
1-90	225.1.1.90:5002	无效			5673
1-91	225.1.1.91:5002	无效			5085
1-93	225.1.1.93:5002	无效			5095
1-94	225.1.1.94:5002	无效			5098
1-95	225.1.1.95:5002	无效			5088
1-96	225.1.1.96:5002	无效			5098
1-97	225.1.1.97:5002	无效			5076
1-98	225.1.1.98:5002	无效			5081
1-99	225.1.1.99:5002	无效			6064
1-100	225.1.1.100:5002	无效			5467
1-101	225.1.1.101:5002	无效			5088
1-103	225.1.1.103:5002	无效			5075
1-104	225.1.1.104:5002	无效			5080
1-105	225.1.1.105:5002	无效			5072
1-106	225.1.1.106:5002	无效			5068
1-107	225.1.1.107:5002	无效			5070
1-109	225.1.1.109:5002	无效			5773
1-118	225.1.1.118:5002	无效			5078
1-136	225.1.1.136:5002	无效			5085
1-148	225.1.1.148:5002	无效			5088
1-157	225.1.1.157:5002	无效			5073
1-159	225.1.1.159:5002	无效			5077
1-161	225.1.1.161:5002	无效			5060
1-162	225.1.1.162:5002	无效			5077
1-163	225.1.1.163:5002	无效			6081
1-164	225.1.1.164:5002	无效			5561
1-165	225.1.1.165:5002	无效			5088
1-166	225.1.1.166:5002	无效			5099
1-167	225.1.1.167:5002	无效			5100
1-168	225.1.1.168:5002	无效			5094
1-169	225.1.1.169:5002	无效			5091
1-170	225.1.1.170:5002	无效			5077
1-181	225.1.1.181:5002	无效			5992
1-182	225.1.1.182:5002	无效			5106
1-183	225.1.1.183:5002	无效			5087
1-184	225.1.1.184:5002	无效			5084
1-185	225.1.1.185:5002	无效			5087
1-186	225.1.1.186:5002	无效			5090
1-187	225.1.1.187:5002	无效			5086
1-189	225.1.1.189:5002	无效			5080
1-190	225.1.1.190:5002	无效			6077
1-191	225.1.1.191:5002	无效			5496
1-192	225.1.1.192:5002	无效			5098
1-194	225.1.1.194:5002	无效			5073
1-198	225.1.1.198:5002	无效			5083
1-199	225.1.1.199:5002	无效			5084
1-201	225.1.1.201:5002	无效			5073
1-202	225.1.1.202:5002	无效			5077
1-203	225.1.1.203:5002	无效			6095
1-204	225.1.1.204:5002	无效			5548
1-206	225.1.1.206:5002	无效			5087
1-207	225.1.1.207:5002	无效			5093
1-208	225.1.1.208:5002	无效			5098
1-209	225.1.1.209:5002	无效			5096
1-210	225.1.1.210:5002	无效			5090
1-211	225.1.1.211:5002	无效			5081
1-212	225.1.1.212:5002	无效			5898
1-218	225.1.1.218:5002	无效			5081
1-220	225.1.1.220:5002	无效			5075
1-221	225.1.1.221:5002	无效			5071
1-228	225.1.1.228:5002	无效			5089
1-229	225.1.1.229:5002	无效			5076
1-230	225.1.1.230:5002	无效			5069
1-231	225.1.1.231:5002	无效			5073
1-232	225.1.1.232:5002	无效			6118
1-233	225.1.1.233:5002	无效			5745
1-234	225.1.1.234:5002	无效			5103
1-235	225.1.1.235:5002	无效			5106
1-238	225.1.1.238:5002	无效			5098
1-239	225.1.1.239:5002	无效			5099
1-240	225.1.1.240:5002	无效			5086
1-241	225.1.1.241:5002	无效			5098
1-242	225.1.1.242:5002	无效			5945
1-243	225.1.1.243:5002	无效			5108
1-244	225.1.1.244:5002	无效			5096
1-245	225.1.1.245:5002	无效			5088
1-246	225.1.1.246:5002	无效			5095
1-248	225.1.1.248:5002	无效			5083
1-249	225.1.1.249:5002	无效			5086
1-250	225.1.1.250:5002	无效			5075
1-251	225.1.1.251:5002	无效			6174
1-252	225.1.1.252:5002	无效			5890
1-253	225.1.1.253:5002	无效			5084
1-254	225.1.1.254:5002	无效			5082
2-1	225.1.2.1:5002	无效			5085
2-3	225.1.2.3:5002	无效			5083
2-5	225.1.2.5:5002	无效			5079
2-6	225.1.2.6:5002	无效			5106
2-9	225.1.2.9:5002	无效			6168
2-10	225.1.2.10:5002	无效			5918
2-11	225.1.2.11:5002	无效			5076
2-12	225.1.2.12:5002	无效			5079
2-13	225.1.2.13:5002	无效			5078
2-15	225.1.2.15:5002	无效			5079
2-16	225.1.2.16:5002	无效			5082
2-17	225.1.2.17:5002	无效			5093
2-18	225.1.2.18:5002	无效			6247
2-20	225.1.2.20:5002	无效			6114
2-21	225.1.2.21:5002	无效			5743
2-30	225.1.2.30:5002	无效			5766
2-32	225.1.2.32:5002	无效			5664
