# 20260607_165955_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
4-1	225.1.4.1:1030	无效			545
4-2	225.1.4.2:1031	无效			974
4-3	225.1.4.3:1032	无效			230
4-4	225.1.4.4:1033	无效			141
4-7	225.1.4.7:1036	无效			537
4-9	225.1.4.9:1038	无效			1015
4-10	225.1.4.10:1039	无效			231
4-11	225.1.4.11:1040	无效			164
4-12	225.1.4.12:1041	无效			488
4-13	225.1.4.13:1042	无效			947
4-14	225.1.4.14:1043	无效			283
4-15	225.1.4.15:1044	无效			159
4-17	225.1.4.17:1046	无效			443
4-18	225.1.4.18:1047	无效			946
4-19	225.1.4.19:1048	无效			381
4-20	225.1.4.20:1049	无效			97
4-21	225.1.4.21:1050	无效			562
4-22	225.1.4.22:1051	无效			935
4-23	225.1.4.23:1052	无效			239
4-24	225.1.4.24:1053	无效			156
4-25	225.1.4.25:1054	无效			783
4-26	225.1.4.26:1055	无效			831
4-27	225.1.4.27:1056	无效			265
4-28	225.1.4.28:1057	无效			60
4-29	225.1.4.29:1058	无效			604
4-30	225.1.4.30:1059	无效			942
4-32	225.1.4.32:1061	无效			212
4-33	225.1.4.33:1062	无效			180
4-34	225.1.4.34:1063	无效			815
4-35	225.1.4.35:1064	无效			801
4-36	225.1.4.36:1065	无效			261
4-37	225.1.4.37:1066	无效			78
4-40	225.1.4.40:1069	无效			673
4-41	225.1.4.41:1070	无效			921
4-51	225.1.4.51:1080	无效			257
4-59	225.1.4.59:1088	无效			83
4-60	225.1.4.60:1089	无效			958
4-61	225.1.4.61:1090	无效			639
4-62	225.1.4.62:1091	无效			251
4-63	225.1.4.63:1092	无效			99
4-64	225.1.4.64:1093	无效			6502
4-65	225.1.4.65:1094	无效			5634
4-66	225.1.4.66:1095	无效			5633
4-67	225.1.4.67:1096	无效			5628
4-68	225.1.4.68:1097	无效			5988
4-69	225.1.4.69:1098	无效			5630
4-70	225.1.4.70:1099	无效			5636
4-71	225.1.4.71:1100	无效			5629
4-72	225.1.4.72:1101	无效			6241
4-93	225.1.4.93:1122	无效			5633
4-94	225.1.4.94:1123	无效			5634
4-96	225.1.4.96:1125	无效			5632
4-102	225.1.4.102:1148	无效			6503
4-103	225.1.4.103:1149	无效			5623
4-104	225.1.4.104:1150	无效			5634
4-105	225.1.4.105:1151	无效			5629
4-106	225.1.4.106:1152	无效			6476
4-107	225.1.4.107:1153	无效			5638
4-108	225.1.4.108:1154	无效			5642
4-109	225.1.4.109:1155	无效			5620
4-110	225.1.4.110:1156	无效			6478
4-111	225.1.4.111:1157	无效			5634
4-112	225.1.4.112:1158	无效			5640
4-114	225.1.4.114:1160	无效			5613
4-115	225.1.4.115:1161	无效			6479
4-116	225.1.4.116:1162	无效			5629
4-117	225.1.4.117:1163	无效			5628
4-118	225.1.4.118:1164	无效			5632
4-119	225.1.4.119:1165	无效			6473
4-121	225.1.4.121:1167	无效			5625
4-124	225.1.4.124:1170	无效			5631
4-125	225.1.4.125:1171	无效			5631
4-126	225.1.4.126:1172	无效			6455
4-127	225.1.4.127:1173	无效			5637
4-128	225.1.4.128:1174	无效			5636
4-129	225.1.4.129:1175	无效			5624
4-130	225.1.4.130:1176	无效			6454
4-131	225.1.4.131:1177	无效			5639
4-132	225.1.4.132:1178	无效			5624
4-133	225.1.4.133:1179	无效			5634
4-134	225.1.4.134:1180	无效			6056
4-135	225.1.4.135:1181	无效			5076
4-136	225.1.4.136:1182	无效			5077
4-137	225.1.4.137:1183	无效			5082
4-138	225.1.4.138:1184	无效			5930
4-140	225.1.4.140:1186	无效			5068
4-141	225.1.4.141:1187	无效			5081
4-142	225.1.4.142:1188	无效			5065
4-143	225.1.4.143:1189	无效			6060
4-144	225.1.4.144:1190	无效			5082
4-145	225.1.4.145:1191	无效			5076
4-146	225.1.4.146:1192	无效			5064
4-147	225.1.4.147:1193	无效			6017
4-148	225.1.4.148:1194	无效			5080
4-149	225.1.4.149:1195	无效			5077
4-150	225.1.4.150:1196	无效			5075
4-153	225.1.4.153:1199	无效			5988
4-154	225.1.4.154:1200	无效			5084
4-155	225.1.4.155:1201	无效			5063
4-156	225.1.4.156:1202	无效			5069
4-158	225.1.4.158:1204	无效			5985
4-163	225.1.4.163:1209	无效			5066
4-169	225.1.4.169:1215	无效			5080
