# 20260601_210953_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
0-1	232.0.0.1:1234	无效			5723
0-2	232.0.0.2:1234	无效			5079
0-3	232.0.0.3:1234	无效			5585
0-4	232.0.0.4:1234	无效			5070
0-5	232.0.0.5:1234	无效			5634
0-7	232.0.0.7:1234	无效			5063
0-9	232.0.0.9:1234	无效			5499
0-10	232.0.0.10:1234	无效			5073
0-11	232.0.0.11:1234	无效			5744
0-12	232.0.0.12:1234	无效			5142
0-13	232.0.0.13:1234	无效			5497
0-14	232.0.0.14:1234	无效			5074
0-16	232.0.0.16:1234	无效			5767
0-17	232.0.0.17:1234	无效			5147
0-20	232.0.0.20:1234	无效			5606
0-21	232.0.0.21:1234	无效			5073
0-22	232.0.0.22:1234	无效			5733
0-23	232.0.0.23:1234	无效			5121
0-31	232.0.0.31:1234	无效			5650
0-32	232.0.0.32:1234	无效			5074
0-33	232.0.0.33:1234	无效			5673
0-36	232.0.0.36:1234	无效			5073
0-37	232.0.0.37:1234	无效			5766
0-39	232.0.0.39:1234	无效			5379
0-41	232.0.0.41:1234	无效			5875
0-42	232.0.0.42:1234	无效			5400
0-44	232.0.0.44:1234	无效			5798
0-46	232.0.0.46:1234	无效			5385
0-54	232.0.0.54:1234	无效			5750
0-55	232.0.0.55:1234	无效			5328
0-61	232.0.0.61:1234	无效			5788
0-62	232.0.0.62:1234	无效			5355
0-66	232.0.0.66:1234	无效			5778
0-68	232.0.0.68:1234	无效			5269
0-69	232.0.0.69:1234	无效			5717
0-70	232.0.0.70:1234	无效			5292
0-71	232.0.0.71:1234	无效			5786
0-72	232.0.0.72:1234	无效			5391
0-73	232.0.0.73:1234	无效			5778
0-75	232.0.0.75:1234	无效			5383
0-77	232.0.0.77:1234	无效			5750
0-78	232.0.0.78:1234	无效			5311
0-79	232.0.0.79:1234	无效			5896
0-81	232.0.0.81:1234	无效			5368
0-83	232.0.0.83:1234	无效			5841
0-84	232.0.0.84:1234	无效			5391
0-85	232.0.0.85:1234	无效			5937
0-87	232.0.0.87:1234	无效			5328
0-88	232.0.0.88:1234	无效			5761
0-89	232.0.0.89:1234	无效			5359
0-92	232.0.0.92:1234	无效			5890
0-94	232.0.0.94:1234	无效			5368
0-96	232.0.0.96:1234	无效			5899
0-97	232.0.0.97:1234	无效			5341
0-99	232.0.0.99:1234	无效			5777
0-100	232.0.0.100:1234	无效			5415
0-106	232.0.0.106:1234	无效			5816
0-113	232.0.0.113:1234	无效			5331
0-120	232.0.0.120:1234	无效			5905
0-121	232.0.0.121:1234	无效			5285
0-142	232.0.0.142:1234	无效			5878
0-144	232.0.0.144:1234	无效			5332
0-147	232.0.0.147:1234	无效			5847
0-153	232.0.0.153:1234	无效			5308
0-158	232.0.0.158:1234	无效			5862
0-166	232.0.0.166:1234	无效			5323
0-167	232.0.0.167:1234	无效			5852
0-174	232.0.0.174:1234	无效			5352
0-175	232.0.0.175:1234	无效			5859
0-176	232.0.0.176:1234	无效			5344
0-177	232.0.0.177:1234	无效			5779
0-183	232.0.0.183:1234	无效			5394
0-184	232.0.0.184:1234	无效			5782
0-189	232.0.0.189:1234	无效			5406
0-190	232.0.0.190:1234	无效			5817
0-191	232.0.0.191:1234	无效			5364
0-192	232.0.0.192:1234	无效			5846
0-193	232.0.0.193:1234	无效			5282
0-194	232.0.0.194:1234	无效			5813
0-195	232.0.0.195:1234	无效			5339
0-196	232.0.0.196:1234	无效			932
0-199	232.0.0.199:1234	无效			332
0-200	232.0.0.200:1234	无效			1014
0-204	232.0.0.204:1234	无效			512
0-205	232.0.0.205:1234	无效			1046
0-208	232.0.0.208:1234	无效			505
0-209	232.0.0.209:1234	无效			1003
0-210	232.0.0.210:1234	无效			518
0-211	232.0.0.211:1234	无效			1043
0-216	232.0.0.216:1234	无效			532
0-217	232.0.0.217:1234	无效			1057
0-218	232.0.0.218:1234	无效			483
0-219	232.0.0.219:1234	无效			1025
0-220	232.0.0.220:1234	无效			497
0-221	232.0.0.221:1234	无效			1007
0-222	232.0.0.222:1234	无效			531
0-223	232.0.0.223:1234	无效			1045
0-224	232.0.0.224:1234	无效			509
0-226	232.0.0.226:1234	无效			1048
0-227	232.0.0.227:1234	无效			491
0-228	232.0.0.228:1234	无效			977
0-229	232.0.0.229:1234	无效			539
0-231	232.0.0.231:1234	无效			1034
0-232	232.0.0.232:1234	无效			507
0-233	232.0.0.233:1234	无效			1022
0-234	232.0.0.234:1234	无效			501
0-235	232.0.0.235:1234	无效			1016
0-236	232.0.0.236:1234	无效			476
0-237	232.0.0.237:1234	无效			958
0-242	232.0.0.242:1234	无效			517
0-243	232.0.0.243:1234	无效			991
0-244	232.0.0.244:1234	无效			515
0-245	232.0.0.245:1234	无效			932
0-246	232.0.0.246:1234	无效			491
0-247	232.0.0.247:1234	无效			898
0-248	232.0.0.248:1234	无效			441
0-249	232.0.0.249:1234	无效			920
0-250	232.0.0.250:1234	无效			532
0-251	232.0.0.251:1234	无效			888
0-252	232.0.0.252:1234	无效			468
0-253	232.0.0.253:1234	无效			5635
0-254	232.0.0.254:1234	无效			5381
