# 20260812_154217_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
0-1	239.10.0.1:1025	无效			804
0-2	239.10.0.2:1025	无效			637
0-3	239.10.0.3:1025	无效			819
0-4	239.10.0.4:1025	无效			2619
0-5	239.10.0.5:1025	无效			1038
0-6	239.10.0.6:1025	无效			799
0-7	239.10.0.7:1025	无效			779
0-8	239.10.0.8:1025	有效	1920x1080	h264	3567
0-9	239.10.0.9:1025	有效	1920x1080	h264	1668
0-10	239.10.0.10:1025	有效	1920x1080	h264	1657
0-11	239.10.0.11:1025	有效	1920x1080	h264	1377
0-12	239.10.0.12:1025	有效	1920x1080	h264	1398
0-13	239.10.0.13:1025	有效		h264	1371
0-14	239.10.0.14:1025	有效		h264	1308
0-15	239.10.0.15:1025	有效	1920x1080	h264	1570
0-16	239.10.0.16:1025	有效	1920x1080	h264	1350
0-17	239.10.0.17:1025	有效	1920x1080	h264	1103
0-18	239.10.0.18:1025	有效	1920x1080	h264	1923
0-19	239.10.0.19:1025	有效	1920x1080	h264	1644
0-20	239.10.0.20:1025	有效	1920x1080	h264	3462
0-21	239.10.0.21:1025	有效	1920x1080	h264	6519
0-22	239.10.0.22:1025	无效			974
0-23	239.10.0.23:1025	无效			659
0-24	239.10.0.24:1025	无效			71
0-25	239.10.0.25:1025	无效			156
0-26	239.10.0.26:1025	无效			998
0-27	239.10.0.27:1025	无效			159
0-28	239.10.0.28:1025	无效			656
0-29	239.10.0.29:1025	无效			175
0-30	239.10.0.30:1025	无效			195
0-31	239.10.0.31:1025	无效			189
0-32	239.10.0.32:1025	无效			207
0-34	239.10.0.34:1025	无效			192
0-35	239.10.0.35:1025	无效			147
0-37	239.10.0.37:1025	无效			161
0-39	239.10.0.39:1025	无效			166
0-40	239.10.0.40:1025	无效			161
0-41	239.10.0.41:1025	无效			171
0-42	239.10.0.42:1025	有效		h264	1088
0-43	239.10.0.43:1025	无效			175
0-44	239.10.0.44:1025	无效			155
0-46	239.10.0.46:1025	有效		h264	8431
0-47	239.10.0.47:1025	有效	1920x1080	h264	6835
0-50	239.10.0.50:1025	有效		cavs	6889
0-56	239.10.0.56:1025	有效		cavs	7567
0-57	239.10.0.57:1025	无效			145
0-58	239.10.0.58:1025	有效		cavs	7559
0-59	239.10.0.59:1025	有效		cavs	5803
0-61	239.10.0.61:1025	无效			212
0-62	239.10.0.62:1025	有效	1920x1080	h264	5954
0-63	239.10.0.63:1025	有效		h264	868
0-64	239.10.0.64:1025	无效			160
0-65	239.10.0.65:1025	无效			218
0-66	239.10.0.66:1025	无效			196
0-67	239.10.0.67:1025	无效			149
0-69	239.10.0.69:1025	有效		h264	2127
0-70	239.10.0.70:1025	无效			228
0-71	239.10.0.71:1025	无效			202
0-73	239.10.0.73:1025	无效			204
0-74	239.10.0.74:1025	无效			146
0-75	239.10.0.75:1025	有效		hevc	5711
0-76	239.10.0.76:1025	有效	3840x2160	avs2	6773
0-82	239.10.0.82:1025	无效			125
0-83	239.10.0.83:1025	有效	720x576	h264	5700
0-84	239.10.0.84:1025	有效	720x576	h264	5522
0-85	239.10.0.85:1025	无效			103
0-86	239.10.0.86:1025	有效	1920x1080	h264	9526
0-90	239.10.0.90:1025	有效	720x576	h264	7282
0-91	239.10.0.91:1025	有效	720x576	h264	6005
0-92	239.10.0.92:1025	有效	720x576	h264	6059
0-93	239.10.0.93:1025	有效		h264	1372
0-94	239.10.0.94:1025	有效	720x576	h264	1608
0-95	239.10.0.95:1025	有效		h264	1583
0-96	239.10.0.96:1025	有效		h264	1384
0-97	239.10.0.97:1025	有效		h264	1317
0-98	239.10.0.98:1025	有效		h264	1373
0-99	239.10.0.99:1025	有效		h264	1347
0-100	239.10.0.100:1025	有效		h264	1385
0-105	239.10.0.105:1025	无效			202
0-106	239.10.0.106:1025	无效			269
0-107	239.10.0.107:1025	有效	720x576	h264	5654
0-108	239.10.0.108:1025	有效	720x576	h264	5732
0-109	239.10.0.109:1025	有效	720x576	h264	5680
0-110	239.10.0.110:1025	有效	720x576	h264	5647
0-112	239.10.0.112:1025	有效	1920x1080	h264	6835
0-116	239.10.0.116:1025	有效	720x576	h264	5717
0-117	239.10.0.117:1025	有效	720x576	h264	5686
0-118	239.10.0.118:1025	有效	720x576	h264	5666
0-119	239.10.0.119:1025	无效			135
0-120	239.10.0.120:1025	无效			139
0-121	239.10.0.121:1025	有效	720x576	h264	5870
0-122	239.10.0.122:1025	有效	720x576	h264	5697
0-123	239.10.0.123:1025	有效	720x576	h264	5701
0-124	239.10.0.124:1025	有效	720x576	h264	5808
0-126	239.10.0.126:1025	有效	1920x1080	h264	5529
0-127	239.10.0.127:1025	有效	720x576	h264	5640
