# 20260814_150646_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
142-1	239.253.142.1:3000	无效			448
142-2	239.253.142.2:3000	无效			101
142-3	239.253.142.3:3000	无效			395
142-4	239.253.142.4:3000	无效			173
142-5	239.253.142.5:3000	无效			407
142-6	239.253.142.6:3000	无效			169
142-7	239.253.142.7:3000	无效			396
142-9	239.253.142.9:3000	无效			165
142-10	239.253.142.10:3000	有效	720x576	h264	5902
142-11	239.253.142.11:3000	有效	1920x1080	h264	7187
142-12	239.253.142.12:3000	有效	720x576	h264	5559
142-13	239.253.142.13:3000	无效			390
142-15	239.253.142.15:3000	无效			130
142-17	239.253.142.17:3000	无效			450
142-18	239.253.142.18:3000	无效			134
142-20	239.253.142.20:3000	有效	1920x1080	h264	6805
142-21	239.253.142.21:3000	无效			440
142-22	239.253.142.22:3000	无效			149
142-23	239.253.142.23:3000	无效			392
142-24	239.253.142.24:3000	无效			172
142-25	239.253.142.25:3000	无效			442
142-26	239.253.142.26:3000	无效			142
142-27	239.253.142.27:3000	无效			375
142-28	239.253.142.28:3000	无效			192
142-33	239.253.142.33:3000	有效	3840x2160	hevc	9078
142-36	239.253.142.36:3000	无效			5387
142-38	239.253.142.38:3000	有效	1920x1080	h264	6206
142-39	239.253.142.39:3000	有效	1920x1080	h264	6789
142-40	239.253.142.40:3000	有效	3840x2160	hevc	6789
142-42	239.253.142.42:3000	有效	1920x1080	h264	6630
142-44	239.253.142.44:3000	有效	3840x2160	hevc	7423
142-45	239.253.142.45:3000	有效	3840x2160	hevc	7055
142-46	239.253.142.46:3000	有效	1920x1080	h264	7383
142-49	239.253.142.49:3000	有效	3840x2160	hevc	7107
142-52	239.253.142.52:3000	有效	3840x2160	hevc	6918
142-53	239.253.142.53:3000	有效	720x576	h264	5597
142-54	239.253.142.54:3000	有效	3840x2160	hevc	9703
142-58	239.253.142.58:3000	无效			5163
142-61	239.253.142.61:3000	无效			5373
142-69	239.253.142.69:3000	无效			5121
142-70	239.253.142.70:3000	无效			5377
142-72	239.253.142.72:3000	无效			5110
142-82	239.253.142.82:3000	无效			5428
142-83	239.253.142.83:3000	无效			5217
142-84	239.253.142.84:3000	有效	1920x1080	h264	8290
142-91	239.253.142.91:3000	无效			5386
142-96	239.253.142.96:3000	有效	1920x1080	h264	6737
142-97	239.253.142.97:3000	无效			5232
142-102	239.253.142.102:3000	有效	720x576	h264	5874
142-110	239.253.142.110:3000	有效	720x576	h264	5874
142-111	239.253.142.111:3000	无效			5386
142-112	239.253.142.112:3000	无效			5226
142-114	239.253.142.114:3000	无效			5434
142-119	239.253.142.119:3000	无效			5199
142-120	239.253.142.120:3000	无效			5426
142-124	239.253.142.124:3000	无效			5180
142-134	239.253.142.134:3000	无效			5408
142-153	239.253.142.153:3000	无效			5218
142-154	239.253.142.154:3000	无效			5424
142-159	239.253.142.159:3000	无效			5182
142-170	239.253.142.170:3000	无效			5409
142-171	239.253.142.171:3000	无效			5208
142-172	239.253.142.172:3000	无效			5387
142-173	239.253.142.173:3000	无效			5228
142-177	239.253.142.177:3000	无效			5383
142-180	239.253.142.180:3000	无效			5229
142-185	239.253.142.185:3000	无效			5402
142-186	239.253.142.186:3000	无效			5218
142-191	239.253.142.191:3000	无效			5453
142-193	239.253.142.193:3000	无效			5165
142-194	239.253.142.194:3000	无效			5400
142-196	239.253.142.196:3000	有效	1920x1080	h264	7796
142-197	239.253.142.197:3000	无效			5200
142-209	239.253.142.209:3000	无效			5438
142-254	239.253.142.254:3000	无效			5175
