# 20260629_175939_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
湖北卫视	228.0.0.232:6108	无效			547
湖北卫视	228.0.0.60:6108	无效			568
湖北公共新闻	228.0.0.124:6108	无效			607
湖北垄上频道	228.0.0.127:6108	无效			504
湖北影视频道	228.0.0.205:6108	无效			751
湖北教育频道	228.0.0.206:6108	无效			331
湖北生活频道	228.0.0.204:6108	无效			680
湖北经视频道	228.0.0.125:6108	无效			404
湖北综合频道	228.0.0.126:6108	无效			710
CCTV-1综合	228.0.0.1:6108	无效			382
CCTV-2财经	228.0.0.2:6108	无效			621
CCTV-3综艺	228.0.0.156:7156	无效			464
CCTV-4中文国际	228.0.0.143:7143	无效			857
CCTV-5体育	228.0.0.112:6108	无效			291
CCTV5+体育赛事	228.0.0.17:6108	无效			713
CCTV-6电影	228.0.0.157:7157	无效			373
CCTV-7国防军事	228.0.0.7:6108	无效			770
CCTV-8电视剧	228.0.0.158:7158	无效			356
CCTV-9纪录	228.0.0.9:6108	无效			885
CCTV-10科教	228.0.0.10:6108	无效			249
CCTV-11戏曲	228.0.0.242:6108	无效			5698
CCTV-12社会与法	228.0.0.12:6108	无效			5431
CCTV-13新闻	228.0.0.202:6108	无效			5570
CCTV-14少儿	228.0.0.14:6108	无效			5068
CCTV-15音乐	228.0.0.15:6108	无效			5680
CCTV-16奥林匹克	228.0.0.249:6108	无效			5339
CCTV-17农业农村	228.0.0.161:7161	无效			5729
CHC动作电影	228.0.0.212:6108	无效			5431
CHC家庭影院	228.0.0.211:6108	无效			5699
CCTV第一剧场	228.0.0.235:6108	无效			5466
CCTV风云足球	228.0.0.236:6108	无效			5625
CCTV怀旧剧场	228.0.0.237:6108	无效			5197
老故事	228.0.0.238:6108	无效			5616
CETV1	228.0.0.146:7146	无效			5164
CETV2	228.0.0.198:7198	无效			5591
CETV4	228.0.0.177:7177	无效			5072
湖南卫视	228.0.0.61:6108	无效			5527
浙江卫视	228.0.0.65:6108	无效			5064
江苏卫视	228.0.0.64:6108	无效			5729
北京卫视	228.0.0.63:6108	无效			5479
东方卫视	228.0.0.62:6108	无效			5617
安徽卫视	228.0.0.122:6108	无效			5139
广东卫视	228.0.0.66:6108	无效			5626
深圳卫视	228.0.0.67:6108	无效			5368
辽宁卫视	228.0.0.123:6108	无效			5740
山东卫视	228.0.0.121:6108	无效			5443
天津卫视	228.0.0.120:6108	无效			5590
重庆卫视	228.0.0.159:7159	无效			5105
东南卫视	228.0.0.144:7144	无效			5722
河北卫视	228.0.0.168:7168	无效			5448
河南卫视	228.0.0.230:6108	无效			5638
陕西卫视	228.0.0.56:6108	无效			5442
四川卫视	228.0.0.231:6108	无效			5711
海南卫视	228.0.0.165:7165	无效			5454
甘肃卫视	228.0.0.57:6108	无效			5735
广西卫视	228.0.0.37:6108	无效			5419
贵州卫视	228.0.0.160:7160	无效			5622
黑龙江卫视	228.0.0.68:6108	无效			5386
江西卫视	228.0.0.147:7147	无效			5707
吉林卫视	228.0.0.45:6108	无效			5447
内蒙古卫视	228.0.0.52:6108	无效			5619
宁夏卫视	228.0.0.30:6108	无效			5426
山西卫视	228.0.0.47:6108	无效			5613
新疆卫视	228.0.0.53:6108	无效			5303
云南卫视	228.0.0.48:6108	无效			5721
青海卫视	228.0.0.54:6108	无效			5404
西藏卫视	228.0.0.51:6108	无效			5746
三沙卫视	228.0.0.174:7174	无效			5377
卡酷动画	228.0.0.58:6108	无效			5726
先锋乒羽	228.0.0.241:6108	无效			5382
快乐垂钓	228.0.0.203:6108	无效			5591
茶频道	228.0.0.234:6108	无效			5388
金鹰纪实	228.0.0.145:7145	无效			5666
金鹰卡通	228.0.0.59:6108	无效			5450
国学频道	228.0.0.75:6108	无效			5724
财富天下	228.0.0.88:6108	无效			5379
环球奇观	228.0.0.73:6108	无效			5636
武汉外语	228.0.0.133:5133	无效			5415
武汉少儿	228.0.0.134:5134	无效			5690
武汉教育	228.0.0.136:5136	无效			5417
武汉文体	228.0.0.164:7164	无效			5685
武汉新闻	228.0.0.162:7162	无效			5393
武汉生活	228.0.0.89:6108	无效			5707
武汉电视剧	228.0.0.163:7163	无效			5380
武汉经济	228.0.0.131:5131	无效			5751
宜昌旅游	228.0.0.226:6108	无效			5338
宜昌综合	228.0.0.225:6108	无效			5639
孝感新闻	228.0.0.107:6108	无效			5453
孝感生活	228.0.0.108:6108	无效			5648
随州农村	228.0.0.111:6108	无效			5442
随州综合	228.0.0.110:6108	无效			5608
恩施文旅	228.0.0.229:6108	无效			5394
恩施综合	228.0.0.228:6108	无效			5720
CHC影迷电影	228.0.0.233:6108	无效			5368
GCTN英语	228.0.0.16:6108	无效			5719
IPTV靓妆	228.0.0.86:6108	无效			5352
广通购物	228.0.0.135:5135	无效			5573
房县新闻	228.0.0.31:6108	无效			5469
新动漫	228.0.0.240:6108	无效			5690
游戏竞技	228.0.0.78:6108	无效			5383
网络棋牌	228.0.0.239:6108	无效			5616
