# 20260731_183328_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
青海卫视	239.120.1.113:8346	无效			5169
青海油田	239.120.1.144:8416	无效			5080
青海经视	239.120.1.42:8226	无效			5081
青海经视	239.120.2.161:5141	无效			5058
青海都市	239.120.1.41:8220	无效			5055
青海都市	239.120.2.156:5141	无效			5055
CCTV1	239.120.1.119:8260	无效			5055
CCTV1	239.120.2.220:5141	无效			5055
CCTV2	239.120.2.43:5141	无效			5054
CCTV3	239.120.2.32:5141	无效			5056
CCTV4	239.120.2.33:5141	无效			5056
CCTV5	239.120.2.34:5141	无效			5055
CCTV5+	239.120.2.59:5141	无效			5055
CCTV6	239.120.2.38:5141	无效			5055
CCTV7	239.120.2.39:5141	无效			5168
CCTV8	239.120.2.40:5141	无效			5112
CCTV9	239.120.2.91:5141	无效			5119
CCTV10	239.120.2.92:5141	无效			5102
CCTV11	239.120.2.100:5141	无效			5087
CCTV12	239.120.2.101:5141	无效			5065
CCTV13	239.120.1.165:9048	无效			5069
CCTV13	239.120.2.102:5141	无效			5070
CCTV14	239.120.2.103:5141	无效			5068
CCTV15	239.120.1.167:9060	无效			5068
CCTV15	239.120.2.104:5141	无效			5069
CCTV16	239.120.2.105:5141	无效			5074
CCTV17	239.120.2.106:5141	无效			5057
CGTN	239.120.2.126:5141	无效			5057
CETV1	239.120.2.67:5141	无效			5076
中国教育1	239.120.1.133:8856	无效			5064
CETV2	239.120.2.68:5141	无效			5058
CETV4	239.120.2.71:5141	无效			5058
中国教育4	239.120.2.69:5141	无效			5057
湖南卫视	239.120.2.173:5141	无效			5057
浙江卫视	239.120.1.128:8826	无效			5056
浙江卫视	239.120.2.199:5141	无效			5056
江苏卫视	239.120.2.221:5141	无效			5059
北京卫视	239.120.2.186:5141	无效			5058
东方卫视	239.120.2.184:5141	无效			5057
安徽卫视	239.120.1.226:9348	无效			5056
安徽卫视	239.120.2.187:5141	无效			5057
广东卫视	239.120.1.126:8814	无效			5058
广东卫视	239.120.2.181:5141	无效			5143
深圳卫视	239.120.1.137:8880	无效			5113
深圳卫视	239.120.2.197:5141	无效			5102
辽宁卫视	239.120.2.189:5141	无效			5096
山东卫视	239.120.2.219:5141	无效			5074
天津卫视	239.120.1.233:9514	无效			5054
天津卫视	239.120.2.196:5141	无效			5054
重庆卫视	239.120.1.146:8934	无效			5062
重庆卫视	239.120.2.185:5141	无效			5061
东南卫视	239.120.1.232:9372	无效			5060
东南卫视	239.120.2.195:5141	无效			5054
河北卫视	239.120.1.212:9300	无效			5061
河北卫视	239.120.2.12:5141	无效			5056
河南卫视	239.120.1.148:8946	无效			5060
河南卫视	239.120.2.180:5141	无效			5117
湖北卫视	239.120.1.129:8832	无效			5086
湖北卫视	239.120.2.182:5141	无效			5057
陕西卫视	239.120.2.20:5141	无效			5058
四川卫视	239.120.1.147:8940	无效			5055
四川卫视	239.120.2.2:5141	无效			5056
海南卫视	239.120.2.31:5141	无效			5056
甘肃卫视	239.120.1.118:8700	无效			5055
甘肃卫视	239.120.2.16:5141	无效			5054
广西卫视	239.120.1.155:8988	无效			5054
广西卫视	239.120.2.5:5141	无效			5055
贵州卫视	239.120.1.142:8910	无效			5055
贵州卫视	239.120.2.18:5141	无效			5055
黑龙江卫视	239.120.2.183:5141	无效			5055
江西卫视	239.120.2.194:5141	无效			5162
吉林卫视	239.120.1.151:8964	无效			5131
吉林卫视	239.120.2.26:5141	无效			5096
内蒙古卫视	239.120.2.44:5141	无效			5102
宁夏卫视	239.120.2.25:5141	无效			5090
山西卫视	239.120.2.22:5141	无效			5069
新疆卫视	239.120.2.29:5141	无效			5071
云南卫视	239.120.2.28:5141	无效			5072
西藏卫视	239.120.2.24:5141	无效			5067
兵团卫视	239.120.2.35:5141	无效			5070
三沙卫视	239.120.2.222:5141	无效			5068
欢笑剧场4K	239.120.2.233:5141	无效			5075
纪实科教	239.120.2.231:5141	无效			5056
卡酷动画	239.120.1.138:8886	无效			5058
卡酷少儿	239.120.2.62:5141	无效			5137
快乐垂钓	239.120.2.131:5141	无效			5117
金鹰纪实	239.120.2.36:5141	无效			5101
金鹰纪实	239.120.2.46:5141	无效			5089
金鹰卡通	239.120.2.60:5141	无效			5060
天元围棋	239.120.2.227:5141	无效			5062
财富天下	239.120.2.79:5141	无效			5062
东方财经	239.120.1.55:8304	无效			5055
东方财经	239.120.2.77:5141	无效			5056
法治天地	239.120.2.76:5141	无效			5057
生活时尚	239.120.1.220:9332	无效			5058
生活时尚	239.120.2.147:5141	无效			5057
都市剧场	239.120.1.221:9336	无效			5056
都市剧场	239.120.2.140:5141	无效			5058
第一财经	239.120.1.73:8412	无效			5165
游戏风云	239.120.1.215:9312	无效			5132
游戏风云	239.120.2.133:5141	无效			5077
动漫秀场	239.120.1.219:9328	无效			5079
动漫秀场	239.120.2.138:5141	无效			5074
乐游	239.120.1.217:9320	无效			5063
乐游	239.120.2.135:5141	无效			5061
欢笑剧场	239.120.1.216:9316	无效			5064
欢笑剧场	239.120.2.136:5141	无效			5063
纪实人文	239.120.2.72:5141	无效			5060
金色学堂	239.120.1.69:8374	无效			5056
金色学堂	239.120.2.84:5141	无效			5062
哈哈炫动	239.120.2.134:5141	无效			5056
嘉佳卡通	239.120.2.30:5141	无效			5060
嘉佳卡通	239.120.2.45:5141	无效			5144
中国天气	239.120.2.226:5141	无效			5117
七彩戏剧	239.120.1.57:8316	无效			5126
西宁新闻	239.120.1.249:9444	无效			5103
西宁新闻综合	239.120.2.172:5141	无效			5082
西宁生活	239.120.1.248:9440	无效			5069
西宁生活服务	239.120.2.171:5141	无效			5069
海东综合	239.120.2.198:5141	无效			5069
海北	239.120.2.234:5141	无效			5069
黄南	239.120.1.100:9128	无效			5069
海南州	239.120.1.247:9436	无效			5057
果洛	239.120.1.92:8218	无效			5056
CCTVNEWS	239.120.1.161:9024	无效			5056
九画面	239.120.1.131:8268	无效			5055
安多卫视	239.120.1.40:8214	无效			5164
安多卫视	239.120.2.163:5141	无效			5109
家庭理财	239.120.2.153:5141	无效			5107
旅游卫视	239.120.1.141:8904	无效			5103
早教	239.120.1.34:9534	无效			5098
炫动卡通	239.120.1.140:8898	无效			5069
百事通2	239.120.2.118:5141	无效			5067
百事通4	239.120.2.174:5141	无效			5066
矿区生活	239.120.1.145:8420	无效			5070
陶瓷	239.120.1.225:9346	无效			5068
