# 20260625_181205_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
青海卫视	239.120.1.113:8346	无效			5073
青海油田	239.120.1.144:8416	无效			5055
青海经视	239.120.1.42:8226	无效			5054
青海经视	239.120.2.161:5141	无效			5055
青海都市	239.120.1.41:8220	无效			5056
青海都市	239.120.2.156:5141	无效			5057
CCTV1	239.120.1.119:8260	无效			5054
CCTV1	239.120.2.220:5141	无效			5055
CCTV2	239.120.2.43:5141	无效			5054
CCTV3	239.120.2.32:5141	无效			5056
CCTV4	239.120.2.33:5141	无效			5056
CCTV5	239.120.2.34:5141	无效			5060
CCTV5+	239.120.2.59:5141	无效			5055
CCTV6	239.120.2.38:5141	无效			5055
CCTV7	239.120.2.39:5141	无效			5170
CCTV8	239.120.2.40:5141	无效			5128
CCTV9	239.120.2.91:5141	无效			5094
CCTV10	239.120.2.92:5141	无效			5088
CCTV11	239.120.2.100:5141	无效			5074
CCTV12	239.120.2.101:5141	无效			5074
CCTV13	239.120.1.165:9048	无效			5064
CCTV13	239.120.2.102:5141	无效			5065
CCTV14	239.120.2.103:5141	无效			5064
CCTV15	239.120.1.167:9060	无效			5066
CCTV15	239.120.2.104:5141	无效			5067
CCTV16	239.120.2.105:5141	无效			5067
CCTV17	239.120.2.106:5141	无效			5068
CGTN	239.120.2.126:5141	无效			5074
CETV1	239.120.2.67:5141	无效			5156
中国教育1	239.120.1.133:8856	无效			5122
CETV2	239.120.2.68:5141	无效			5103
CETV4	239.120.2.71:5141	无效			5081
中国教育4	239.120.2.69:5141	无效			5072
湖南卫视	239.120.2.173:5141	无效			5073
浙江卫视	239.120.1.128:8826	无效			5064
浙江卫视	239.120.2.199:5141	无效			5066
江苏卫视	239.120.2.221:5141	无效			5067
北京卫视	239.120.2.186:5141	无效			5070
东方卫视	239.120.2.184:5141	无效			5070
安徽卫视	239.120.1.226:9348	无效			5071
安徽卫视	239.120.2.187:5141	无效			5073
广东卫视	239.120.1.126:8814	无效			5071
广东卫视	239.120.2.181:5141	无效			5172
深圳卫视	239.120.1.137:8880	无效			5088
深圳卫视	239.120.2.197:5141	无效			5100
辽宁卫视	239.120.2.189:5141	无效			5093
山东卫视	239.120.2.219:5141	无效			5084
天津卫视	239.120.1.233:9514	无效			5066
天津卫视	239.120.2.196:5141	无效			5068
重庆卫视	239.120.1.146:8934	无效			5068
重庆卫视	239.120.2.185:5141	无效			5068
东南卫视	239.120.1.232:9372	无效			5067
东南卫视	239.120.2.195:5141	无效			5070
河北卫视	239.120.1.212:9300	无效			5071
河北卫视	239.120.2.12:5141	无效			5072
河南卫视	239.120.1.148:8946	无效			5073
河南卫视	239.120.2.180:5141	无效			5132
湖北卫视	239.120.1.129:8832	无效			5073
湖北卫视	239.120.2.182:5141	无效			5054
陕西卫视	239.120.2.20:5141	无效			5054
四川卫视	239.120.1.147:8940	无效			5056
四川卫视	239.120.2.2:5141	无效			5054
海南卫视	239.120.2.31:5141	无效			5054
甘肃卫视	239.120.1.118:8700	无效			5056
甘肃卫视	239.120.2.16:5141	无效			5056
广西卫视	239.120.1.155:8988	无效			5058
广西卫视	239.120.2.5:5141	无效			5056
贵州卫视	239.120.1.142:8910	无效			5056
贵州卫视	239.120.2.18:5141	无效			5054
黑龙江卫视	239.120.2.183:5141	无效			5056
江西卫视	239.120.2.194:5141	无效			5158
吉林卫视	239.120.1.151:8964	无效			5124
吉林卫视	239.120.2.26:5141	无效			5084
内蒙古卫视	239.120.2.44:5141	无效			5067
宁夏卫视	239.120.2.25:5141	无效			5066
山西卫视	239.120.2.22:5141	无效			5056
新疆卫视	239.120.2.29:5141	无效			5057
云南卫视	239.120.2.28:5141	无效			5054
西藏卫视	239.120.2.24:5141	无效			5054
兵团卫视	239.120.2.35:5141	无效			5053
三沙卫视	239.120.2.222:5141	无效			5056
欢笑剧场4K	239.120.2.233:5141	无效			5055
纪实科教	239.120.2.231:5141	无效			5054
卡酷动画	239.120.1.138:8886	无效			5059
卡酷少儿	239.120.2.62:5141	无效			5167
快乐垂钓	239.120.2.131:5141	无效			5104
金鹰纪实	239.120.2.36:5141	无效			5100
金鹰纪实	239.120.2.46:5141	无效			5093
金鹰卡通	239.120.2.60:5141	无效			5068
天元围棋	239.120.2.227:5141	无效			5078
财富天下	239.120.2.79:5141	无效			5067
东方财经	239.120.1.55:8304	无效			5069
东方财经	239.120.2.77:5141	无效			5067
法治天地	239.120.2.76:5141	无效			5068
生活时尚	239.120.1.220:9332	无效			5068
生活时尚	239.120.2.147:5141	无效			5067
都市剧场	239.120.1.221:9336	无效			5069
都市剧场	239.120.2.140:5141	无效			5072
第一财经	239.120.1.73:8412	无效			5131
游戏风云	239.120.1.215:9312	无效			5105
游戏风云	239.120.2.133:5141	无效			5080
动漫秀场	239.120.1.219:9328	无效			5053
动漫秀场	239.120.2.138:5141	无效			5054
乐游	239.120.1.217:9320	无效			5054
乐游	239.120.2.135:5141	无效			5056
欢笑剧场	239.120.1.216:9316	无效			5055
欢笑剧场	239.120.2.136:5141	无效			5054
纪实人文	239.120.2.72:5141	无效			5054
金色学堂	239.120.1.69:8374	无效			5054
金色学堂	239.120.2.84:5141	无效			5053
哈哈炫动	239.120.2.134:5141	无效			5054
嘉佳卡通	239.120.2.30:5141	无效			5057
嘉佳卡通	239.120.2.45:5141	无效			5113
中国天气	239.120.2.226:5141	无效			5097
七彩戏剧	239.120.1.57:8316	无效			5057
西宁新闻	239.120.1.249:9444	无效			5054
西宁新闻综合	239.120.2.172:5141	无效			5054
西宁生活	239.120.1.248:9440	无效			5051
西宁生活服务	239.120.2.171:5141	无效			5051
海东综合	239.120.2.198:5141	无效			5053
海北	239.120.2.234:5141	无效			5056
黄南	239.120.1.100:9128	无效			5059
海南州	239.120.1.247:9436	无效			5056
果洛	239.120.1.92:8218	无效			5055
CCTVNEWS	239.120.1.161:9024	无效			5055
九画面	239.120.1.131:8268	无效			5055
安多卫视	239.120.1.40:8214	无效			5160
安多卫视	239.120.2.163:5141	无效			5109
家庭理财	239.120.2.153:5141	无效			5072
旅游卫视	239.120.1.141:8904	无效			5068
早教	239.120.1.34:9534	无效			5055
炫动卡通	239.120.1.140:8898	无效			5054
百事通2	239.120.2.118:5141	无效			5054
百事通4	239.120.2.174:5141	无效			5056
矿区生活	239.120.1.145:8420	无效			5055
陶瓷	239.120.1.225:9346	无效			5054
