# 20260703_174642_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
青海卫视	239.120.1.113:8346	无效			5174
青海油田	239.120.1.144:8416	无效			5136
青海经视	239.120.1.42:8226	无效			5101
青海经视	239.120.2.161:5141	无效			5096
青海都市	239.120.1.41:8220	无效			5082
青海都市	239.120.2.156:5141	无效			5071
CCTV1	239.120.1.119:8260	无效			5070
CCTV1	239.120.2.220:5141	无效			5067
CCTV2	239.120.2.43:5141	无效			5077
CCTV3	239.120.2.32:5141	无效			5072
CCTV4	239.120.2.33:5141	无效			5063
CCTV5	239.120.2.34:5141	无效			5068
CCTV5+	239.120.2.59:5141	无效			5060
CCTV6	239.120.2.38:5141	无效			5063
CCTV7	239.120.2.39:5141	无效			5074
CCTV8	239.120.2.40:5141	无效			5057
CCTV9	239.120.2.91:5141	无效			5057
CCTV10	239.120.2.92:5141	无效			5056
CCTV11	239.120.2.100:5141	无效			5059
CCTV12	239.120.2.101:5141	无效			5056
CCTV13	239.120.1.165:9048	无效			5058
CCTV13	239.120.2.102:5141	无效			5058
CCTV14	239.120.2.103:5141	无效			5058
CCTV15	239.120.1.167:9060	无效			5055
CCTV15	239.120.2.104:5141	无效			5057
CCTV16	239.120.2.105:5141	无效			5056
CCTV17	239.120.2.106:5141	无效			5055
CGTN	239.120.2.126:5141	无效			5061
CETV1	239.120.2.67:5141	无效			5155
中国教育1	239.120.1.133:8856	无效			5123
CETV2	239.120.2.68:5141	无效			5095
CETV4	239.120.2.71:5141	无效			5090
中国教育4	239.120.2.69:5141	无效			5072
湖南卫视	239.120.2.173:5141	无效			5063
浙江卫视	239.120.1.128:8826	无效			5056
浙江卫视	239.120.2.199:5141	无效			5056
江苏卫视	239.120.2.221:5141	无效			5057
北京卫视	239.120.2.186:5141	无效			5057
东方卫视	239.120.2.184:5141	无效			5058
安徽卫视	239.120.1.226:9348	无效			5058
安徽卫视	239.120.2.187:5141	无效			5054
广东卫视	239.120.1.126:8814	无效			5055
广东卫视	239.120.2.181:5141	无效			5134
深圳卫视	239.120.1.137:8880	无效			5111
深圳卫视	239.120.2.197:5141	无效			5059
辽宁卫视	239.120.2.189:5141	无效			5055
山东卫视	239.120.2.219:5141	无效			5054
天津卫视	239.120.1.233:9514	无效			5058
天津卫视	239.120.2.196:5141	无效			5057
重庆卫视	239.120.1.146:8934	无效			5058
重庆卫视	239.120.2.185:5141	无效			5058
东南卫视	239.120.1.232:9372	无效			5059
东南卫视	239.120.2.195:5141	无效			5057
河北卫视	239.120.1.212:9300	无效			5058
河北卫视	239.120.2.12:5141	无效			5055
河南卫视	239.120.1.148:8946	无效			5056
河南卫视	239.120.2.180:5141	无效			5169
湖北卫视	239.120.1.129:8832	无效			5136
湖北卫视	239.120.2.182:5141	无效			5088
陕西卫视	239.120.2.20:5141	无效			5075
四川卫视	239.120.1.147:8940	无效			5094
四川卫视	239.120.2.2:5141	无效			5078
海南卫视	239.120.2.31:5141	无效			5084
甘肃卫视	239.120.1.118:8700	无效			5070
甘肃卫视	239.120.2.16:5141	无效			5066
广西卫视	239.120.1.155:8988	无效			5067
广西卫视	239.120.2.5:5141	无效			5068
贵州卫视	239.120.1.142:8910	无效			5071
贵州卫视	239.120.2.18:5141	无效			5071
黑龙江卫视	239.120.2.183:5141	无效			5069
江西卫视	239.120.2.194:5141	无效			5175
吉林卫视	239.120.1.151:8964	无效			5124
吉林卫视	239.120.2.26:5141	无效			5106
内蒙古卫视	239.120.2.44:5141	无效			5074
宁夏卫视	239.120.2.25:5141	无效			5075
山西卫视	239.120.2.22:5141	无效			5091
新疆卫视	239.120.2.29:5141	无效			5079
云南卫视	239.120.2.28:5141	无效			5087
西藏卫视	239.120.2.24:5141	无效			5070
兵团卫视	239.120.2.35:5141	无效			5064
三沙卫视	239.120.2.222:5141	无效			5066
欢笑剧场4K	239.120.2.233:5141	无效			5063
纪实科教	239.120.2.231:5141	无效			5068
卡酷动画	239.120.1.138:8886	无效			5067
卡酷少儿	239.120.2.62:5141	无效			5176
快乐垂钓	239.120.2.131:5141	无效			5101
金鹰纪实	239.120.2.36:5141	无效			5073
金鹰纪实	239.120.2.46:5141	无效			5059
金鹰卡通	239.120.2.60:5141	无效			5055
天元围棋	239.120.2.227:5141	无效			5062
财富天下	239.120.2.79:5141	无效			5056
东方财经	239.120.1.55:8304	无效			5055
东方财经	239.120.2.77:5141	无效			5056
法治天地	239.120.2.76:5141	无效			5056
生活时尚	239.120.1.220:9332	无效			5057
生活时尚	239.120.2.147:5141	无效			5057
都市剧场	239.120.1.221:9336	无效			5056
都市剧场	239.120.2.140:5141	无效			5054
第一财经	239.120.1.73:8412	无效			5131
游戏风云	239.120.1.215:9312	无效			5104
游戏风云	239.120.2.133:5141	无效			5056
动漫秀场	239.120.1.219:9328	无效			5061
动漫秀场	239.120.2.138:5141	无效			5057
乐游	239.120.1.217:9320	无效			5058
乐游	239.120.2.135:5141	无效			5057
欢笑剧场	239.120.1.216:9316	无效			5058
欢笑剧场	239.120.2.136:5141	无效			5058
纪实人文	239.120.2.72:5141	无效			5058
金色学堂	239.120.1.69:8374	无效			5058
金色学堂	239.120.2.84:5141	无效			5058
哈哈炫动	239.120.2.134:5141	无效			5056
嘉佳卡通	239.120.2.30:5141	无效			5055
嘉佳卡通	239.120.2.45:5141	无效			5166
中国天气	239.120.2.226:5141	无效			5137
七彩戏剧	239.120.1.57:8316	无效			5103
西宁新闻	239.120.1.249:9444	无效			5102
西宁新闻综合	239.120.2.172:5141	无效			5083
西宁生活	239.120.1.248:9440	无效			5085
西宁生活服务	239.120.2.171:5141	无效			5081
海东综合	239.120.2.198:5141	无效			5080
海北	239.120.2.234:5141	无效			5072
黄南	239.120.1.100:9128	无效			5064
海南州	239.120.1.247:9436	无效			5064
果洛	239.120.1.92:8218	无效			5063
CCTVNEWS	239.120.1.161:9024	无效			5061
九画面	239.120.1.131:8268	无效			5060
安多卫视	239.120.1.40:8214	无效			5168
安多卫视	239.120.2.163:5141	无效			5118
家庭理财	239.120.2.153:5141	无效			5098
旅游卫视	239.120.1.141:8904	无效			5098
早教	239.120.1.34:9534	无效			5089
炫动卡通	239.120.1.140:8898	无效			5071
百事通2	239.120.2.118:5141	无效			5070
百事通4	239.120.2.174:5141	无效			5070
矿区生活	239.120.1.145:8420	无效			5071
陶瓷	239.120.1.225:9346	无效			5068
