# 20260624_163437_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
天津卫视	225.1.1.111:5002	有效	1920x1080	h264	6472
天津交通广播	225.1.1.175:5002	无效			99999
天津体育频道	225.1.1.122:5002	有效	1920x1080	h264	4634
天津农村广播	225.1.1.180:5002	无效			99999
天津小说广播	225.1.1.177:5002	无效			5697
天津少儿	225.1.1.125:5002	无效			99999
天津影视频道	225.1.1.149:5002	有效			0
天津教育频道	225.1.1.129:5002	有效	1920x1080	h264	5684
天津文旅频道	225.1.2.123:5002	有效			0
天津文艺广播	225.1.1.171:5002	无效			99999
天津文艺频道	225.1.1.131:5002	有效			0
天津新闻广播	225.1.1.173:5002	无效			99999
天津新闻频道	225.1.1.130:5002	有效	1920x1080	h264	6552
天津滨海广播	225.1.1.178:5002	无效			5729
天津生活广播	225.1.1.174:5002	无效			99999
天津相声广播	225.1.1.176:5002	无效			99999
天津经济广播	225.1.1.172:5002	无效			99999
天津购物自营	225.1.1.108:5002	有效	1920x1080	h264	6331
天津购物频道	225.1.1.151:5002	有效	1920x1080	h264	5926
天津都市频道	225.1.1.128:5002	有效	1920x1080	h264	1399
天津音乐广播	225.1.1.179:5002	无效			5724
CCTV-1综合	225.1.1.120:5002	有效			0
CCTV-2财经	225.1.1.133:5002	有效			0
CCTV-3综艺	225.1.1.158:5002	有效		h264	1556
CCTV-4中文国际	225.1.1.150:5002	有效	1920x1080	h264	6889
CCTV-5体育	225.1.1.160:5002	有效	1920x1080	h264	1132
CCTV-5+体育赛事	225.1.1.121:5002	有效			0
CCTV-6电影	225.1.1.195:5002	有效	1920x1080	h264	5867
CCTV-7国防军事	225.1.1.138:5002	有效			0
CCTV-8电视剧	225.1.1.196:5002	有效	1920x1080	h264	5825
CCTV-9纪录	225.1.1.119:5002	有效	1920x1080	h264	5746
CCTV-10科教	225.1.1.140:5002	有效			0
CCTV-11戏曲	225.1.2.192:5002	有效			0
CCTV-12社会与法	225.1.1.142:5002	有效			0
CCTV-13新闻	225.1.2.193:5002	有效	1920x1080	h264	7055
CCTV-14少儿	225.1.1.144:5002	有效	1920x1080	h264	5823
CCTV-15音乐	225.1.2.194:5002	有效			0
CCTV-16奥林匹克	225.1.2.237:5002	有效	1920x1080	h264	6866
CCTV-17农业农村	225.1.2.52:5002	有效	1920x1080	h264	4638
CHC动作电影	225.1.1.215:5002	有效	1920x1080	h264	5734
CHC家庭影院	225.1.1.213:5002	有效	1920x1080	h264	5743
CCTV风云音乐	225.1.2.176:5002	有效	1920x1080	h264	5318
CCTV世界地理	225.1.2.171:5002	有效	1920x1080	h264	5861
CCTV第一剧场	225.1.2.175:5002	有效	1920x1080	h264	5454
CCTV风云剧场	225.1.2.174:5002	有效	1920x1080	h264	1953
CCTV央视文化精品	225.1.2.177:5002	有效	1920x1080	h264	1254
CCTV兵器科技	225.1.2.166:5002	有效			0
CCTV风云足球	225.1.2.168:5002	有效	1920x1080	h264	5341
CCTV高尔夫网球	225.1.2.169:5002	有效	1920x1080	h264	6566
CCTV怀旧剧场	225.1.2.173:5002	有效	1920x1080	h264	5244
CCTV女性时尚	225.1.2.172:5002	有效	1920x1080	h264	6445
CCTV央视台球	225.1.2.170:5002	有效			0
CCTV电视指南	225.1.2.167:5002	有效	1920x1080	h264	4620
老故事	225.1.1.188:5002	有效	720x576	h264	5038
优优宝贝	225.1.2.203:5002	有效	720x576	h264	5521
CGTN英语	225.1.1.27:5002	有效			0
湖南卫视	225.1.1.114:5002	有效			0
浙江卫视	225.1.1.112:5002	有效	1920x1080	h264	5842
江苏卫视	225.1.1.126:5002	有效	1920x1080	h264	1386
北京卫视	225.1.1.113:5002	有效			0
东方卫视	225.1.2.31:5002	有效	1920x1080	h264	9084
安徽卫视	225.1.1.127:5002	有效	1920x1080	h264	3625
广东卫视	225.1.1.116:5002	有效			0
深圳卫视	225.1.1.117:5002	有效	1920x1080	h264	5769
辽宁卫视	225.1.1.154:5002	有效	1920x1080	h264	5615
重庆卫视	225.1.1.155:5002	有效			0
河北卫视	225.1.2.27:5002	有效			0
河南卫视	225.1.2.61:5002	有效			0
湖北卫视	225.1.1.147:5002	有效	1920x1080	h264	5761
陕西卫视	225.1.1.41:5002	有效	720x576	h264	5751
四川卫视	225.1.1.123:5002	有效	1920x1080	h264	6859
海南卫视	225.1.2.82:5002	有效			0
甘肃卫视	225.1.1.30:5002	有效	720x576	h264	4638
广西卫视	225.1.2.81:5002	有效	1920x1080	h264	6922
贵州卫视	225.1.2.28:5002	有效	1920x1080	h264	5636
黑龙江卫视	225.1.1.115:5002	有效			0
江西卫视	225.1.2.29:5002	有效			0
吉林卫视	225.1.2.26:5002	有效	1920x1080	h264	6816
内蒙古卫视	225.1.1.32:5002	无效			99999
宁夏卫视	225.1.1.56:5002	无效			99999
山西卫视	225.1.1.50:5002	无效			99999
新疆卫视	225.1.1.35:5002	无效			5728
云南卫视	225.1.1.61:5002	有效			0
青海卫视	225.1.1.54:5002	有效			0
西藏卫视	225.1.1.51:5002	无效			99999
兵团卫视	225.1.1.57:5002	无效			99999
三沙卫视	225.1.2.181:5002	有效	720x576	h264	4633
山东教育卫视	225.1.2.118:5002	无效			99999
精彩影视	225.1.1.141:5002	有效			0
四海钓鱼	225.1.2.202:5002	无效			5725
卡酷少儿	225.1.1.58:5002	有效			0
先锋乒羽	225.1.1.219:5002	无效			99999
快乐垂钓	225.1.1.92:5002	有效	1920x1080	h264	6213
茶频道	225.1.2.19:5002	无效			99999
金鹰纪实	225.1.1.124:5002	有效			0
金鹰卡通	225.1.2.236:5002	有效	1920x1080	h264	1629
河南梨园频道	225.1.2.104:5002	有效			0
河南武术世界	225.1.2.129:5002	有效		h264	1577
河南文物宝库	225.1.2.105:5002	有效	1920x1080	h264	6286
中华特产	225.1.2.197:5002	无效			99999
车迷频道	225.1.2.199:5002	无效			5717
环球旅游	225.1.2.200:5002	无效			99999
财富天下	225.1.2.198:5002	无效			99999
上海东方财经	225.1.1.247:5002	有效	1920x1080	h264	6713
上海法治天地	225.1.1.237:5002	有效			0
上海生活时尚	225.1.1.143:5002	有效	1920x1080	h264	10931
上海都市剧场	225.1.1.146:5002	有效	1920x1080	h264	1444
上海游戏风云	225.1.1.135:5002	有效			0
上海动漫秀场	225.1.1.134:5002	有效	1920x1080	h264	7360
上海欢笑剧场	225.1.1.139:5002	有效	1920x1080	h264	3874
上海纪实人文	225.1.2.25:5002	无效			99999
上海金色学堂	225.1.1.236:5002	有效	1920x1080	h264	7095
魅力足球	225.1.1.137:5002	有效	1920x1080	h264	6673
哈哈炫动	225.1.1.62:5002	无效			5731
中学生	225.1.1.193:5002	有效			0
中国天气	225.1.2.119:5002	无效			99999
中国交通	225.1.2.57:5002	有效		h264	3550
环球奇观	225.1.1.197:5002	有效			0
