# 20260825_162008_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
辽宁卫视	232.0.0.126:1234	有效			0
辽宁体育休闲	232.0.0.164:1234	有效			0
辽宁公共频道	232.0.0.168:1234	有效			0
辽宁北方频道	232.0.0.151:1234	有效			0
辽宁宜佳购物	232.0.0.30:1234	有效			0
辽宁影视剧频道	232.0.0.25:1234	有效			0
辽宁教育青少	232.0.0.241:1234	有效			0
辽宁生活频道	232.0.0.150:1234	有效			0
辽宁经济频道	232.0.0.156:1234	有效			0
辽宁都市频道	232.0.0.154:1234	有效			0
CCTV1	232.0.0.27:1234	有效			0
CCTV2	232.0.0.135:1234	有效			0
CCTV3	232.0.0.170:1234	有效			0
CCTV4	232.0.0.201:1234	有效			0
CCTV4欧洲	232.0.0.53:1234	有效			0
CCTV4美洲	232.0.0.59:1234	有效			0
CCTV5	232.0.0.171:1234	有效			0
CCTV5+	232.0.0.93:1234	有效			0
CCTV6	232.0.0.172:1234	有效			0
CCTV7	232.0.0.136:1234	有效			0
CCTV8	232.0.0.173:1234	有效			0
CCTV9	232.0.0.137:1234	有效			0
CCTV10	232.0.0.138:1234	有效			0
CCTV11	232.0.0.178:1234	有效			0
CCTV12	232.0.0.139:1234	有效			0
CCTV13	232.0.0.15:1234	有效			0
CCTV14	232.0.0.140:1234	有效			0
CCTV15	232.0.0.179:1234	有效			0
CCTV16	232.0.0.182:1234	有效			0
CCTV17	232.0.0.230:1234	有效			0
风云音乐	232.0.0.47:1234	有效			0
世界地理	232.0.0.63:1234	有效			0
第一剧场	232.0.0.29:1234	有效			0
风云剧场	232.0.0.45:1234	有效			0
央视精品	232.0.0.56:1234	有效			0
兵器科技	232.0.0.58:1234	有效			0
风云足球	232.0.0.52:1234	有效			0
怀旧剧场	232.0.0.38:1234	有效			0
女性时尚	232.0.0.51:1234	有效			0
央视台球	232.0.0.60:1234	有效			0
电视指南	232.0.0.91:1234	有效			0
CGTN	232.0.0.188:1234	有效			0
CGTN法语	232.0.0.8:1234	有效			0
CGTN俄语	232.0.0.28:1234	有效			0
CETV1	232.0.0.212:1234	有效			0
CETV2	232.0.0.238:1234	有效			0
CETV4	232.0.0.239:1234	有效			0
湖南卫视	232.0.0.115:1234	有效			0
浙江卫视	232.0.0.123:1234	有效			0
江苏卫视	232.0.0.116:1234	有效			0
北京卫视	232.0.0.117:1234	有效			0
东方卫视	232.0.0.122:1234	有效			0
安徽卫视	232.0.0.141:1234	有效			0
广东卫视	232.0.0.130:1234	有效			0
深圳卫视	232.0.0.110:1234	有效			0
山东卫视	232.0.0.131:1234	有效			0
天津卫视	232.0.0.125:1234	有效			0
重庆卫视	232.0.0.186:1234	有效			0
东南卫视	232.0.0.74:1234	有效			0
河北卫视	232.0.0.49:1234	有效			0
河南卫视	232.0.0.80:1234	有效			0
湖北卫视	232.0.0.124:1234	有效			0
陕西卫视	232.0.0.35:1234	有效			0
四川卫视	232.0.0.185:1234	有效			0
海南卫视	232.0.0.26:1234	有效			0
甘肃卫视	232.0.0.50:1234	有效			0
广西卫视	232.0.0.76:1234	有效			0
贵州卫视	232.0.0.181:1234	有效			0
黑龙江卫视	232.0.0.95:1234	有效			0
江西卫视	232.0.0.82:1234	有效			0
吉林卫视	232.0.0.180:1234	有效			0
内蒙古卫视	232.0.0.111:1234	有效			0
宁夏卫视	232.0.0.34:1234	有效			0
山西卫视	232.0.0.86:1234	有效			0
新疆卫视	232.0.0.18:1234	有效			0
云南卫视	232.0.0.40:1234	有效			0
青海卫视	232.0.0.101:1234	有效	720x576	h264	6087
西藏卫视	232.0.0.114:1234	有效	720x576	h264	5807
兵团卫视	232.0.0.67:1234	有效	720x576	h264	6870
厦门卫视	232.0.0.160:1234	有效	720x576	h264	5980
延边卫视	232.0.0.161:1234	有效	720x576	h264	6039
