# 20260608_184254_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
湖北卫视	225.1.8.146:8136	无效			5650
湖北卫视	225.1.8.47:8044	无效			5071
湖北卫视	229.58.190.101:5000	无效			5071
湖北卫视	229.58.190.148:5000	无效			5064
湖北卫视	238.1.78.168:7216	无效			5070
湖北卫视	239.1.1.32:8032	无效			5066
湖北卫视	239.21.1.163:5002	无效			5068
湖北卫视	239.253.248.88:8000	无效			5056
湖北卫视	239.254.96.115:8664	无效			5055
湖北卫视	239.254.96.1:7980	无效			5056
湖北卫视	239.3.1.138:8044	无效			5442
湖北卫视	239.45.3.239:5140	无效			5069
湖北卫视	239.49.8.8:9632	无效			5075
CCTV1	225.1.1.120:5002	无效			5070
CCTV1	225.1.8.101:8080	无效			5068
CCTV1	225.1.8.1:8008	无效			5068
CCTV1	238.1.78.166:7200	无效			5065
CCTV1	239.1.1.7:8007	无效			5060
CCTV1	239.21.1.120:5002	无效			5058
CCTV1	239.21.1.1:5002	无效			5058
CCTV1	239.253.248.77:8000	无效			5852
CCTV1	239.3.1.129:8008	无效			5090
CCTV1	239.45.3.145:5140	无效			5075
CCTV1	239.49.8.19:9614	无效			5067
CCTV2	225.1.1.133:5002	无效			5064
CCTV2	225.1.8.102:8004	无效			5067
CCTV2	225.1.8.2:8084	无效			5071
CCTV2	229.58.190.130:5000	无效			5070
CCTV2	229.58.190.153:5000	无效			5063
CCTV2	238.1.78.235:7752	无效			5056
CCTV2	239.21.1.151:5002	无效			5735
CCTV2	239.253.248.234:8000	无效			5071
CCTV2	239.3.1.60:8084	无效			5067
CCTV2	239.49.8.50:9802	无效			5071
CCTV2	239.76.253.152:9000	无效			5068
CCTV3	225.1.1.158:5002	无效			5063
CCTV3	225.1.8.88:8000	无效			5069
CCTV3	229.58.190.24:5000	无效			5073
CCTV3	229.58.190.35:5000	无效			5064
CCTV3	238.1.78.170:7232	无效			5070
CCTV3	239.1.1.9:8009	无效			5682
CCTV3	239.253.248.4:8000	无效			5092
CCTV3	239.3.1.172:8001	无效			5076
CCTV3	239.45.1.68:5140	无效			5083
CCTV3	239.49.8.74:8000	无效			5074
CCTV4	225.1.8.104:8216	无效			5066
CCTV4	225.1.8.4:8092	无效			5067
CCTV4	229.58.190.131:5000	无效			5061
CCTV4	238.1.78.236:7760	无效			5067
CCTV4	239.1.1.10:8010	无效			5058
CCTV4	239.21.1.154:5002	无效			5852
CCTV4	239.253.248.111:8000	无效			5100
CCTV4	239.3.1.105:8092	无效			5085
CCTV4	239.3.1.245:2000	无效			5091
CCTV4	239.45.0.2:5140	无效			5070
CCTV4	239.49.8.51:9806	无效			5067
CCTV4欧洲	239.21.2.28:5002	无效			5066
CCTV4欧洲	239.3.1.213:4220	无效			5063
CCTV4美洲	239.21.2.29:5002	无效			5060
CCTV4美洲	239.3.1.214:4220	无效			5052
CCTV5	225.1.1.170:5002	无效			5798
CCTV5	225.1.8.89:8000	无效			5083
CCTV5	229.58.190.32:5000	无效			5062
CCTV5	229.58.190.60:5000	无效			5086
CCTV5	238.1.78.171:7240	无效			5072
CCTV5	239.1.1.11:8011	无效			5068
CCTV5	239.21.2.46:5002	无效			5059
CCTV5	239.253.248.6:8000	无效			5062
CCTV5	239.3.1.173:8001	无效			5065
CCTV5	239.45.1.69:5140	无效			5054
CCTV5	239.49.8.75:8000	无效			5815
CCTV5+	225.1.8.20:8004	无效			5066
CCTV5+	229.58.190.154:5000	无效			5078
CCTV5+	238.1.78.237:7768	无效			5082
CCTV5+	239.1.1.12:8012	无效			5059
CCTV5+	239.21.1.142:5002	无效			5064
CCTV5+	239.253.248.80:8000	无效			5061
CCTV5+	239.3.1.130:8004	无效			5068
CCTV5+	239.49.8.18:9610	无效			5065
CCTV6	225.1.1.195:5002	无效			5053
CCTV6	225.1.8.84:8000	无效			5679
CCTV6	229.58.190.48:5000	无效			5067
CCTV6	229.58.190.61:5000	无效			5081
CCTV6	238.1.78.172:7248	无效			5072
CCTV6	239.1.1.13:8013	无效			5076
CCTV6	239.253.248.7:8000	无效			5072
CCTV6	239.3.1.174:8001	无效			5076
CCTV6	239.45.1.70:5140	无效			5073
CCTV6	239.49.8.76:8000	无效			5064
CCTV6	239.76.253.156:9000	无效			5071
CCTV7	225.1.8.107:8024	无效			5876
CCTV7	225.1.8.7:8104	无效			5106
