# 20260602_124523_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
4-1	225.0.4.1:7980	无效			976
4-2	225.0.4.2:7980	无效			666
4-3	225.0.4.3:7980	无效			165
4-4	225.0.4.4:7980	无效			894
4-5	225.0.4.5:7980	无效			707
4-6	225.0.4.6:7980	无效			174
4-7	225.0.4.7:7980	无效			777
4-8	225.0.4.8:7980	无效			886
4-9	225.0.4.9:7980	无效			138
4-10	225.0.4.10:7980	无效			565
4-11	225.0.4.11:7980	无效			1035
4-12	225.0.4.12:7980	无效			167
4-13	225.0.4.13:7980	无效			940
4-14	225.0.4.14:7980	无效			713
4-15	225.0.4.15:7980	无效			159
4-16	225.0.4.16:7980	无效			1017
4-17	225.0.4.17:7980	无效			654
4-18	225.0.4.18:7980	无效			145
4-19	225.0.4.19:7980	无效			902
4-20	225.0.4.20:7980	无效			731
4-21	225.0.4.21:7980	无效			121
4-22	225.0.4.22:7980	无效			1049
4-23	225.0.4.23:7980	无效			581
4-24	225.0.4.24:7980	无效			165
4-25	225.0.4.25:7980	无效			1053
4-26	225.0.4.26:7980	无效			631
4-27	225.0.4.27:7980	无效			123
4-28	225.0.4.28:7980	无效			622
4-29	225.0.4.29:7980	无效			992
4-30	225.0.4.30:7980	无效			151
4-31	225.0.4.31:7980	无效			6007
4-32	225.0.4.32:7980	无效			5081
4-33	225.0.4.33:7980	无效			5079
4-34	225.0.4.34:7980	无效			5946
4-35	225.0.4.35:7980	无效			5086
4-36	225.0.4.36:7980	无效			5093
4-37	225.0.4.37:7980	无效			5874
4-38	225.0.4.38:7980	无效			5073
4-39	225.0.4.39:7980	无效			5077
4-40	225.0.4.40:7980	无效			5953
4-41	225.0.4.41:7980	无效			5070
4-42	225.0.4.42:7980	无效			5086
4-43	225.0.4.43:7980	无效			5997
4-44	225.0.4.44:7980	无效			5087
4-45	225.0.4.45:7980	无效			5080
4-46	225.0.4.46:7980	无效			6031
4-49	225.0.4.49:7980	无效			5105
4-58	225.0.4.58:7980	无效			5080
4-59	225.0.4.59:7980	无效			6107
4-61	225.0.4.61:7980	无效			5124
4-62	225.0.4.62:7980	无效			5101
4-63	225.0.4.63:7980	无效			6051
4-64	225.0.4.64:7980	无效			5120
4-65	225.0.4.65:7980	无效			5115
4-66	225.0.4.66:7980	无效			6042
4-68	225.0.4.68:7980	无效			5126
4-69	225.0.4.69:7980	无效			5125
4-70	225.0.4.70:7980	无效			5802
4-71	225.0.4.71:7980	无效			5076
4-76	225.0.4.76:7980	无效			5079
4-77	225.0.4.77:7980	无效			6035
4-83	225.0.4.83:7980	无效			5099
4-85	225.0.4.85:7980	无效			5093
4-86	225.0.4.86:7980	无效			6003
4-87	225.0.4.87:7980	无效			5119
4-88	225.0.4.88:7980	无效			5085
4-89	225.0.4.89:7980	无效			5861
4-90	225.0.4.90:7980	无效			5077
4-91	225.0.4.91:7980	无效			5070
4-92	225.0.4.92:7980	无效			6099
4-93	225.0.4.93:7980	无效			5095
4-94	225.0.4.94:7980	无效			5090
4-95	225.0.4.95:7980	无效			6098
4-96	225.0.4.96:7980	无效			5091
4-97	225.0.4.97:7980	无效			5099
4-99	225.0.4.99:7980	无效			6169
4-100	225.0.4.100:7980	无效			5203
4-109	225.0.4.109:7980	无效			5072
4-110	225.0.4.110:7980	无效			6143
4-111	225.0.4.111:7980	无效			5121
4-112	225.0.4.112:7980	无效			5078
4-113	225.0.4.113:7980	无效			6201
4-114	225.0.4.114:7980	无效			5411
