# 20260623_174809_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
湖南卫视	239.1.0.104:1025	无效			5298
湖南卫视	239.1.0.1:1025	无效			5143
湖南国际	239.1.0.114:1025?ChannelFECPort=1024	无效			5085
湖南国际	239.1.0.21:1025	无效			5076
湖南娱乐	239.1.0.109:1025	无效			5075
湖南娱乐	239.1.0.14:1025	无效			5064
湖南教育	239.1.0.100:1025	无效			5069
湖南教育	239.1.0.201:1025	无效			5068
湖南爱晚	239.1.0.113:1025?ChannelFECPort=1024	无效			5238
湖南爱晚	239.1.0.16:1025	无效			5114
湖南电影	239.1.0.107:1025	无效			5061
湖南电影	239.1.0.18:1025	无效			5059
湖南电视剧	239.1.0.106:1025	无效			5069
湖南电视剧	239.1.0.17:1025	无效			5067
湖南经视	239.1.0.181:1025?ChannelFECPort=1024	无效			5056
湖南经视	239.1.0.2:1025	无效			5061
湖南都市	239.1.0.110:1025?ChannelFECPort=1024	无效			5263
湖南都市	239.1.0.15:1025	无效			5090
CCTV1	239.1.0.105:1025?ChannelFECPort=1024	无效			5070
CCTV1	239.1.0.3:1025	无效			5071
CCTV2	239.1.0.119:1025?ChannelFECPort=1024	无效			5064
CCTV2	239.1.0.24:1025	无效			5070
CCTV3	239.1.0.120:1025?ChannelFECPort=1024	无效			5068
CCTV3	239.1.0.25:1025	无效			5062
CCTV4	239.1.0.121:1025?ChannelFECPort=1024	无效			5246
CCTV4	239.1.0.26:1025	无效			5099
CCTV4欧洲	239.1.1.34:1025	无效			5081
CCTV4美洲	239.1.1.35:1025	无效			5066
CCTV5	239.1.0.122:1025?ChannelFECPort=1024	无效			5058
CCTV5	239.1.0.27:1025	无效			5056
CCTV5+	239.1.0.130:1025	无效			5064
CCTV5+	239.1.0.4:1025	无效			5055
CCTV6	239.1.0.123:1025?ChannelFECPort=1024	无效			5292
CCTV6	239.1.0.28:1025	无效			5107
CCTV7	239.1.0.124:1025?ChannelFECPort=1024	无效			5091
CCTV7	239.1.0.29:1025	无效			5089
CCTV8	239.1.0.125:1025?ChannelFECPort=1024	无效			5078
CCTV9	239.1.0.126:1025?ChannelFECPort=1024	无效			5070
CCTV9	239.1.0.31:1025	无效			5069
CCTV10	239.1.0.127:1025	无效			5071
CCTV10	239.1.0.33:1025	无效			5262
CCTV11	239.1.0.203:1025	无效			5154
CCTV11	239.1.0.34:1025	无效			5102
CCTV12	239.1.0.128:1025	无效			5074
CCTV12	239.1.0.35:1025	无效			5075
CCTV13	239.1.0.144:1025?ChannelFECPort=1024	无效			5076
CCTV13	239.1.0.36:1025	无效			5067
CCTV14	239.1.0.129:1025	无效			5068
CCTV14	239.1.0.37:1025	无效			5254
CCTV15	239.1.0.204:1025	无效			5162
CCTV15	239.1.0.38:1025	无效			5110
CCTV16	239.1.0.175:1025	无效			5070
CCTV16	239.1.1.67:1025	无效			5072
CCTV17	239.1.0.208:1025	无效			5072
CCTV17	239.1.0.209:1025	无效			5064
CCTV风云音乐	239.1.1.60:1025	无效			5073
CCTV世界地理	239.1.1.56:1025	无效			5238
CCTV第一剧场	239.1.1.59:1025	无效			5071
CCTV风云剧场	239.1.1.58:1025	无效			5061
CCTV央视精品	239.1.1.61:1025	无效			5058
CCTV兵器科技	239.1.1.51:1025	无效			5059
CCTV风云足球	239.1.1.53:1025	无效			5059
CCTV高网频道	239.1.1.54:1025	无效			5058
CCTV怀旧剧场	239.1.1.57:1025	无效			5059
CCTV女性时尚	239.1.1.62:1025	无效			5287
CCTV央视台球	239.1.1.55:1025	无效			5113
CCTV电视指南	239.1.1.52:1025	无效			5074
老故事	239.1.0.148:1025	无效			5070
优优宝贝	239.1.0.69:1025	无效			5060
CGTN	239.1.0.39:1025	无效			5060
CGTN西语	239.1.1.36:1025	无效			5060
CGTN法语	239.1.1.37:1025	无效			5070
CGTN阿语	239.1.1.38:1025	无效			5293
CGTN俄语	239.1.1.39:1025	无效			5103
