# 20260707_171615_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
0-42	239.81.0.42:4056	有效		h264	9464
0-74	239.81.0.74:4056	无效			5801
0-77	239.81.0.77:4056	无效			5140
0-88	239.81.0.88:4056	无效			5075
0-99	239.81.0.99:4056	无效			5708
0-121	239.81.0.121:4056	无效			5071
0-133	239.81.0.133:4056	无效			5076
0-145	239.81.0.145:4056	无效			5711
0-146	239.81.0.146:4056	无效			5083
0-147	239.81.0.147:4056	无效			5071
0-155	239.81.0.155:4056	无效			5635
0-156	239.81.0.156:4056	无效			5073
0-157	239.81.0.157:4056	无效			5066
0-158	239.81.0.158:4056	无效			5727
0-159	239.81.0.159:4056	无效			5083
0-160	239.81.0.160:4056	无效			5087
0-161	239.81.0.161:4056	无效			5752
0-162	239.81.0.162:4056	无效			5090
0-178	239.81.0.178:4056	无效			5075
0-179	239.81.0.179:4056	无效			5780
0-180	239.81.0.180:4056	无效			5110
0-181	239.81.0.181:4056	无效			5073
0-182	239.81.0.182:4056	无效			5817
0-183	239.81.0.183:4056	无效			5196
0-184	239.81.0.184:4056	无效			5066
0-185	239.81.0.185:4056	无效			5873
0-186	239.81.0.186:4056	无效			5331
0-187	239.81.0.187:4056	无效			5062
0-190	239.81.0.190:4056	无效			5835
0-191	239.81.0.191:4056	无效			5170
0-192	239.81.0.192:4056	无效			5068
0-193	239.81.0.193:4056	无效			5913
0-198	239.81.0.198:4056	无效			5455
0-219	239.81.0.219:4056	无效			5070
0-224	239.81.0.224:4056	有效		h264	761
0-243	239.81.0.243:4056	无效			5844
1-1	239.81.1.1:4056	有效		h264	1370
1-2	239.81.1.2:4056	有效	1920x1080	h264	7426
1-3	239.81.1.3:4056	有效	1920x1080	h264	7810
1-4	239.81.1.4:4056	有效	1920x1080	h264	1999
1-5	239.81.1.5:4056	有效		h264	1468
1-6	239.81.1.6:4056	有效	1920x1080	h264	1607
1-7	239.81.1.7:4056	有效		h264	2904
1-8	239.81.1.8:4056	有效		h264	1074
1-9	239.81.1.9:4056	有效		h264	2917
1-10	239.81.1.10:4056	有效	1920x1080	h264	4949
1-11	239.81.1.11:4056	有效	1920x1080	h264	2849
1-12	239.81.1.12:4056	有效		h264	1440
1-13	239.81.1.13:4056	有效		h264	3333
1-14	239.81.1.14:4056	有效		h264	1819
1-15	239.81.1.15:4056	有效	1920x1080	h264	2568
1-16	239.81.1.16:4056	有效		h264	1834
1-17	239.81.1.17:4056	有效		h264	2450
1-18	239.81.1.18:4056	有效	1920x1080	h264	1711
1-19	239.81.1.19:4056	有效	1920x1080	h264	1812
1-20	239.81.1.20:4056	有效		h264	1671
1-21	239.81.1.21:4056	有效		h264	1989
1-22	239.81.1.22:4056	有效		h264	7939
1-23	239.81.1.23:4056	有效		h264	8440
1-24	239.81.1.24:4056	有效		h264	8184
1-25	239.81.1.25:4056	有效	1920x1080	h264	5233
1-26	239.81.1.26:4056	有效		h264	1636
1-27	239.81.1.27:4056	有效	1920x1080	h264	8695
1-28	239.81.1.28:4056	有效	1920x1080	h264	11271
1-29	239.81.1.29:4056	有效		h264	2108
1-30	239.81.1.30:4056	有效	1920x1080	h264	8960
1-31	239.81.1.31:4056	有效		h264	1734
1-32	239.81.1.32:4056	有效		h264	1742
1-33	239.81.1.33:4056	有效		h264	1712
1-34	239.81.1.34:4056	有效	1920x1080	h264	1864
1-35	239.81.1.35:4056	有效	1920x1080	h264	1918
1-36	239.81.1.36:4056	有效	1920x1080	h264	1617
1-37	239.81.1.37:4056	有效		h264	1914
1-38	239.81.1.38:4056	有效		h264	1436
1-39	239.81.1.39:4056	有效	1920x1080	h264	899
1-40	239.81.1.40:4056	有效	1920x1080	h264	1089
1-41	239.81.1.41:4056	有效	1920x1080	h264	1101
1-42	239.81.1.42:4056	有效		h264	1204
1-43	239.81.1.43:4056	有效	1920x1080	h264	1654
1-44	239.81.1.44:4056	有效	1920x1080	h264	1629
1-45	239.81.1.45:4056	有效	1920x1080	h264	1789
1-46	239.81.1.46:4056	有效		h264	1051
1-47	239.81.1.47:4056	有效	1920x1080	h264	1959
1-48	239.81.1.48:4056	有效	720x576	h264	2555
1-49	239.81.1.49:4056	有效	720x576	h264	1277
1-50	239.81.1.50:4056	有效		h264	1455
1-51	239.81.1.51:4056	有效		h264	1499
1-52	239.81.1.52:4056	无效			5263
1-53	239.81.1.53:4056	有效	720x576	h264	5558
1-54	239.81.1.54:4056	有效	1920x1080	h264	2284
