# 20260603_192533_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
10-42	239.10.0.42:1025	无效			641
10-46	239.10.0.46:1025	无效			9087
10-47	239.10.0.47:1025	无效			1485
10-50	239.10.0.50:1025	无效			3874
10-56	239.10.0.56:1025	无效			1130
10-58	239.10.0.58:1025	无效			783
10-59	239.10.0.59:1025	有效		cavs	6218
10-62	239.10.0.62:1025	无效			99999
10-63	239.10.0.63:1025	无效			1141
10-69	239.10.0.69:1025	无效			1156
10-75	239.10.0.75:1025	无效			6788
10-76	239.10.0.76:1025	无效			458
10-83	239.10.0.83:1025	无效			565
10-84	239.10.0.84:1025	无效			4368
10-86	239.10.0.86:1025	无效			929
10-90	239.10.0.90:1025	无效			481
10-91	239.10.0.91:1025	无效			99999
10-92	239.10.0.92:1025	无效			2807
10-93	239.10.0.93:1025	无效			476
10-94	239.10.0.94:1025	无效			99999
10-95	239.10.0.95:1025	无效			99999
10-96	239.10.0.96:1025	无效			99999
10-97	239.10.0.97:1025	无效			469
10-98	239.10.0.98:1025	无效			6784
10-99	239.10.0.99:1025	无效			5121
10-100	239.10.0.100:1025	无效			489
10-107	239.10.0.107:1025	无效			469
10-108	239.10.0.108:1025	无效			470
10-109	239.10.0.109:1025	无效			640
10-110	239.10.0.110:1025	无效			2787
10-112	239.10.0.112:1025	无效			99999
10-116	239.10.0.116:1025	无效			495
10-117	239.10.0.117:1025	无效			470
10-118	239.10.0.118:1025	无效			466
10-121	239.10.0.121:1025	无效			99999
10-122	239.10.0.122:1025	无效			631
10-123	239.10.0.123:1025	无效			99999
10-124	239.10.0.124:1025	无效			6157
10-126	239.10.0.126:1025	无效			473
10-127	239.10.0.127:1025	无效			10512
10-140	239.10.0.140:1025	有效	720x576	h264	5682
10-141	239.10.0.141:1025	有效		h264	1412
10-143	239.10.0.143:1025	无效			1333
10-144	239.10.0.144:1025	无效			99999
10-145	239.10.0.145:1025	无效			99999
10-146	239.10.0.146:1025	无效			462
10-147	239.10.0.147:1025	无效			897
10-148	239.10.0.148:1025	无效			99999
10-154	239.10.0.154:1025	无效			99999
10-155	239.10.0.155:1025	无效			5654
10-161	239.10.0.161:1025	有效	720x576	h264	5576
10-162	239.10.0.162:1025	有效	720x576	h264	5348
10-163	239.10.0.163:1025	有效	720x576	h264	5563
10-164	239.10.0.164:1025	有效	720x576	h264	5495
10-165	239.10.0.165:1025	有效	720x576	h264	5728
10-166	239.10.0.166:1025	有效	720x576	h264	5610
10-167	239.10.0.167:1025	有效	720x576	h264	5744
10-168	239.10.0.168:1025	有效	720x576	h264	5536
10-169	239.10.0.169:1025	有效	720x576	h264	3372
10-170	239.10.0.170:1025	无效			73
10-172	239.10.0.172:1025	无效			245
10-173	239.10.0.173:1025	无效			85
10-174	239.10.0.174:1025	有效	1920x1080	h264	5964
10-176	239.10.0.176:1025	有效	720x576	h264	5519
10-178	239.10.0.178:1025	有效	720x576	h264	5516
10-186	239.10.0.186:1025	有效	720x576	h264	5526
10-187	239.10.0.187:1025	有效	720x576	h264	5659
10-188	239.10.0.188:1025	有效	720x576	h264	5483
10-189	239.10.0.189:1025	有效	720x576	h264	5551
10-190	239.10.0.190:1025	有效	720x576	h264	5580
10-191	239.10.0.191:1025	有效	720x576	h264	5511
10-192	239.10.0.192:1025	有效	720x576	h264	5529
10-193	239.10.0.193:1025	有效	720x576	h264	5558
10-194	239.10.0.194:1025	有效	720x576	h264	5545
10-195	239.10.0.195:1025	无效			10486
10-196	239.10.0.196:1025	无效			550
10-199	239.10.0.199:1025	无效			841
10-201	239.10.0.201:1025	无效			3216
10-202	239.10.0.202:1025	无效			1122
10-219	239.10.0.219:1025	无效			782
10-223	239.10.0.223:1025	有效	1920x1080	h264	6263
10-236	239.10.0.236:1025	无效			99999
10-238	239.10.0.238:1025	无效			1318
10-239	239.10.0.239:1025	无效			1038
10-242	239.10.0.242:1025	无效			6397
10-243	239.10.0.243:1025	无效			5389
10-253	239.10.0.253:1025	无效			1386
10-254	239.10.0.254:1025	无效			99999
11-15	239.11.0.15:1025	无效			99999
11-16	239.11.0.16:1025	无效			618
11-26	239.11.0.26:1025	无效			9543
11-35	239.11.0.35:1025	无效			481
11-36	239.11.0.36:1025	无效			486
11-53	239.11.0.53:1025	无效			663
11-54	239.11.0.54:1025	无效			647
11-69	239.11.0.69:1025	无效			476
11-70	239.11.0.70:1025	无效			7552
11-74	239.11.0.74:1025	无效			468
11-75	239.11.0.75:1025	无效			2382
11-76	239.11.0.76:1025	无效			624
11-77	239.11.0.77:1025	无效			99999
11-79	239.11.0.79:1025	无效			99999
11-80	239.11.0.80:1025	无效			840
11-84	239.11.0.84:1025	无效			472
11-93	239.11.0.93:1025	无效			99999
11-95	239.11.0.95:1025	无效			5483
11-96	239.11.0.96:1025	有效	1920x1080	h264	6225
11-97	239.11.0.97:1025	有效	1920x1080	h264	6206
